tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
ABT,2006-03-31,864.883,72.971,270.134,372.592,1580.58,64818.436,2140.839,4151.776,2404.662,68706.389
ABT,2006-06-30,612.244,110.663,44.892,393.611,1161.41,66627.6633,2251.778,8174.695,1096.84,75957.29630000002
ABT,2006-09-30,715.842,115.984,10.475,381.441,1223.742,74532.9958,1937.133,7508.199,1051.134,82927.1938
ABT,2006-12-31,-476.214,116.554,234.114,411.106,285.56000000000006,74879.1065,5401.261,7009.664,1373.435,85916.5965
ABT,2007-03-31,697.537,147.542,143.128,432.424,1420.631,85952.088,5935.472,6541.169,1641.879,96786.84999999999
ABT,2007-06-30,988.744,153.349,263.894,435.501,1841.488,82759.0082,5720.842,6606.005,2237.074,92848.78120000001
ABT,2007-09-30,717.006,146.657,176.414,503.769,1543.846,82857.5383,5764.391,6477.919,2548.95,92550.8983
ABT,2007-12-31,1203.027,145.594,279.898,483.192,2111.7110000000002,87027.4465,2725.915,9487.789,2820.827,96420.3235
ABT,2008-03-31,937.867,142.534,222.859,451.854,1755.1139999999998,85112.7744,4179.156,9042.858,3636.599,94698.18939999999
ABT,2008-06-30,1322.014,137.769,314.304,465.86,2239.947,81655.7446,5427.123,9574.566,5178.274,91479.1596
ABT,2008-09-30,1084.612,125.014,288.424,498.56,1996.61,89340.0916,2415.314,9265.163,3766.47,97254.0986
ABT,2008-12-31,1536.226,123.157,296.483,422.555,2378.421,82853.3492,3647.957,8713.327,5079.625,90135.0082
ABT,2009-03-31,1438.637,124.19,493.842,464.045,2520.714,73718.3943,4157.134,11675.953,5703.777,83847.7043
ABT,2009-06-30,1288.105,136.969,278.933,537.398,2241.405,72719.7475,4367.935,11371.518,6887.943,81571.25749999999
ABT,2009-09-30,1480.367,134.612,391.008,540.714,2546.701,76517.1289,4113.835,11576.556,8695.152,83512.3679
ABT,2009-12-31,1538.729,123.885,284.153,547.353,2494.12,83747.5603,5225.725,11266.294,9932.048,90307.5313
ABT,2010-03-31,1003.015,118.201,319.192,562.501,2002.9089999999999,81315.0042,6448.52,10878.649,3692.073,94950.1002
ABT,2010-06-30,1291.65,134.488,267.037,675.202,2368.3770000000004,72229.6766,5868.394,12612.655,6243.714,84467.0116
ABT,2010-09-30,890.66,149.102,173.45,677.024,1890.2359999999999,80753.4278,5806.372,12910.681,5721.758,93748.7228
ABT,2010-12-31,1440.847,151.344,326.983,709.578,2628.752,74116.0034,6394.766,12523.517,7323.94,85710.34640000001
ABT,2011-03-31,863.818,145.587,204.968,745.667,1960.04,76237.5812,6251.963,12530.246,8375.839,86643.95120000001
ABT,2011-06-30,1942.782,134.129,-268.226,811.412,2620.0969999999998,81907.0817,5591.35,12627.761,8893.499,91232.6937
ABT,2011-09-30,303.181,124.339,198.414,838.386,1464.32,79665.6874,3624.561,13096.767,7976.502,88410.5134
ABT,2011-12-31,1618.668,126.086,335.037,648.429,2728.22,88302.4112,3374.755,12039.822,8097.359,95619.62920000001
ABT,2012-03-31,1242.124,0.0,112.161,563.801,1918.0860000000002,96433.1957,4785.435,11861.505,9526.561,103553.5747
ABT,2012-06-30,1724.612,0.0,118.663,870.901,2714.176,101174.963,6082.923,12004.092,11002.138,108259.84
ABT,2012-09-30,1942.803,0.0,-107.61,759.728,2594.9210000000003,108370.5981,4224.991,12054.64,11504.522,113145.7071
ABT,2012-12-31,1053.461,0.0,-397.214,587.57,1243.817,103271.6885,2390.662,18085.302,15173.984,108573.6685
ABT,2013-03-31,544.661,43.757,9.89,420.853,1019.1609999999998,55059.1118,3635.85,3466.576,8517.313,53644.224799999996
ABT,2013-06-30,476.339,37.243,82.11,436.147,1031.839,54207.88,4523.778,3410.759,9393.592,52748.825
ABT,2013-09-30,966.0,37.0,-163.0,436.0,1276.0,51317.9133,4859.876,3403.069,8605.484,50975.37430000001
ABT,2013-12-31,589.0,44.0,124.0,426.0,1183.0,59338.5963,3173.0,3388.0,8098.0,57801.596300000005
