tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
AMGN,2006-03-31,1001.0,0.0,313.0,219.0,1533.0,85699.5,1763.0,7198.0,7147.0,87513.5
AMGN,2006-06-30,14.0,0.0,302.0,257.0,573.0,76319.1,1768.0,7232.0,4970.0,80349.1
AMGN,2006-09-30,1102.0,0.0,259.0,287.0,1648.0,83403.98,1773.0,7233.0,5781.0,86628.98
AMGN,2006-12-31,833.0,0.0,196.0,200.0,1229.0,79649.46,1878.0,7134.0,6277.0,82384.46
AMGN,2007-03-31,1111.0,0.0,283.0,244.0,1638.0,64764.92,100.0,7214.0,4837.0,67241.92
AMGN,2007-06-30,1019.0,0.0,118.0,282.0,1419.0,60210.81,100.0,11212.0,5306.0,66216.81
AMGN,2007-09-30,201.0,0.0,171.0,371.0,743.0,61491.59,136.0,11177.0,5950.0,66854.59
AMGN,2007-12-31,835.0,0.0,223.0,305.0,1363.0,50480.28,2000.0,9177.0,7151.0,54506.28
AMGN,2008-03-31,1100.0,149.0,280.0,266.0,1795.0,45456.64,2000.0,9177.0,8647.0,47986.64
AMGN,2008-06-30,906.0,137.0,224.0,265.0,1532.0,49848.12,1000.0,10175.0,8483.0,52540.12
AMGN,2008-09-30,1121.0,133.0,291.0,268.0,1813.0,62766.93,1000.0,10176.0,9757.0,64185.92999999999
AMGN,2008-12-31,925.0,132.0,168.0,274.0,1499.0,60464.25,1000.0,9176.0,9552.0,61088.25
AMGN,2009-03-31,1019.0,147.0,213.0,267.0,1646.0,50064.72,1000.0,10408.0,10378.0,51094.72
AMGN,2009-06-30,1269.0,150.0,88.0,253.0,1760.0,53734.1,1000.0,10471.0,11965.0,53240.1
AMGN,2009-09-30,1386.0,139.0,154.0,272.0,1951.0,61193.68,1000.0,10536.0,14013.0,58716.67999999999
AMGN,2009-12-31,931.0,142.0,144.0,257.0,1474.0,56287.15,0.0,10601.0,13442.0,53446.149999999994
AMGN,2010-03-31,1167.0,145.0,253.0,252.0,1817.0,57803.025,2378.0,9286.0,14117.0,55350.024999999994
AMGN,2010-06-30,1202.0,147.0,262.0,251.0,1862.0,50390.8,2414.0,9318.0,14523.0,47599.8
AMGN,2010-09-30,1236.0,150.0,198.0,253.0,1837.0,52464.72,2451.0,10841.0,17049.0,48707.72
AMGN,2010-12-31,1022.0,162.0,-23.0,261.0,1422.0,51166.8,2488.0,10874.0,17422.0,47106.8
AMGN,2011-03-31,1125.0,135.0,181.0,263.0,1704.0,49868.85,83.0,10824.0,15358.0,45417.85
AMGN,2011-06-30,1170.0,122.0,169.0,250.0,1711.0,53915.4,83.0,13847.0,19172.0,48673.399999999994
AMGN,2011-09-30,454.0,158.0,0.0,255.0,867.0,48309.84,384.0,13881.0,17676.0,44898.84
AMGN,2011-12-31,934.0,195.0,117.0,250.0,1496.0,51085.476,84.0,21344.0,20641.0,51872.475999999995
AMGN,2012-03-31,1184.0,235.0,182.0,249.0,1850.0,53091.367,2381.0,19028.0,19374.0,55126.367
AMGN,2012-06-30,1266.0,256.0,191.0,258.0,1971.0,56082.372,2416.0,21962.0,22475.0,57985.372
