tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
BMY,2006-03-31,714.0,116.0,328.0,226.0,1384.0,48407.87,234.0,8278.0,5281.0,51638.87
BMY,2006-06-30,667.0,124.0,256.0,237.0,1284.0,50866.62,189.0,8239.0,5357.0,53937.62
BMY,2006-09-30,338.0,130.0,193.0,230.0,891.0,49017.64,630.0,7837.0,5505.0,51979.64
BMY,2006-12-31,-134.0,128.0,-167.0,234.0,61.0,51771.44,187.0,7248.0,4013.0,55193.44
BMY,2007-03-31,690.0,109.0,40.0,216.0,1055.0,54492.88,241.0,7132.0,4012.0,57853.88
BMY,2007-06-30,706.0,107.0,203.0,209.0,1225.0,62267.88,256.0,6978.0,4646.0,64855.880000000005
BMY,2007-09-30,858.0,109.0,292.0,213.0,1472.0,56861.86,1879.0,4248.0,3582.0,59406.86
BMY,2007-12-31,-89.0,96.0,147.0,254.0,408.0,52483.08,1891.0,4381.0,2225.0,56530.08
BMY,2008-03-31,661.0,80.0,261.0,0.0,1002.0,42067.5,1781.0,4660.0,2637.0,45871.5
BMY,2008-06-30,764.0,85.0,193.0,0.0,1042.0,40526.22,1799.0,6021.0,4402.0,43944.22
BMY,2008-09-30,2578.0,88.0,266.0,0.0,2932.0,41157.9,135.0,6120.0,7431.0,39981.9
BMY,2008-12-31,1231.0,80.0,370.0,0.0,1681.0,46011.75,154.0,6585.0,8265.0,44485.75
BMY,2009-03-31,638.0,56.0,275.0,162.0,1131.0,43423.52,156.0,6492.0,8920.0,41151.52
BMY,2009-06-30,982.0,46.0,353.0,170.0,1551.0,40234.11,124.0,6235.0,8120.0,38473.11
BMY,2009-09-30,967.0,49.0,366.0,176.0,1558.0,44612.12,286.0,6307.0,6669.0,44536.12
BMY,2009-12-31,7983.0,46.0,188.0,139.0,8356.0,43278.5,231.0,6130.0,8514.0,41125.5
BMY,2010-03-31,743.0,35.0,351.0,187.0,1316.0,45924.0,208.0,6081.0,6776.0,45437.0
BMY,2010-06-30,927.0,34.0,324.0,191.0,1476.0,42747.16,290.0,6248.0,7454.0,41831.16
BMY,2010-09-30,949.0,42.0,312.0,168.0,1471.0,46385.21,243.0,6479.0,8359.0,44748.21
BMY,2010-12-31,483.0,42.0,571.0,198.0,1294.0,45121.92,117.0,5328.0,7301.0,43265.92
BMY,2011-03-31,986.0,31.0,400.0,190.0,1607.0,45089.58,135.0,5276.0,6793.0,43707.58
BMY,2011-06-30,902.0,32.0,483.0,206.0,1623.0,49376.8,187.0,5332.0,7670.0,47225.8
BMY,2011-09-30,969.0,40.0,475.0,198.0,1682.0,53157.72,182.0,5437.0,8193.0,50583.72
BMY,2011-12-31,852.0,42.0,363.0,207.0,1464.0,59555.6,115.0,5376.0,8733.0,56313.6
BMY,2012-03-31,1101.0,42.0,545.0,186.0,1874.0,57003.75,145.0,5270.0,5029.0,57389.75
BMY,2012-06-30,645.0,41.0,251.0,192.0,1129.0,60324.1,236.0,5209.0,5037.0,60732.100000000006
BMY,2012-09-30,-711.0,48.0,-546.0,290.0,-919.0,55687.5,751.0,6608.0,2930.0,60116.5
BMY,2012-12-31,925.0,51.0,-411.0,321.0,886.0,53382.42,826.0,6568.0,2829.0,57947.42
BMY,2013-03-31,609.0,50.0,51.0,324.0,1034.0,67656.7169,1372.0,6522.0,2533.0,73017.7169
BMY,2013-06-30,536.0,50.0,0.0,326.0,912.0,73574.2196,764.0,6442.0,2799.0,77981.2196
BMY,2013-09-30,692.0,46.0,126.0,330.0,1194.0,76202.01,680.0,6532.0,2722.0,80692.01
BMY,2013-12-31,726.0,53.0,134.0,331.0,1244.0,87644.35,386.0,7981.0,4525.0,91486.35
BMY,2014-03-31,937.0,54.0,49.0,217.0,1257.0,86090.2932,281.0,7367.0,7059.0,86679.2932
BMY,2014-06-30,333.0,46.0,114.0,209.0,702.0,80424.9716,365.0,7372.0,7175.0,80986.9716
BMY,2014-09-30,721.0,52.0,276.0,208.0,1257.0,84896.1557,401.0,7267.0,7221.0,85343.1557
BMY,2014-12-31,13.0,54.0,-87.0,195.0,175.0,98048.83,590.0,7242.0,7435.0,98445.83
BMY,2015-03-31,1186.0,52.0,249.0,185.0,1672.0,107519.8875,330.0,7127.0,7607.0,107369.8875
BMY,2015-06-30,-130.0,49.0,162.0,169.0,250.0,110955.6496,755.0,6615.0,5476.0,112849.6496
BMY,2015-09-30,706.0,42.0,257.0,179.0,1184.0,98762.5312,642.0,6632.0,5413.0,100623.5312
BMY,2015-12-31,-197.0,43.0,-222.0,150.0,-226.0,114810.51,139.0,6550.0,4270.0,117229.51
BMY,2016-03-31,1195.0,44.0,449.0,147.0,1835.0,106635.3312,106.0,6593.0,4307.0,109027.3312
BMY,2016-06-30,1166.0,44.0,427.0,151.0,1788.0,122891.6795,155.0,6581.0,4651.0,124976.6795
BMY,2016-09-30,1202.0,45.0,344.0,161.0,1752.0,90112.7216,990.0,5836.0,5560.0,91378.7216
BMY,2016-12-31,894.0,44.0,188.0,167.0,1293.0,97711.68,992.0,5716.0,6350.0,98069.68
BMY,2017-03-31,1574.0,48.0,429.0,213.0,2264.0,89587.4609,1197.0,7237.0,6109.0,91912.4609
BMY,2017-06-30,916.0,56.0,373.0,230.0,1575.0,91376.6767,1306.0,6911.0,6505.0,93088.6767
BMY,2017-09-30,845.0,52.0,327.0,208.0,1432.0,104323.258,1461.0,6982.0,7122.0,105644.258
BMY,2017-12-31,-2328.0,55.0,3027.0,221.0,975.0,100070.24,987.0,6975.0,6812.0,101220.24
BMY,2018-03-31,1486.0,46.0,284.0,159.0,1975.0,103384.5285,1925.0,5775.0,6770.0,104314.5285
BMY,2018-06-30,373.0,45.0,135.0,173.0,726.0,90308.0732,1716.0,5671.0,6075.0,91620.0732
BMY,2018-09-30,1901.0,44.0,255.0,181.0,2381.0,101326.9139,1620.0,5687.0,6830.0,101803.9139
BMY,2018-12-31,1160.0,48.0,347.0,190.0,1745.0,84831.36,1703.0,5646.0,8884.0,83296.36
BMY,2019-03-31,1710.0,45.0,264.0,186.0,2205.0,78039.5333,421.0,6164.0,8764.0,75860.5333
BMY,2019-06-30,1432.0,123.0,337.0,184.0,2076.0,74182.0335,612.0,24949.0,29357.0,70386.0335
BMY,2019-09-30,1353.0,209.0,-17.0,187.0,1732.0,82621.0424,635.0,24894.0,32542.0,75608.0424
BMY,2019-12-31,-1056.0,279.0,931.0,1252.0,1406.0,144491.69,3479.0,44059.0,15393.0,176636.69
