tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
CAH,2006-03-31,146.8,0.0,168.1,74.2,389.09999999999997,31119.552,280.7,2548.2,2212.6,31735.852
CAH,2006-06-30,321.0,0.0,155.8,77.8,554.6,26426.764,229.2,2599.7,1819.3,27436.364
CAH,2006-09-30,270.7,0.0,122.0,78.4,471.1,26677.292,315.3,2627.4,2066.1,27553.892000000003
CAH,2006-12-31,739.2,0.0,164.0,77.0,980.2,25881.531,48.9,2935.8,1470.4,27395.831
CAH,2007-03-31,19.0,0.0,-37.1,81.7,63.6,28217.06,296.9,2899.0,1166.5,30246.460000000003
CAH,2007-06-30,902.2,0.0,163.7,85.0,1150.9,26002.584,16.0,3457.3,1440.8,28035.084
CAH,2007-09-30,301.8,0.0,143.7,94.9,540.4,22667.125,386.8,3347.5,1289.6,25111.825
CAH,2007-12-31,324.7,0.0,144.1,97.0,565.8,20686.05,673.6,3396.5,1184.4,23571.749999999996
CAH,2008-03-31,356.1,0.0,179.4,93.1,628.6,18730.317,355.3,3450.1,1529.0,21006.716999999997
CAH,2008-06-30,318.0,0.0,166.7,96.3,581.0,18419.218,159.0,3687.4,1291.3,20974.318000000003
CAH,2008-09-30,249.1,29.3,82.6,47.4,408.4,17716.16,166.5,3597.0,672.2,20807.46
CAH,2008-12-31,316.5,22.1,102.3,68.7,509.6,12395.412,467.4,3389.2,772.6,15479.411999999998
CAH,2009-03-31,312.8,30.5,129.0,52.7,525.0,11345.392,368.0,3303.1,1366.0,13650.492
CAH,2009-06-30,273.2,32.5,87.7,57.0,450.4,10998.0,367.3,3280.0,1847.5,12797.8
CAH,2009-09-30,-38.2,33.9,236.8,66.3,298.8,9715.0,362.3,2103.5,1584.8,10596.0
CAH,2009-12-31,234.5,27.4,134.8,59.5,456.2,11648.312,12.7,2099.2,1746.8,12013.412
CAH,2010-03-31,222.4,27.6,138.4,68.6,457.0,13032.051,232.6,1875.6,2638.8,12501.451000000001
CAH,2010-06-30,223.5,24.6,114.6,60.0,422.7,11978.604,233.2,1896.1,2755.3,11352.604
CAH,2010-09-30,294.8,22.0,129.8,68.5,515.1,11527.656,233.6,1906.4,2712.2,10955.456000000002
CAH,2010-12-31,215.4,21.9,112.8,73.2,423.3,13385.514,289.9,2380.2,1381.2,14674.413999999997
CAH,2011-03-31,246.1,25.1,175.6,97.5,544.3,14407.839,113.7,2362.1,2018.6,14865.038999999999
