tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
COO,2006-01-31,17.954,8.428,2.169,14.176,42.727000000000004,2467.411,38.537,727.234,24.597,3208.5849999999996
COO,2006-04-30,13.701,7.787,1.892,15.097,38.477,2441.1346,58.62,698.187,16.555,3181.3866
COO,2006-07-31,20.977,8.534,3.312,15.747,48.57,1968.5354,60.573,698.443,12.724,2714.8274
COO,2006-10-31,13.602,8.497,-0.27,16.627,38.456,2567.3012,61.366,681.286,8.224,3301.7291999999998
COO,2007-01-31,5.348,8.91,1.441,16.066,31.765,2126.6568,36.142,817.519,23.544,2956.7738
COO,2007-04-30,-0.527,10.918,0.149,16.873,27.413,2285.5497,48.417,817.446,12.033,3139.3797
COO,2007-07-31,8.18,11.085,4.905,22.712,46.882000000000005,2245.824,53.706,807.58,8.061,3099.049
COO,2007-10-31,-24.193,10.888,5.369,28.86,20.924,1884.498,46.514,830.116,3.226,2757.9019999999996
COO,2008-01-31,6.877,11.106,2.61,20.112,40.705,1771.6274,46.858,878.251,2.586,2694.1504
COO,2008-04-30,11.241,12.07,4.705,21.016,49.032,1574.685,39.258,901.787,1.911,2513.819
COO,2008-07-31,17.879,12.31,-0.363,21.263,51.089,1516.6011,36.894,890.866,3.438,2440.9231
COO,2008-10-31,29.479,12.343,3.779,19.794,65.395,743.7259,43.013,861.781,1.944,1646.5759
COO,2009-01-31,23.873,11.457,5.595,25.0,65.925,856.818,41.789,871.367,1.885,1768.089
COO,2009-04-30,24.649,10.83,5.988,21.006,62.473,1298.9538,47.214,848.379,4.472,2190.0748
COO,2009-07-31,21.908,11.085,0.777,21.987,55.757000000000005,1239.7666,38.448,800.525,3.79,2074.9496
COO,2009-10-31,30.118,10.771,1.92,24.609,67.418,1267.2844,9.844,771.63,3.932,2044.8264000000001
COO,2010-01-31,20.423,10.225,4.003,22.905,57.556,1603.9872,19.14,724.178,1.822,2345.4832
COO,2010-04-30,4.455,9.73,-1.983,23.992,36.194,1772.334,13.567,699.381,9.829,2475.453
COO,2010-07-31,39.727,8.729,3.925,23.888,76.26899999999999,1774.4253,22.298,624.373,3.24,2417.8563000000004
COO,2010-10-31,48.198,7.984,5.678,23.215,85.075,2261.1042,19.159,591.977,3.573,2868.6672000000003
COO,2011-01-31,39.215,6.951,1.813,22.894,70.873,2648.5919,15.486,586.724,3.32,3247.4818999999998
COO,2011-04-30,35.36,4.268,4.361,23.511,67.5,3515.2817,29.097,524.118,8.43,4060.0667000000003
COO,2011-07-31,44.217,3.217,4.918,25.405,77.757,3651.2502,38.735,406.485,7.872,4088.5982
COO,2011-10-31,56.638,2.906,6.242,26.339,92.125,3315.7278,52.979,327.453,5.175,3690.9847999999997
COO,2012-01-31,54.623,3.662,4.124,25.816,88.225,3416.1897,39.191,371.114,7.681,3818.8136999999997
COO,2012-04-30,54.921,3.071,7.759,26.754,92.50500000000001,4244.592,44.216,275.092,7.745,4556.155
COO,2012-07-31,66.875,2.716,4.433,27.825,101.849,3604.4272,25.858,454.225,12.732,4071.7782
COO,2012-10-31,71.92,2.722,10.492,30.819,115.953,4649.2712,25.284,348.422,12.84,5010.137199999999
COO,2013-01-31,74.667,2.567,6.041,31.525,114.80000000000001,4896.8266,30.459,377.512,14.445,5290.3526
COO,2013-04-30,75.136,2.443,3.474,30.944,111.997,5371.7328,28.955,291.549,14.441,5677.7958
COO,2013-07-31,88.951,2.258,2.07,31.117,124.39599999999999,6233.5278,28.338,215.291,25.482,6451.6748
COO,2013-10-31,57.397,1.9,3.78,31.763,94.84,6201.434,42.987,301.67,77.393,6468.698
COO,2014-01-31,71.843,1.656,7.191,31.395,112.08500000000001,5947.9165,44.147,301.589,28.828,6264.8245
COO,2014-04-30,79.16,1.558,8.184,31.75,120.652,6323.6335,33.916,301.508,82.659,6576.3985
COO,2014-07-31,88.067,1.499,5.712,32.502,127.78,7767.6082,46.492,301.449,173.786,7941.763199999999
COO,2014-10-31,30.786,3.252,3.618,42.554,80.21000000000001,7890.6377,101.518,1280.833,25.222,9247.7667
COO,2015-01-31,61.179,3.941,5.716,42.884,113.72,7612.7609,92.795,1302.542,16.428,8991.6699
COO,2015-04-30,60.713,4.692,5.855,44.505,115.76500000000001,8652.4213,242.165,1105.544,17.911,9982.2193
COO,2015-07-31,44.952,4.69,-0.642,53.909,102.90899999999999,8604.678,237.558,1070.299,17.005,9895.53
COO,2015-10-31,36.679,4.78,-0.588,50.105,90.976,7354.1125,244.193,1105.764,16.426,8687.6435
COO,2016-01-31,51.356,5.274,-1.011,51.155,106.774,6346.4797,46.696,1330.627,16.047,7707.755700000001
COO,2016-04-30,74.125,7.612,8.183,47.979,137.899,7416.4198,30.191,1411.182,44.464,8813.3288
COO,2016-07-31,87.928,7.983,5.172,49.496,150.579,8893.9527,31.692,1412.374,62.613,10275.4057
COO,2016-10-31,60.508,5.321,8.355,47.344,121.52800000000002,8588.1114,226.325,1107.448,100.817,9821.067400000002
COO,2017-01-31,75.8,7.3,4.3,47.8,135.2,9034.075,223.5,1201.0,91.1,10367.475
COO,2017-04-30,104.9,7.7,4.6,46.2,163.4,9787.5228,41.3,1345.6,121.3,11053.122800000001
COO,2017-07-31,103.6,8.3,4.2,47.2,163.3,11937.1926,33.4,1180.0,46.0,13104.5926
COO,2017-10-31,88.6,7.9,8.0,47.2,151.7,11724.688,23.4,1149.3,88.8,12808.588
COO,2018-01-31,-122.5,16.7,197.3,66.6,158.10000000000002,11988.83,29.6,2372.9,91.7,14299.63
COO,2018-04-30,60.9,18.7,-6.9,69.0,141.7,11229.661,41.3,2442.4,164.9,13548.461
COO,2018-07-31,100.8,22.8,-10.4,69.0,182.2,12790.55,45.3,2248.9,155.6,14929.149999999998
COO,2018-10-31,100.7,20.3,12.0,70.5,203.5,12708.852,37.1,1985.7,80.2,14651.452000000001
COO,2019-01-31,103.2,18.2,-9.4,68.8,180.8,13742.868,445.5,1686.9,146.9,15728.368
COO,2019-04-30,122.3,18.4,5.8,70.7,217.2,14351.04,454.6,1472.3,104.9,16173.04
COO,2019-07-31,120.2,16.7,6.8,70.7,214.40000000000003,16735.04,390.0,1422.6,113.2,18434.44
COO,2019-10-31,121.0,13.9,7.5,70.6,213.0,14288.1,563.7,1262.6,89.5,16024.900000000001
COO,2020-01-31,90.5,11.6,6.9,70.6,179.6,17066.988,574.5,1474.9,77.4,19038.988
COO,2020-04-30,11.5,8.8,-2.5,68.8,86.6,14076.97,586.0,1577.5,80.8,16159.67
COO,2020-07-31,55.2,5.7,11.2,70.6,142.7,13891.863,585.0,1564.4,128.3,15912.963
COO,2020-10-31,81.2,6.7,12.5,77.1,177.5,15665.355,442.6,1620.7,116.8,17611.855
COO,2021-01-31,2101.1,6.4,-1961.6,75.5,221.4000000000001,17874.364,435.4,1659.9,119.7,19849.964000000004
COO,2021-04-30,117.5,6.1,18.9,77.5,220.0,20215.788,446.8,1565.8,106.4,22121.987999999998
COO,2021-07-31,615.8,5.6,-521.8,78.9,178.50000000000003,20751.084,469.8,1416.6,112.8,22524.683999999997
COO,2021-10-31,110.3,5.0,11.3,77.4,204.0,20554.156,118.6,1627.8,96.3,22204.255999999998
COO,2022-01-31,95.3,6.6,26.6,82.0,210.5,19596.36,948.7,2587.5,282.9,22849.66
COO,2022-04-30,126.5,10.8,37.2,93.4,267.9,17799.272,941.9,2572.7,399.6,20914.272000000004
COO,2022-07-31,98.4,17.1,18.9,81.7,216.10000000000002,16121.1,570.5,2562.5,246.6,19007.5
COO,2022-10-31,65.6,22.8,6.8,89.0,184.2,13478.127,448.1,2556.3,138.6,16343.927000000001
COO,2023-01-31,84.6,26.1,37.5,89.7,237.89999999999998,17237.142,68.1,2627.3,118.5,19814.041999999998
COO,2023-04-30,39.8,26.1,25.8,90.8,182.5,18881.775,74.5,2565.7,112.1,21409.875000000004
COO,2023-07-31,85.3,26.8,33.5,94.5,240.1,19367.37,79.6,2514.7,117.5,21844.17
COO,2023-10-31,84.5,26.3,21.9,92.7,225.39999999999998,15431.625,83.6,2739.4,120.9,18133.725
COO,2024-01-31,81.2,28.6,38.8,96.8,245.40000000000003,18530.2653,46.1,2726.2,135.3,21167.2653
COO,2024-04-30,88.9,27.5,41.1,98.3,255.8,17731.846,41.7,2671.3,112.6,20332.246000000003
COO,2024-07-31,104.7,27.1,59.0,89.0,279.8,18582.003,40.8,2591.6,109.8,21104.603
COO,2024-10-31,117.5,25.6,51.1,91.0,285.2,20894.128,71.9,2781.2,107.7,23639.528000000002
