tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
CRL,2006-03-31,-100.115,3.794,11.811,19.659,-64.851,3536.2538,36.403,270.652,105.299,3738.0098
CRL,2006-06-30,25.749,4.618,9.87,20.526,60.76299999999999,2513.624,36.724,571.808,200.739,2921.417
CRL,2006-09-30,-16.606,6.107,15.489,20.574,25.564,2903.0003,24.116,576.542,260.813,3242.8453
CRL,2006-12-31,35.189,4.907,12.568,21.827,74.491,2894.29,24.977,547.084,182.83,3283.5209999999997
CRL,2007-03-31,36.763,6.026,15.31,19.913,78.012,3110.4761,25.759,527.555,143.464,3520.3260999999998
CRL,2007-06-30,37.956,5.797,15.101,21.232,80.086,3509.4889,24.098,511.816,165.47,3879.9329
CRL,2007-09-30,42.777,5.696,16.808,21.96,87.24100000000001,3815.1118,24.133,493.697,189.978,4142.9637999999995
CRL,2007-12-31,36.91,5.201,12.181,23.274,77.566,4483.283,25.051,484.998,240.407,4752.925
CRL,2008-03-31,44.139,7.001,16.183,22.347,89.67000000000002,4022.655,33.743,476.367,251.481,4281.284000000001
CRL,2008-06-30,49.066,6.629,17.088,23.036,95.819,4336.7163,210.042,312.26,265.733,4593.2853000000005
CRL,2008-09-30,45.488,6.877,17.628,22.973,92.966,3765.878,239.03,303.681,216.075,4092.514
CRL,2008-12-31,-663.198,7.09,5.275,22.934,-627.899,1756.7886,35.452,540.646,246.317,2086.5696
CRL,2009-03-31,25.405,6.057,10.158,21.97,63.59,1806.1454,35.376,474.152,208.921,2106.7524000000003
CRL,2009-06-30,34.154,6.017,13.63,22.901,76.70200000000001,2223.8888,35.404,486.487,208.039,2537.7408000000005
CRL,2009-09-30,37.313,6.08,6.9,24.837,75.13,2436.5013,34.594,463.748,199.372,2735.4713
CRL,2009-12-31,17.569,6.024,9.037,23.845,56.475,2219.3961,35.413,457.419,239.249,2472.9791
CRL,2010-03-31,17.382,6.008,6.737,23.58,53.707,2601.4572,36.343,437.911,234.177,2841.5341999999996
CRL,2010-06-30,14.454,7.104,7.17,22.925,51.653000000000006,2266.7204,26.774,409.441,236.721,2466.2144
CRL,2010-09-30,-24.941,8.099,16.67,23.485,23.313000000000002,1913.1528,17.816,701.075,151.903,2480.1408000000006
CRL,2010-12-31,-343.564,9.582,-30.554,23.659,-340.877,2005.9131,30.582,670.27,189.222,2517.5431
CRL,2011-03-31,31.335,10.108,-2.715,21.265,59.992999999999995,1980.4848,95.527,761.293,173.51,2663.7947999999997
CRL,2011-06-30,32.318,10.715,8.649,21.816,73.498,2091.3612,57.994,731.418,157.84,2722.9332
CRL,2011-09-30,18.798,11.998,5.63,21.168,57.594,1423.1009,19.838,720.483,87.637,2075.7848999999997
CRL,2011-12-31,27.115,10.063,5.576,20.981,63.735,1335.7811,14.758,703.187,74.493,1979.2331
CRL,2012-03-31,26.439,8.626,8.676,20.002,63.742999999999995,1768.5183,29.574,674.743,67.396,2405.4393
CRL,2012-06-30,30.468,8.261,9.453,20.065,68.247,1591.8412,134.83,551.397,82.928,2195.1402000000003
CRL,2012-09-30,21.972,8.618,6.011,20.55,57.15100000000001,1919.8476,125.603,543.143,89.805,2498.7886000000003
CRL,2012-12-31,18.416,8.304,3.488,20.658,50.866,1806.8034,139.384,527.136,116.695,2356.6284
CRL,2013-03-31,25.578,8.344,9.722,20.01,63.653999999999996,2173.9669,130.851,518.035,107.497,2715.3559
CRL,2013-06-30,27.284,7.542,8.219,20.41,63.455,2012.1522,16.163,619.771,120.679,2527.4071999999996
CRL,2013-09-30,30.867,2.336,11.39,20.149,64.742,2232.23,16.17,624.31,141.767,2730.943
CRL,2013-12-31,19.099,2.99,3.58,20.672,46.340999999999994,2522.2642,21.437,642.352,167.33,3018.7232
CRL,2014-03-31,32.232,2.801,10.358,19.76,65.15100000000001,2918.0424,26.683,614.129,181.312,3377.5424
CRL,2014-06-30,35.264,3.373,14.081,23.568,76.286,2510.0345,31.932,781.617,132.322,3191.2614999999996
CRL,2014-09-30,32.036,2.997,11.582,24.507,71.122,2793.8008,31.917,754.799,148.616,3431.9008
CRL,2014-12-31,27.166,2.779,11.65,24.31,65.905,3011.8903,31.904,745.958,178.742,3611.0103
CRL,2015-03-31,31.541,3.024,0.331,22.368,57.263999999999996,3754.778,31.88,754.533,168.684,4372.507
CRL,2015-06-30,48.509,3.643,11.076,23.148,86.376,3295.429,17.993,754.777,168.981,3899.218
CRL,2015-09-30,37.379,3.863,15.255,23.814,80.311,2961.493,16.599,835.8,93.228,3720.6639999999998
CRL,2015-12-31,31.884,3.821,16.729,25.551,77.985,3754.0522,17.033,845.997,138.734,4478.348199999999
CRL,2016-03-31,37.143,4.211,13.975,24.655,79.98400000000001,3577.8372,21.382,840.481,176.38,4263.3202
CRL,2016-06-30,35.207,7.46,18.845,32.353,93.86500000000001,3897.9281,33.939,1331.053,180.192,5082.7281
CRL,2016-09-30,37.735,7.541,15.565,34.108,94.94899999999998,3943.9822,25.97,1233.189,114.028,5089.1132
CRL,2016-12-31,44.68,7.51,18.45,35.542,106.182,3608.587,27.313,1207.696,121.929,4721.6669999999995
CRL,2017-03-31,46.778,6.983,31.084,32.411,117.256,4284.7683,27.308,1170.063,135.934,5346.2053
CRL,2017-06-30,53.952,7.403,22.243,31.799,115.39699999999999,4813.3239,27.225,1116.278,140.51,5816.316900000001
CRL,2017-09-30,52.474,7.667,19.945,33.465,113.551,5111.9385,27.09,1155.998,154.56,6140.4664999999995
CRL,2017-12-31,-29.849,7.724,98.097,33.484,109.45599999999999,5188.1489,30.998,1114.105,192.875,6140.376899999999
CRL,2018-03-31,52.631,7.93,9.772,33.21,103.543,5113.3797,3.137,1129.581,190.921,6055.1767
CRL,2018-06-30,53.709,16.844,17.438,43.396,131.387,5388.5923,31.346,1796.451,193.796,7022.5932999999995
CRL,2018-09-30,60.368,17.197,12.403,43.592,133.56,6470.5668,31.651,1652.733,144.53,8010.4208
CRL,2018-12-31,59.665,16.741,14.85,41.581,132.837,5456.2946,31.416,1636.598,196.792,6927.5166
CRL,2019-03-31,55.133,9.987,10.602,45.358,121.08000000000001,7080.5018,49.567,1649.887,127.714,8652.2418
CRL,2019-06-30,43.728,20.835,14.685,49.146,128.394,6924.5781,53.36,2148.699,201.974,8924.6631
CRL,2019-09-30,72.81,5.698,-0.317,51.758,129.949,6464.5537,53.643,1999.461,166.148,8351.5097
CRL,2019-12-31,80.348,24.362,25.053,51.833,181.596,7475.4634,58.902,1965.918,239.386,9260.8974
CRL,2020-03-31,50.769,15.067,4.622,57.26,127.71799999999999,6245.6281,70.136,2460.21,373.811,8402.1631
CRL,2020-06-30,67.435,19.352,16.284,57.208,160.279,8658.0467,78.163,2354.505,403.414,10687.3007
CRL,2020-09-30,102.909,18.867,32.665,59.58,214.02100000000002,11262.7172,72.816,2114.739,246.81,13203.4622
CRL,2020-12-31,143.191,33.147,28.237,60.876,265.45099999999996,12434.7826,74.888,2085.166,232.522,14362.314600000002
CRL,2021-03-31,61.53,3.74,2.367,61.508,129.145,14554.1033,28.8,2375.349,470.448,16487.8043
CRL,2021-06-30,88.448,16.08,37.58,68.105,210.21300000000002,18640.6387,34.762,2966.724,227.124,21415.0007
CRL,2021-09-30,103.426,16.455,18.111,68.686,206.678,20823.3282,34.006,3136.688,217.844,23776.1782
CRL,2021-12-31,137.578,11.546,23.815,67.241,240.18,19019.8544,36.062,2916.536,246.3,21726.152400000003
CRL,2022-03-31,93.022,9.434,15.62,75.299,193.375,14425.676,40.4,2940.521,243.347,17163.249999999996
CRL,2022-06-30,109.321,3.703,33.449,76.421,222.894,10882.7282,51.301,3362.996,207.13,14089.8952
CRL,2022-09-30,96.473,11.375,25.495,74.605,207.94799999999998,10012.5936,46.692,3305.907,196.027,13169.165599999998
CRL,2022-12-31,187.41,34.779,55.815,77.545,355.54900000000004,11100.6976,50.203,3097.276,241.102,14007.074599999998
