tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
ELV,2006-03-31,731.8,94.0,440.9,108.7,1375.3999999999999,49745.7552,476.1,6663.9,4664.0,52221.7552
ELV,2006-06-30,751.2,103.9,452.1,108.1,1415.3,45162.3719,22.4,7446.4,4319.1,48312.0719
ELV,2006-09-30,810.8,105.6,443.8,107.6,1467.8,47818.0776,221.5,7122.2,4910.3,50251.47759999999
ELV,2006-12-31,801.1,100.0,482.7,106.0,1489.8,48433.7737,521.0,6493.2,5124.8,50323.17369999999
ELV,2007-03-31,783.1,102.9,463.3,102.5,1451.8,49740.0087,520.9,6585.6,7183.2,49663.3087
ELV,2007-06-30,835.2,100.1,482.1,102.2,1519.6000000000001,48203.7489,520.0,7652.2,8041.9,48334.048899999994
ELV,2007-09-30,868.0,119.6,503.4,102.2,1593.2,45395.6521,321.5,8381.0,6790.0,47308.1521
ELV,2007-12-31,859.1,125.3,463.7,104.0,1552.1,48796.4788,20.4,9023.5,6534.5,51305.8788
ELV,2008-03-31,588.1,119.0,291.1,97.3,1095.5,23298.4776,19.9,9266.5,6397.8,26187.0776
ELV,2008-06-30,750.5,116.5,435.5,97.7,1400.2,24404.7796,19.2,9750.1,5855.7,28318.379600000004
ELV,2008-09-30,820.7,118.4,-271.3,98.7,766.5,23805.0414,723.7,8491.3,5473.5,27546.541400000002
ELV,2008-12-31,331.4,115.9,176.4,97.8,721.4999999999999,21201.122,1007.7,7833.9,4860.3,25182.422000000002
ELV,2009-03-31,580.4,116.1,313.2,94.0,1103.7,18466.5956,810.5,8527.1,4979.4,22824.795599999998
ELV,2009-06-30,693.5,117.0,359.0,92.8,1262.3,24288.1685,658.1,8513.7,17358.7,16101.268500000002
ELV,2009-09-30,730.2,110.6,387.0,92.4,1320.2000000000003,22023.5366,477.8,8384.4,18220.7,12665.036599999996
ELV,2009-12-31,2741.8,103.7,1597.9,93.9,4537.299999999999,26218.2591,60.8,8338.3,21550.2,13067.1591
ELV,2010-03-31,876.8,99.4,458.5,88.3,1522.9999999999998,27771.0212,759.9,7630.4,20203.2,15958.121199999998
ELV,2010-06-30,722.4,100.2,407.2,86.7,1316.5,19731.1204,1213.8,7334.8,18587.1,9692.6204
ELV,2010-09-30,739.1,106.3,397.7,85.2,1328.3,22361.9251,806.5,8217.2,20070.3,11315.325100000002
ELV,2010-12-31,548.8,113.0,203.3,84.6,949.6999999999999,21478.1258,805.9,8147.8,19115.6,11316.225800000004
ELV,2011-03-31,926.6,105.9,500.5,80.2,1613.2,25729.3397,459.2,8542.0,19543.0,15187.539700000001
ELV,2011-06-30,701.6,103.6,305.8,80.4,1191.4,28532.3845,556.3,8292.1,19558.8,17821.984500000002
ELV,2011-09-30,683.2,108.2,362.0,86.0,1239.4,22796.8205,1374.1,8622.3,20168.4,12624.820499999994
ELV,2011-12-31,335.3,112.6,142.9,88.5,679.3,22483.4613,1374.5,8420.9,19317.6,12961.261299999998
ELV,2012-03-31,856.5,109.1,453.3,82.2,1501.1000000000001,24487.3566,1010.8,8462.5,19721.6,14239.056600000004
ELV,2012-06-30,643.6,117.6,405.0,83.4,1249.6000000000001,20741.9564,1013.7,10135.6,20314.6,11576.6564
ELV,2012-09-30,691.2,133.6,334.5,89.3,1248.6000000000001,18215.8361,192.2,13395.7,22131.9,9671.8361
ELV,2012-12-31,464.2,151.5,17.2,97.3,730.2,18563.2378,807.1,14170.8,20624.7,12916.437799999996
ELV,2013-03-31,885.2,153.5,410.2,87.5,1536.4,19914.8974,749.4,14030.0,20856.8,13837.497400000004
ELV,2013-06-30,800.1,151.9,408.8,87.2,1448.0,24498.4766,749.6,14091.5,20452.9,18886.6766
ELV,2013-09-30,656.2,151.5,225.9,89.3,1122.9,24764.2787,350.1,14514.0,21223.6,18404.778700000003
