tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
GEHC,2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEHC,2020-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEHC,2020-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEHC,2020-12-31,13846.0,66.0,652.0,630.0,15194.0,0.0,132.0,336.0,1007.0,-539.0
GEHC,2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEHC,2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEHC,2021-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GEHC,2021-12-31,2247.0,40.0,600.0,625.0,3512.0,0.0,110.0,327.0,556.0,-119.0
GEHC,2022-03-31,389.0,4.0,131.0,159.0,683.0,0.0,0.0,0.0,0.0,0.0
GEHC,2022-06-30,485.0,12.0,153.0,157.0,807.0,0.0,0.0,0.0,0.0,0.0
GEHC,2022-09-30,488.0,2.0,128.0,160.0,778.0,0.0,12.0,31.0,500.0,-457.0
GEHC,2022-12-31,554.0,59.0,151.0,157.0,921.0,26545.9698,119.0,8516.0,1445.0,33735.9698
GEHC,2023-03-31,189.0,136.0,163.0,157.0,645.0,37292.2325,0.0,10234.0,2327.0,45199.2325
GEHC,2023-06-30,418.0,137.0,137.0,156.0,848.0,36948.6832,0.0,10233.0,1939.0,45242.6832
GEHC,2023-09-30,375.0,138.0,250.0,153.0,916.0,30973.441,0.0,10253.0,2418.0,38808.441
GEHC,2023-12-31,403.0,131.0,193.0,144.0,871.0,35207.0434,1116.0,8747.0,2504.0,42566.0434
GEHC,2024-03-31,374.0,122.0,124.0,148.0,768.0,41484.7785,1117.0,8551.0,2563.0,48589.7785
GEHC,2024-06-30,428.0,132.0,143.0,149.0,852.0,35582.4797,1120.0,8542.0,2014.0,43230.4797
GEHC,2024-09-30,470.0,129.0,168.0,143.0,910.0,42875.6541,1121.0,9612.0,3568.0,50040.6541
