tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
IDXX,2006-03-31,18.273,0.113,9.584,6.658,34.628,2730.4441,0.0,0.0,92.997,2637.4471000000003
IDXX,2006-06-30,25.78,0.076,11.879,7.551,45.286,2343.0042,0.655,6.795,77.057,2273.3972000000003
IDXX,2006-09-30,24.953,0.159,10.118,7.528,42.757999999999996,2848.2161,0.665,6.625,94.591,2760.9151
IDXX,2006-12-31,24.672,0.114,5.643,8.079,38.508,2471.3845,0.678,6.447,96.666,2381.8435
IDXX,2007-03-31,21.027,0.634,9.878,9.047,40.586,2717.3187,75.904,6.271,53.937,2745.5567
IDXX,2007-06-30,21.664,1.454,9.969,10.224,43.31100000000001,2884.2278,84.447,6.092,49.588,2925.1788
IDXX,2007-09-30,25.795,1.202,9.787,10.267,47.051,3350.3855,77.99,5.911,58.507,3375.7794999999996
IDXX,2007-12-31,25.528,1.189,11.195,11.562,49.474,3576.6645,72.956,5.727,60.36,3594.9874999999997
IDXX,2008-03-31,27.551,1.031,10.683,10.9,50.165,2975.1562,140.682,5.54,60.22,3061.1582
IDXX,2008-06-30,39.364,1.213,18.884,11.7,71.161,2902.1258,158.715,5.35,75.265,2990.9258
IDXX,2008-09-30,25.699,1.242,12.738,11.8,51.479,3257.6956,164.696,5.157,84.586,3342.9626000000003
IDXX,2008-12-31,23.555,1.103,11.713,13.1,49.471000000000004,2136.7658,151.385,5.094,78.868,2214.3768000000005
IDXX,2009-03-31,26.071,0.64,11.974,12.3,50.985,2039.1134,166.294,4.896,86.295,2124.0084
IDXX,2009-06-30,33.667,0.459,15.106,11.8,61.03200000000001,2705.934,75.586,84.694,103.744,2762.47
IDXX,2009-09-30,31.536,0.436,12.281,12.3,56.553,2926.5,63.398,84.489,106.728,2967.659
IDXX,2009-12-31,30.951,0.381,12.943,12.2,56.474999999999994,3111.6452,119.603,4.281,106.728,3128.8012
IDXX,2010-03-31,33.026,0.365,15.088,11.246,59.72500000000001,3311.1968,158.213,4.07,106.354,3367.1258000000007
IDXX,2010-06-30,37.193,0.689,17.087,11.386,66.35499999999999,3508.6926,134.7,3.856,117.975,3529.2736
IDXX,2010-09-30,34.694,0.687,14.548,11.485,61.414,3540.8147,126.762,3.639,133.512,3537.7037
IDXX,2010-12-31,36.371,0.674,14.086,11.839,62.97,3967.0674,129.862,3.418,156.915,3943.4323999999997
IDXX,2011-03-31,36.612,0.728,16.567,11.464,65.37100000000001,4426.0187,127.467,3.194,153.459,4403.2207
IDXX,2011-06-30,48.657,0.782,22.281,11.879,83.599,4407.8124,133.438,2.966,159.398,4384.8184
IDXX,2011-09-30,38.507,0.928,17.122,12.045,68.60199999999999,3876.3209,154.903,2.735,181.499,3852.4599000000003
IDXX,2011-12-31,38.01,1.109,16.698,12.814,68.631,4240.573,243.917,2.501,183.895,4303.0960000000005
IDXX,2012-03-31,40.743,1.193,18.916,12.705,73.557,4815.0845,254.931,2.263,185.491,4886.787499999999
IDXX,2012-06-30,51.317,0.926,24.051,12.986,89.28,5274.1725,244.945,2.021,201.813,5319.325499999999
IDXX,2012-09-30,42.853,0.873,19.639,12.799,76.16399999999999,5434.3457,232.96,1.776,221.441,5447.6407
IDXX,2012-12-31,43.354,0.856,19.724,13.918,77.852,5058.3424,213.107,1.394,223.986,5048.857400000001
IDXX,2013-03-31,44.86,0.835,15.93,13.513,75.138,5010.0325,261.122,1.141,228.364,5043.931500000001
IDXX,2013-06-30,53.994,1.179,24.029,13.844,93.04599999999999,4722.1785,368.637,0.884,251.013,4840.6865
IDXX,2013-09-30,45.688,1.463,18.786,13.773,79.71000000000001,5178.8105,398.219,0.624,264.811,5312.8425
IDXX,2013-12-31,43.258,1.909,16.722,13.466,75.355,5482.2034,278.035,150.359,279.058,5631.539400000001
IDXX,2014-03-31,46.585,2.774,21.15,13.394,83.903,6226.606,316.05,150.09,286.203,6406.543
IDXX,2014-06-30,57.218,2.965,23.498,14.695,98.376,6730.4587,384.0,150.0,305.048,6959.4107
IDXX,2014-09-30,52.142,4.294,16.045,15.521,88.002,5687.4184,375.0,350.0,292.735,6119.6834
IDXX,2014-12-31,25.961,5.396,3.911,15.278,50.546,7023.9947,549.0,350.0,322.536,7600.4587
IDXX,2015-03-31,46.594,6.304,20.346,16.154,89.398,7229.0461,549.5,500.0,321.375,7957.1711
IDXX,2015-06-30,56.912,7.259,24.665,16.79,105.62599999999998,5941.673,498.0,598.925,344.022,6694.576
IDXX,2015-09-30,44.223,7.75,20.6,18.283,90.85600000000001,6771.6,542.5,599.556,349.549,7564.107000000001
IDXX,2015-12-31,44.349,7.926,15.395,17.729,85.399,6562.4354,573.0,597.085,342.585,7389.9354
IDXX,2016-03-31,46.019,8.304,20.284,18.546,93.15299999999999,7013.2427,622.0,600.021,350.57,7884.6937
IDXX,2016-06-30,67.202,8.204,29.68,19.664,124.75000000000001,8316.5416,558.0,597.958,370.202,9102.297600000002
IDXX,2016-09-30,56.455,7.786,25.072,19.767,109.08,10112.6701,488.0,599.137,391.474,10808.3331
IDXX,2016-12-31,52.369,7.755,24.756,20.241,105.121,10316.711,611.0,593.11,391.85,11128.971
IDXX,2017-03-31,69.019,8.589,15.679,20.307,113.59400000000001,13595.3211,671.0,594.868,400.341,14460.8481
IDXX,2017-06-30,85.357,9.155,29.178,20.586,144.276,14115.6947,704.0,600.891,422.898,14997.6877
IDXX,2017-09-30,70.511,9.764,21.535,20.727,122.53699999999999,13574.4325,686.25,604.149,454.104,14410.7275
IDXX,2017-12-31,38.257,9.717,51.396,21.52,120.89,13621.3235,655.0,606.075,471.93,14410.4685
IDXX,2018-03-31,89.451,9.274,14.873,20.804,134.402,16650.3558,407.5,609.005,159.229,17507.631800000003
IDXX,2018-06-30,108.691,8.457,28.629,20.892,166.66899999999998,18882.7575,437.0,603.13,174.559,19748.3285
