tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
ISRG,2006-03-31,14.458,0.0,9.469,2.174,26.101,4313.254,0.0,0.0,165.447,4147.807
ISRG,2006-06-30,16.682,0.0,11.08,2.189,29.951,4230.275,0.0,0.0,160.518,4069.7569999999996
ISRG,2006-09-30,17.263,0.0,11.559,2.603,31.425000000000004,3895.5339,0.0,0.0,201.808,3693.7259
ISRG,2006-12-31,23.641,0.0,15.986,3.043,42.669999999999995,3557.2187,0.0,0.0,239.743,3317.4757
ISRG,2007-03-31,23.802,0.0,15.145,2.852,41.799,4554.3769,0.0,0.0,274.699,4279.677900000001
ISRG,2007-06-30,30.663,0.0,19.602,3.068,53.333,5238.4287,0.0,0.0,305.886,4932.5427
ISRG,2007-09-30,40.919,0.0,25.29,3.386,69.595,8787.38,0.0,0.0,368.958,8418.421999999999
ISRG,2007-12-31,49.153,0.0,32.66,3.721,85.53399999999999,12425.81,0.0,0.0,427.467,11998.342999999999
ISRG,2008-03-31,44.781,0.0,28.632,4.628,78.041,12553.6424,0.0,0.0,386.968,12166.6744
ISRG,2008-06-30,51.182,0.0,32.72,6.166,90.068,10462.149,0.0,0.0,339.637,10122.511999999999
ISRG,2008-09-30,57.594,0.0,32.032,6.785,96.411,9425.6917,0.0,0.0,408.222,9017.4697
ISRG,2008-12-31,50.758,0.0,37.504,7.505,95.767,4975.8492,0.0,0.0,451.369,4524.4802
ISRG,2009-03-31,28.142,0.0,21.9,7.997,58.039,3609.5667,0.0,0.0,340.016,3269.5507
ISRG,2009-06-30,62.388,0.0,42.323,8.949,113.66,6207.7875,0.0,0.0,380.662,5827.1255
ISRG,2009-09-30,64.524,0.0,44.329,8.952,117.805,10015.3275,0.0,0.0,512.797,9502.530499999999
ISRG,2009-12-31,77.552,0.0,54.953,8.679,141.184,11682.055,0.0,0.0,555.435,11126.62
ISRG,2010-03-31,85.3,0.0,48.5,9.5,143.3,13646.696,0.0,0.0,743.4,12903.296
ISRG,2010-06-30,88.7,0.0,55.5,9.8,154.0,12435.428,0.0,0.0,967.9,11467.528
ISRG,2010-09-30,86.6,0.0,50.5,10.3,147.4,11150.982,0.0,0.0,980.9,10170.082
ISRG,2010-12-31,121.2,0.0,36.0,10.8,168.0,10026.475,0.0,0.0,910.4,9116.075
ISRG,2011-03-31,104.1,0.0,49.5,11.3,164.9,13104.978,0.0,0.0,1089.8,12015.178
ISRG,2011-06-30,117.4,0.0,54.8,11.2,183.39999999999998,14549.501,0.0,0.0,993.9,13555.601
ISRG,2011-09-30,122.4,0.0,58.4,11.5,192.3,14206.92,0.0,0.0,910.6,13296.32
ISRG,2011-12-31,151.2,0.0,51.9,12.5,215.6,18196.293,0.0,0.0,1029.2,17167.093
ISRG,2012-03-31,143.5,0.0,53.6,13.3,210.4,21507.475,0.0,0.0,971.3,20536.175
ISRG,2012-06-30,154.9,0.0,74.4,13.9,243.20000000000002,22096.221,0.0,0.0,1212.5,20883.721
ISRG,2012-09-30,183.3,0.0,32.4,15.2,230.9,19726.074,0.0,0.0,1141.4,18584.674
ISRG,2012-12-31,174.9,0.0,76.9,15.4,267.2,19712.874,0.0,0.0,1324.4,18388.474
ISRG,2013-03-31,188.9,0.0,66.6,16.0,271.5,19745.838,0.0,0.0,1358.2,18387.638
ISRG,2013-06-30,159.1,0.0,63.7,16.6,239.4,20093.4404,0.0,0.0,1290.2,18803.2404
ISRG,2013-09-30,156.8,0.0,21.3,16.6,194.70000000000002,14335.887,0.0,0.0,1212.9,13122.987000000001
ISRG,2013-12-31,166.2,0.0,48.3,18.1,232.6,14671.856,0.0,0.0,1403.5,13268.356
ISRG,2014-03-31,44.3,0.0,16.2,17.0,77.5,16818.816,0.0,0.0,1559.3,15259.516
ISRG,2014-06-30,104.0,0.0,38.6,17.2,159.79999999999998,14824.8,0.0,0.0,978.6,13846.199999999999
ISRG,2014-09-30,123.7,0.0,37.4,19.9,181.0,16764.066,0.0,0.0,1014.3,15749.766
ISRG,2014-12-31,146.8,0.0,38.0,20.3,205.10000000000002,19359.204,0.0,0.0,1232.5,18126.704
ISRG,2015-03-31,97.0,0.0,37.7,20.2,154.89999999999998,18585.104,0.0,0.0,1362.2,17222.904
ISRG,2015-06-30,134.5,0.0,43.9,21.1,199.5,17926.5,0.0,0.0,1561.5,16365.0
ISRG,2015-09-30,167.3,0.0,26.3,23.6,217.20000000000002,17142.334,0.0,0.0,1739.7,15402.633999999998
ISRG,2015-12-31,190.0,0.0,61.8,20.6,272.40000000000003,20426.384,0.0,0.0,1559.8,18866.584
ISRG,2016-03-31,136.4,0.0,48.1,0.0,184.5,22900.005,0.0,0.0,1808.4,21091.605
ISRG,2016-06-30,184.5,0.0,68.9,0.0,253.4,25464.285,0.0,0.0,2183.8,23280.485
ISRG,2016-09-30,211.0,0.0,55.8,0.0,266.8,28050.921,0.0,0.0,2215.3,25835.621
ISRG,2016-12-31,204.0,0.0,72.1,0.0,276.1,24605.796,0.0,0.0,2554.6,22051.196
ISRG,2017-03-31,180.8,0.0,21.3,0.0,202.10000000000002,28206.096,0.0,0.0,1464.8,26741.296000000002
ISRG,2017-06-30,223.0,0.0,47.0,0.0,270.0,34702.227,0.0,0.0,1823.4,32878.827
ISRG,2017-09-30,298.6,0.0,-7.2,0.0,291.40000000000003,39045.838,0.0,0.0,2146.8,36899.038
ISRG,2017-12-31,-31.5,0.0,372.8,0.0,341.3,40982.762,0.0,0.0,1960.6,39022.162000000004
ISRG,2018-03-31,287.6,0.0,2.6,0.0,290.20000000000005,46773.639,0.0,0.0,2517.3,44256.339
ISRG,2018-06-30,255.3,0.0,41.0,0.0,296.3,54403.176,0.0,0.0,2932.5,51470.676
ISRG,2018-09-30,292.5,0.0,43.4,0.0,335.9,65550.8,0.0,0.0,3135.9,62414.9
ISRG,2018-12-31,292.5,0.0,67.5,0.0,360.0,54836.34,0.0,0.0,3063.1,51773.24
ISRG,2019-03-31,306.5,0.0,-24.3,0.0,282.2,65844.932,5.3,71.3,2808.7,63112.83200000001
ISRG,2019-06-30,318.3,0.0,75.4,0.0,393.70000000000005,60428.16,5.5,69.6,2718.4,57784.86
ISRG,2019-09-30,396.8,0.0,0.3,0.0,397.1,62415.908,4.8,72.2,2897.6,59595.308000000005
ISRG,2019-12-31,357.7,0.0,69.0,0.0,426.7,68573.4,7.7,68.7,3221.7,65428.09999999999
ISRG,2020-03-31,313.5,0.0,-8.1,0.0,305.4,57741.486,0.0,0.0,3253.4,54488.085999999996
ISRG,2020-06-30,68.0,0.0,37.0,0.0,105.0,66670.11,0.0,0.0,4488.3,62181.81
ISRG,2020-09-30,313.9,0.0,38.4,0.0,352.29999999999995,83370.95,0.0,0.0,4718.2,78652.75
ISRG,2020-12-31,365.2,0.0,72.9,0.0,438.1,96290.37,21.9,58.0,5171.5,91198.76999999999
ISRG,2021-03-31,426.3,0.0,13.6,0.0,439.90000000000003,87490.496,0.0,0.0,4557.5,82932.996
ISRG,2021-06-30,517.2,0.0,3.2,0.0,520.4000000000001,109161.268,0.0,0.0,4439.2,104722.068
ISRG,2021-09-30,380.5,0.0,73.9,0.0,454.4,118370.4581,0.0,0.0,4132.0,114238.4581
ISRG,2021-12-31,380.6,0.0,71.5,0.0,452.1,128521.61,20.4,66.6,4230.9,124377.71
ISRG,2022-03-31,365.6,0.0,33.0,0.0,398.6,108272.952,0.0,0.0,3995.3,104277.652
ISRG,2022-06-30,307.8,0.0,93.3,0.0,401.1,71673.541,0.0,0.0,4446.0,67227.541
ISRG,2022-09-30,324.0,0.0,78.1,0.0,402.1,66222.552,0.0,0.0,4319.0,61903.551999999996
ISRG,2022-12-31,324.9,0.0,58.0,0.0,382.9,92872.5,24.2,69.6,4122.2,88844.1
ISRG,2023-03-31,355.3,0.0,61.0,0.0,416.3,89516.688,0.0,0.0,4693.4,84823.288
ISRG,2023-06-30,420.8,0.0,73.2,0.0,494.0,120123.522,0.0,0.0,5799.2,114324.322
ISRG,2023-09-30,415.7,0.0,102.2,0.0,517.9,102886.08,0.0,0.0,6475.7,96410.38
ISRG,2023-12-31,606.2,0.0,-94.8,0.0,511.40000000000003,118851.928,25.3,64.5,5223.2,113718.528
ISRG,2024-03-31,544.9,0.0,-8.9,0.0,536.0,141557.223,0.0,0.0,4800.1,136757.123
ISRG,2024-06-30,526.9,0.0,123.0,0.0,649.9,158055.205,0.0,0.0,4757.2,153298.00499999998
ISRG,2024-09-30,565.1,0.0,100.4,0.0,665.5,174990.374,0.0,0.0,4231.7,170758.674
