tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
RVTY,2006-03-31,23.617,2.305,7.145,16.478,49.545,2969.4713,1.09,206.624,321.841,2855.3443
RVTY,2006-06-30,24.485,2.232,7.559,16.928,51.20399999999999,2650.1409,1.09,199.187,323.755,2526.6629
RVTY,2006-09-30,29.753,2.152,7.823,17.531,57.259,2326.8567,1.142,201.133,207.074,2322.0576999999994
RVTY,2006-12-31,41.728,2.468,9.885,18.247,72.328,2739.9587,1.153,151.781,191.059,2701.8336999999997
RVTY,2007-03-31,14.692,2.255,5.559,19.085,41.591,2937.9344,1.627,178.119,119.562,2998.1184000000003
RVTY,2007-06-30,33.687,3.509,11.371,19.076,67.643,3082.8719,0.898,234.504,150.04,3168.2339
RVTY,2007-09-30,30.745,4.122,9.454,18.983,63.304,3460.1874,0.935,246.095,160.901,3546.3163999999997
RVTY,2007-12-31,52.562,5.439,-8.929,20.853,69.925,3059.5617,0.562,516.078,203.348,3372.8537
RVTY,2008-03-31,20.138,6.318,7.384,21.597,55.437000000000005,2857.7898,0.549,566.068,185.262,3239.1447999999996
RVTY,2008-06-30,23.706,5.746,10.12,22.319,61.89099999999999,3306.7698,0.043,521.059,193.451,3634.4208
RVTY,2008-09-30,51.902,6.371,-4.596,22.517,76.194,2948.5575,0.04,544.05,188.808,3303.8395
RVTY,2008-12-31,30.663,6.787,8.308,21.874,67.632,1629.0279,0.04,509.04,179.11,1958.9978999999998
RVTY,2009-03-31,10.559,4.588,5.802,21.675,42.623999999999995,1487.0793,0.04,544.03,162.049,1869.1003
RVTY,2009-06-30,21.505,3.62,8.135,16.39,49.65,2030.6322,0.0,524.0,151.339,2403.2932
RVTY,2009-09-30,13.589,3.876,4.025,19.881,41.371,2245.6928,0.146,576.734,150.586,2671.9867999999997
RVTY,2009-12-31,39.946,3.924,13.838,22.816,80.524,2409.5036,0.146,558.197,179.707,2788.1396000000004
RVTY,2010-03-31,24.391,3.803,7.861,20.001,56.056,2815.181,0.147,528.161,181.744,3161.745
RVTY,2010-06-30,57.643,3.949,7.718,23.076,92.386,2437.1997,0.147,620.138,215.664,2841.8207
RVTY,2010-09-30,13.391,4.185,8.192,22.793,48.561,2731.3068,0.15,670.131,250.988,3150.5998
RVTY,2010-12-31,288.494,3.954,2.291,23.293,318.03200000000004,2987.7613,2.255,424.0,420.086,2993.9303
RVTY,2011-03-31,24.913,3.916,8.384,23.953,61.166,2960.7866,2.25,514.0,415.848,3061.1886
RVTY,2011-06-30,29.761,4.213,6.047,26.648,66.669,3042.9021,0.0,671.0,395.208,3318.6940999999997
RVTY,2011-09-30,36.622,4.449,4.215,28.117,73.403,2172.3629,358.0,150.0,248.102,2432.2609
RVTY,2011-12-31,-83.641,12.205,44.536,32.203,5.302999999999997,2263.14,0.0,944.908,142.342,3065.7059999999997
RVTY,2012-03-31,22.569,11.437,1.476,32.007,67.489,3148.5655,0.0,933.971,144.757,3937.7795
RVTY,2012-06-30,33.633,11.339,4.861,32.156,81.989,2942.748,0.0,911.043,171.403,3682.3880000000004
RVTY,2012-09-30,29.594,11.36,2.357,30.628,73.939,3377.1147,1.47,930.86,170.828,4138.6167
RVTY,2012-12-31,-15.856,11.651,-26.548,32.074,1.320999999999998,3651.2426,1.772,938.824,171.444,4420.3946
