tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
ZBH,2006-03-31,205.6,0.0,85.1,46.2,336.9,16760.5412,0.0,81.5,415.9,16426.1412
ZBH,2006-06-30,200.9,0.0,82.0,47.3,330.2,13788.632,0.0,82.6,338.2,13533.032
ZBH,2006-09-30,183.3,0.0,71.9,51.3,306.5,16098.75,0.0,100.9,277.9,15921.75
ZBH,2006-12-31,244.7,0.0,95.0,52.6,392.3,18560.384,0.0,99.6,268.1,18391.884
ZBH,2007-03-31,233.4,0.0,93.3,53.4,380.09999999999997,20216.547,0.0,100.0,328.4,19988.146999999997
ZBH,2007-06-30,231.5,0.0,92.2,56.0,379.7,20034.04,0.0,95.2,361.0,19768.24
ZBH,2007-09-30,44.5,0.0,83.4,58.2,186.10000000000002,18984.056,0.0,103.2,315.5,18771.756
ZBH,2007-12-31,263.8,0.0,89.0,62.4,415.2,15406.335,0.0,104.3,466.4,15044.234999999999
ZBH,2008-03-31,239.3,0.0,93.1,61.8,394.2,18024.59,0.0,116.9,478.8,17662.690000000002
ZBH,2008-06-30,227.1,0.0,87.8,67.4,382.29999999999995,15324.86,0.0,329.3,390.9,15263.26
ZBH,2008-09-30,214.7,0.0,23.5,66.8,305.0,14500.176,0.0,331.1,545.1,14286.176
ZBH,2008-12-31,167.5,0.0,67.9,79.1,314.5,9037.912,0.0,460.1,215.3,9282.712000000001
ZBH,2009-03-31,202.2,0.0,73.9,79.6,355.70000000000005,7851.15,0.0,660.4,215.5,8296.05
ZBH,2009-06-30,210.1,0.0,82.4,81.8,374.3,9129.18,0.0,653.5,280.2,9502.48
ZBH,2009-09-30,149.9,0.0,49.9,88.2,288.0,11384.85,0.0,600.2,442.5,11542.550000000001
ZBH,2009-12-31,155.2,0.0,74.6,87.8,317.59999999999997,12070.262,0.0,1127.6,758.2,12439.662
ZBH,2010-03-31,205.4,0.0,74.1,84.9,364.4,12005.76,0.0,1127.0,871.4,12261.36
ZBH,2010-06-30,165.5,0.0,48.3,80.9,294.70000000000005,10891.075,0.0,1130.6,986.7,11034.975
ZBH,2010-09-30,191.1,0.0,66.3,83.7,341.09999999999997,10335.175,0.0,1138.6,981.6,10492.175
ZBH,2010-12-31,34.9,0.0,74.6,90.7,200.2,10499.808,0.0,1140.6,934.0,10706.408000000001
ZBH,2011-03-31,208.9,13.0,77.3,86.1,385.29999999999995,11621.76,0.0,1140.2,866.2,11895.76
ZBH,2011-06-30,203.8,13.1,45.5,88.6,351.0,12033.28,0.0,1147.3,945.5,12235.08
ZBH,2011-09-30,191.5,13.0,63.7,90.9,359.1,9647.792,0.0,1543.5,977.9,10213.392
ZBH,2011-12-31,156.6,16.2,32.4,94.3,299.5,9508.76,143.3,1576.0,1223.8,10004.26
ZBH,2012-03-31,209.6,17.6,72.2,96.8,396.2,11319.708,144.6,1572.8,1229.1,11808.008
ZBH,2012-06-30,214.5,18.1,73.6,93.4,399.6,11237.256,3.4,1726.5,1335.9,11631.256
ZBH,2012-09-30,178.1,18.3,57.2,82.7,336.3,11732.07,0.3,1734.1,1488.9,11977.57
ZBH,2012-12-31,152.8,18.9,34.2,90.2,296.1,11438.856,100.1,1720.8,1555.9,11703.856
ZBH,2013-03-31,228.5,18.2,67.6,85.1,399.4,12606.872,0.0,1702.8,1201.2,13108.471999999998
ZBH,2013-06-30,157.8,18.3,47.4,91.4,314.90000000000003,12672.354,0.0,1688.1,1235.8,13124.654
ZBH,2013-09-30,157.6,17.1,46.5,91.9,313.1,14004.87,0.0,1686.0,1505.8,14185.070000000002
ZBH,2013-12-31,236.5,16.5,68.0,90.1,411.1,15823.662,0.5,1672.3,1807.6,15688.862
ZBH,2014-03-31,221.0,15.0,65.9,101.0,402.9,15861.066,0.0,1680.1,1588.1,15953.066
ZBH,2014-06-30,172.4,15.8,58.6,91.3,338.1,17531.568,0.0,1687.4,1698.0,17520.968
ZBH,2014-09-30,173.1,16.3,56.9,90.9,337.20000000000005,17023.115,250.0,1426.4,1747.1,16952.415000000005
ZBH,2014-12-31,153.8,16.0,38.8,92.6,301.20000000000005,19247.374,0.0,1425.5,1695.8,18977.074
ZBH,2015-03-31,171.4,23.1,55.7,89.0,339.2,20025.408,0.0,9061.2,9281.9,19804.708
ZBH,2015-06-30,-173.6,82.7,-64.8,99.6,-56.099999999999994,22206.459,300.0,11749.8,1883.6,32372.659
ZBH,2015-09-30,22.2,90.8,9.6,239.5,362.1,19133.541,225.0,11689.6,1810.2,29237.941000000003
ZBH,2015-12-31,127.0,90.0,6.5,284.3,507.8,20794.993,0.0,11556.3,1623.9,30727.392999999996
ZBH,2016-03-31,108.8,88.2,46.1,246.9,490.0,21230.033,0.0,11117.4,1010.2,31337.232999999997
ZBH,2016-06-30,-31.3,88.1,142.2,252.3,451.3,24039.886,500.0,10533.5,976.3,34097.085999999996
ZBH,2016-09-30,158.8,91.5,-54.4,288.1,484.0,26030.004,575.8,11006.2,488.7,37123.304000000004
ZBH,2016-12-31,69.6,90.1,-38.9,252.0,372.79999999999995,20701.92,575.6,10665.8,634.1,31309.219999999998
ZBH,2017-03-31,299.4,82.9,-34.1,267.6,615.8,24617.376,975.0,10537.8,1039.5,35090.676
ZBH,2017-06-30,184.2,82.3,12.3,264.1,542.9000000000001,25949.64,1329.3,9354.4,450.0,36183.34
ZBH,2017-09-30,98.8,82.3,28.4,266.5,476.0,23699.016,1225.0,9199.7,480.8,33642.916
ZBH,2017-12-31,1231.4,80.0,-1355.4,264.5,220.5,24447.742,1225.0,8917.5,524.4,34065.842
ZBH,2018-03-31,174.7,78.9,47.2,263.5,564.3,22167.832,1625.0,9486.9,1765.4,31514.331999999995
ZBH,2018-06-30,185.0,75.9,32.9,261.6,555.4,22666.896,100.0,9413.3,481.2,31698.996
ZBH,2018-09-30,162.2,68.3,-8.5,260.6,482.6,26819.88,600.0,8597.4,524.6,35492.68
ZBH,2018-12-31,-901.1,69.5,36.6,254.8,-540.2,21158.88,525.0,8413.7,542.8,29554.780000000002
ZBH,2019-03-31,246.1,58.0,45.5,247.7,597.3,26152.96,562.2,8518.8,586.8,34647.159999999996
ZBH,2019-06-30,133.7,59.7,8.4,253.0,454.79999999999995,24124.926,2062.5,6924.7,403.1,32709.025999999998
ZBH,2019-09-30,431.1,56.8,-247.4,251.5,492.0,28222.712,2061.8,6555.0,512.5,36327.012
ZBH,2019-12-31,320.7,52.4,-32.2,253.9,594.8,30834.08,1564.2,6936.9,617.9,38717.28
ZBH,2020-03-31,-508.5,50.9,5.2,253.0,-199.40000000000003,20903.344,1950.0,7724.2,2433.6,28143.944000000003
