tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
A,2006-01-31,2816.0,5.0,10.0,41.0,2872.0,14581.3,0.0,1500.0,2737.0,13344.3,,
A,2006-04-30,115.0,18.0,23.0,44.0,200.0,16366.92,0.0,1500.0,2657.0,15209.919999999998,-93.03621169916434,13.980650914622705
A,2006-07-31,227.0,21.0,11.0,43.0,302.0,11631.96,0.0,1500.0,2249.0,10882.96,51.0,-28.44827586206896
A,2006-10-31,149.0,25.0,47.0,42.0,263.0,14524.8,0.0,1500.0,2262.0,13762.8,-12.91390728476821,26.46191844865735
A,2007-01-31,150.0,23.0,-27.0,46.0,192.0,12960.0,0.0,1500.0,2090.0,12370.0,-26.996197718631176,-10.120033714069809
A,2007-04-30,123.0,22.0,33.0,47.0,225.0,13609.0765,0.0,1500.0,2050.0,13059.0765,17.1875,5.5705456750202
A,2007-07-31,185.0,23.0,5.0,50.0,263.0,14746.8062,0.0,1500.0,1486.0,14760.8062,16.888888888888886,13.03101103665334
A,2007-10-31,180.0,23.0,21.0,39.0,263.0,13634.5,0.0,2087.0,1826.0,13895.5,0.0,-5.862187933881291
A,2008-01-31,120.0,30.0,27.0,49.0,226.0,12460.48,1500.0,626.0,3148.0,11438.48,-14.068441064638781,-17.682127307401686
A,2008-04-30,173.0,29.0,23.0,51.0,276.0,10878.8627,1752.0,622.0,3312.0,9940.8627,22.123893805309724,-13.092799917471554
A,2008-07-31,169.0,31.0,46.0,57.0,303.0,12892.9285,1711.0,604.0,3239.0,11968.9285,9.782608695652172,20.401305814232806
A,2008-10-31,231.0,33.0,26.0,44.0,334.0,7766.5,0.0,2125.0,1429.0,8462.5,10.231023102310232,-29.296093631104902
A,2009-01-31,64.0,23.0,-37.0,41.0,91.0,6242.2285,50.0,2154.0,1380.0,7066.228500000001,-72.75449101796407,-16.49951550960117
A,2009-04-30,-101.0,23.0,43.0,40.0,5.0,6269.644,0.0,2154.0,1412.0,7011.644,-94.5054945054945,-0.7724700665991846
A,2009-07-31,-19.0,21.0,-22.0,41.0,21.0,8013.5006,0.0,2153.0,1499.0,8667.5006,320.0,23.615811070841588
A,2009-10-31,25.0,21.0,54.0,40.0,140.0,8563.7015,0.0,2904.0,2493.0,8974.7015,566.6666666666667,3.5442847272488143
A,2010-01-31,79.0,23.0,4.0,39.0,145.0,9754.44,1501.0,1410.0,4046.0,8619.44,3.571428571428581,-3.9584770590977203
A,2010-04-30,108.0,22.0,31.0,36.0,197.0,12618.48,1501.0,1393.0,4209.0,11303.48,35.862068965517246,31.139377964229674
A,2010-07-31,205.0,24.0,22.0,60.0,311.0,9663.78,1501.0,2177.0,3868.0,9473.78,57.868020304568525,-16.187050359712217
A,2010-10-31,292.0,27.0,-49.0,65.0,335.0,12045.8112,1501.0,2190.0,4199.0,11537.8112,7.717041800643076,21.786775711490016
A,2011-01-31,193.0,23.0,5.0,63.0,284.0,14431.35,1.0,2138.0,2655.0,13915.35,-15.223880597014928,20.60649770382792
A,2011-04-30,200.0,20.0,60.0,64.0,344.0,17368.68,0.0,2144.0,2975.0,16537.68,21.126760563380277,18.844872748439666
A,2011-07-31,330.0,20.0,-49.0,63.0,364.0,14629.52,0.0,2168.0,3101.0,13696.52,5.813953488372103,-17.17991882779205
A,2011-10-31,289.0,23.0,4.0,63.0,379.0,12840.3807,253.0,1932.0,3527.0,11498.3807,4.120879120879128,-16.04888906087094
A,2012-01-31,230.0,26.0,26.0,62.0,344.0,14763.6338,252.0,1929.0,3662.0,13282.6338,-9.234828496042214,15.517429336810885
A,2012-04-30,255.0,25.0,38.0,61.0,379.0,14657.5922,251.0,1926.0,3896.0,12938.5922,10.174418604651159,-2.590160996533686
A,2012-07-31,243.0,24.0,-5.0,84.0,346.0,13363.21,500.0,1714.0,1923.0,13654.21,-8.70712401055409,5.5308783903089465
A,2012-10-31,425.0,26.0,-169.0,94.0,376.0,12469.5633,250.0,2112.0,2351.0,12480.5633,8.670520231213864,-8.59549325812331
