tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
COO,2006-01-31,17.954,8.428,2.169,14.176,42.727,2467.411,38.537,727.234,24.597,3208.5849999999996,,
COO,2006-04-30,13.701,7.787,1.892,15.097,38.477,2441.1346,58.62,698.187,16.555,3181.3866,-9.946872001310647,-0.8476758446480215
COO,2006-07-31,20.977,8.534,3.312,15.747,48.57,1968.5354,60.573,698.443,12.724,2714.8274,26.23125503547574,-14.66527834121134
COO,2006-10-31,13.602,8.497,-0.27,16.627,38.456,2567.3012,61.366,681.286,8.224,3301.7292,-20.823553633930402,21.618383548066443
COO,2007-01-31,5.348,8.91,1.441,16.066,31.765,2126.6568,36.142,817.519,23.544,2956.7738,-17.39910547118786,-10.44771933446269
COO,2007-04-30,-0.527,10.918,0.149,16.873,27.413,2285.5497,48.417,817.446,12.033,3139.3797,-13.700613883204781,6.175849501913211
COO,2007-07-31,8.18,11.085,4.905,22.712,46.882000000000005,2245.824,53.706,807.58,8.061,3099.049,71.02104840768979,-1.2846709813406743
COO,2007-10-31,-24.193,10.888,5.369,28.86,20.924,1884.498,46.514,830.116,3.226,2757.9019999999996,-55.36879825945993,-11.008118942294887
COO,2008-01-31,6.877,11.106,2.61,20.112,40.705,1771.6274,46.858,878.251,2.586,2694.1504,94.53737335117569,-2.311597728998338
COO,2008-04-30,11.241,12.07,4.705,21.016,49.032,1574.685,39.258,901.787,1.911,2513.819,20.45694632109076,-6.693442207235356
COO,2008-07-31,17.879,12.31,-0.363,21.263,51.089,1516.6011,36.894,890.866,3.438,2440.9231,4.195219448523413,-2.899807026679324
COO,2008-10-31,29.479,12.343,3.779,19.794,65.395,743.7259,43.013,861.781,1.944,1646.5759,28.002113957994858,-32.54290149493034
COO,2009-01-31,23.873,11.457,5.595,25.0,65.925,856.818,41.789,871.367,1.885,1768.089,0.8104595152534699,7.379744838971591
COO,2009-04-30,24.649,10.83,5.988,21.006,62.473,1298.9538,47.214,848.379,4.472,2190.0748,-5.236253318164574,23.866773674854592
COO,2009-07-31,21.908,11.085,0.777,21.987,55.757000000000005,1239.7666,38.448,800.525,3.79,2074.9496,-10.750244105453543,-5.256678904300438
COO,2009-10-31,30.118,10.771,1.92,24.609,67.418,1267.2844,9.844,771.63,3.932,2044.8264,20.913965959431113,-1.451755743850358
COO,2010-01-31,20.423,10.225,4.003,22.905,57.556,1603.9872,19.14,724.178,1.822,2345.4832,-14.62814085259131,14.703292171892945
COO,2010-04-30,4.455,9.73,-1.983,23.992,36.194,1772.334,13.567,699.381,9.829,2475.453,-37.115157411911866,5.541280363892609
COO,2010-07-31,39.727,8.729,3.925,23.888,76.26899999999999,1774.4253,22.298,624.373,3.24,2417.8563000000004,110.722771730121,-2.3267135348560286
COO,2010-10-31,48.198,7.984,5.678,23.215,85.075,2261.1042,19.159,591.977,3.573,2868.6672000000003,11.54597542907343,18.64506587922532
COO,2011-01-31,39.215,6.951,1.813,22.894,70.873,2648.5919,15.486,586.724,3.32,3247.4819,-16.693505730238023,13.205250856565032
COO,2011-04-30,35.36,4.268,4.361,23.511,67.5,3515.2817,29.097,524.118,8.43,4060.0667,-4.759217191314047,25.021996273481918
COO,2011-07-31,44.217,3.217,4.918,25.405,77.757,3651.2502,38.735,406.485,7.872,4088.5982,15.195555555555561,0.7027347604905199
COO,2011-10-31,56.638,2.906,6.242,26.339,92.125,3315.7278,52.979,327.453,5.175,3690.9848,18.47807914399988,-9.724932129549924
COO,2012-01-31,54.623,3.662,4.124,25.816,88.225,3416.1897,39.191,371.114,7.681,3818.8137,-4.233378561736778,3.4632735415220273
COO,2012-04-30,54.921,3.071,7.759,26.754,92.505,4244.592,44.216,275.092,7.745,4556.155,4.851232643808445,19.308124405230863
COO,2012-07-31,66.875,2.716,4.433,27.825,101.849,3604.4272,25.858,454.225,12.732,4071.7782,10.101075617534194,-10.631262544843178
COO,2012-10-31,71.92,2.722,10.492,30.819,115.953,4649.2712,25.284,348.422,12.84,5010.137199999999,13.847951379002254,23.045435038676686
COO,2013-01-31,74.667,2.567,6.041,31.525,114.8,4896.8266,30.459,377.512,14.445,5290.3526,-0.9943684078894122,5.592968591758352
COO,2013-04-30,75.136,2.443,3.474,30.944,111.997,5371.7328,28.955,291.549,14.441,5677.7958,-2.441637630662019,7.323579906564248
COO,2013-07-31,88.951,2.258,2.07,31.117,124.396,6233.5278,28.338,215.291,25.482,6451.6748,11.070832254435391,13.62991955434536
COO,2013-10-31,57.397,1.9,3.78,31.763,94.84,6201.434,42.987,301.67,77.393,6468.698,-23.759606418212798,0.26385706855529545
COO,2014-01-31,71.843,1.656,7.191,31.395,112.085,5947.9165,44.147,301.589,28.828,6264.8245,18.183256010122296,-3.1516929681985606
COO,2014-04-30,79.16,1.558,8.184,31.75,120.652,6323.6335,33.916,301.508,82.659,6576.3985,7.643306419235407,4.97338752266725
COO,2014-07-31,88.067,1.499,5.712,32.502,127.78,7767.6082,46.492,301.449,173.786,7941.763199999999,5.907900407784372,20.76158706015152
COO,2014-10-31,30.786,3.252,3.618,42.554,80.21000000000001,7890.6377,101.518,1280.833,25.222,9247.7667,-37.22804820785724,16.444754988413667
COO,2015-01-31,61.179,3.941,5.716,42.884,113.72,7612.7609,92.795,1302.542,16.428,8991.6699,41.7778331878818,-2.769282663672723
COO,2015-04-30,60.713,4.692,5.855,44.505,115.765,8652.4213,242.165,1105.544,17.911,9982.2193,1.7982764685191777,11.01630076522271
COO,2015-07-31,44.952,4.69,-0.642,53.909,102.909,8604.678,237.558,1070.299,17.005,9895.53,-11.105256338271497,-0.8684371420291326
COO,2015-10-31,36.679,4.78,-0.588,50.105,90.976,7354.1125,244.193,1105.764,16.426,8687.6435,-11.595681621626886,-12.206385105193963
COO,2016-01-31,51.356,5.274,-1.011,51.155,106.774,6346.4797,46.696,1330.627,16.047,7707.755700000001,17.36501934576151,-11.279097720803112
COO,2016-04-30,74.125,7.612,8.183,47.979,137.899,7416.4198,30.191,1411.182,44.464,8813.3288,29.150354955326208,14.343644804414325
