tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
DHR,2006-03-31,215.719,9.794,73.394,0.0,298.90700000000004,19471.72,6.588,863.951,260.823,20081.436,,
DHR,2006-06-30,314.522,17.29,51.51,0.0,383.322,19765.536,280.342,2382.717,284.733,22143.862,28.241225531687107,10.270311346260286
DHR,2006-09-30,268.071,26.48,97.11,0.0,391.66100000000006,21136.626,13.812,2261.543,263.952,23148.029,2.1754556221662336,4.534741952420029
DHR,2006-12-31,323.717,25.811,97.623,0.0,447.1509999999999,22329.0505,10.855,2422.861,317.81,24444.9565,14.167864556338227,5.602755638503831
DHR,2007-03-31,254.804,27.291,92.798,63.048,437.941,22092.34,30.51,2294.834,197.564,24220.12,-2.0597068999062773,-0.91976641480217
DHR,2007-06-30,311.154,23.948,112.236,63.504,510.842,23267.3635,25.373,2133.204,174.145,25251.7955,16.646306237598218,4.259580464506385
DHR,2007-09-30,483.721,25.67,103.58,63.859,676.83,25672.9359,20.36,1926.846,209.281,27410.860900000003,32.49302132557621,8.550146067831111
DHR,2007-12-31,320.225,32.793,114.487,78.081,545.586,27899.9162,330.48,3395.764,239.108,31387.0522,-19.390984442178983,14.505897186177009
DHR,2008-03-31,276.505,40.669,99.57,87.094,503.838,24210.3089,301.122,3204.144,233.819,27481.7559,-7.651955878633244,-12.442379982405605
DHR,2008-06-30,363.448,33.854,114.574,83.436,595.312,24653.9847,312.647,2740.056,284.1,27422.587700000004,18.155438851376825,-0.2152999255771615
DHR,2008-09-30,371.992,30.218,121.0,84.526,607.736,22180.934,316.38,2391.302,286.519,24602.097,2.0869728814470356,-10.285282814502594
DHR,2008-12-31,305.686,25.433,96.532,84.231,511.88199999999995,18023.4918,66.159,2553.17,392.854,20249.9668,-15.77230902892046,-17.690078207560934
DHR,2009-03-31,237.712,24.057,79.115,80.796,421.68,17282.3539,77.18,2840.79,975.945,19224.3789,-17.62163936219675,-5.064639908446655
DHR,2009-06-30,295.694,31.329,18.049,85.95,431.022,19740.6241,41.398,2863.393,1258.411,21387.0041,2.2154240182128637,11.249389180526382
DHR,2009-09-30,351.363,31.842,82.986,85.651,551.842,21625.5402,50.714,2899.497,1636.231,22939.5202,28.03105177925953,7.259156508040321
DHR,2009-12-31,266.935,35.428,93.0,92.19,487.553,24269.672,44.186,2889.023,1721.92,25480.961000000003,-11.649892541705775,11.078875137065868
DHR,2010-03-31,300.233,30.044,100.307,0.0,430.584,25942.5418,63.551,2822.298,806.368,28022.0228,-11.684678383683412,9.972393898330578
DHR,2010-06-30,372.476,28.944,127.739,0.0,529.159,24225.3658,69.964,2754.966,1232.936,25817.3598,22.893326273154592,-7.86760832983121
DHR,2010-09-30,646.435,30.388,168.868,0.0,845.691,26557.0719,39.483,2822.259,1635.041,27783.7729,59.81793751972471,7.616631271490437
