tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
DXCM,2006-03-31,-10.919,0.0,0.0,0.48,-10.439,520.0066,0.0,0.0,38.674,481.33260000000007,,
DXCM,2006-06-30,-11.169,0.007,0.0,0.547,-10.615,381.0412,0.15,1.35,72.343,310.1982,1.6859852476290849,-35.554292395736354
DXCM,2006-09-30,-13.438,0.029,0.0,0.599,-12.81,312.7753,0.54,2.16,64.678,250.7973000000001,20.67828544512482,-19.149337423621382
DXCM,2006-12-31,-11.073,0.059,0.0,1.072,-9.942,277.697,0.908,2.118,54.509,226.214,-22.388758782201414,-9.802059272567964
DXCM,2007-03-31,-10.929,0.265,0.0,0.626,-10.038,222.6974,1.289,62.149,93.176,192.9594,0.9656004828002329,-14.700504831708038
DXCM,2007-06-30,-11.336,0.922,0.0,0.645,-9.769,232.3503,1.375,61.719,84.2,211.2443,-2.6798166965530945,9.476034855000592
DXCM,2007-09-30,-11.384,0.895,0.0,0.637,-9.852,284.46,1.375,61.375,74.279,272.931,0.8496263691268213,29.20159265835811
DXCM,2007-12-31,-12.229,0.902,0.0,1.004,-10.323,252.7499,1.375,61.031,64.323,250.8329,4.780755176613893,-8.096588515045921
DXCM,2008-03-31,-13.814,1.735,0.0,0.855,-11.224,122.0431,2.275,62.788,50.584,136.5221,8.728082921631298,-45.57249069001714
DXCM,2008-06-30,-14.966,1.818,0.0,0.703,-12.445,178.9954,2.275,62.219,37.859,205.6304,10.8784746970777,50.6205954933304
DXCM,2008-09-30,-15.631,1.856,0.0,0.71,-13.065,184.3877,2.275,61.65,25.383,222.9297,4.981920449979915,8.412812502431532
DXCM,2008-12-31,-14.445,1.874,0.0,0.768,-11.803,82.3142,1.931,61.425,27.068,118.6022,-9.659395331037112,-46.798385320574155
DXCM,2009-03-31,-13.142,1.928,0.0,0.652,-10.562,190.055,1.588,42.706,61.452,172.897,-10.514276031517422,45.778914725021956
DXCM,2009-06-30,-15.33,1.982,0.0,0.662,-12.686,284.1643,1.244,43.667,48.874,280.20130000000006,20.109827684150726,62.06255747641664
DXCM,2009-09-30,-13.523,2.037,0.0,0.589,-10.897,364.9941,0.9,44.683,37.718,372.8591,-14.102159861264385,33.06829768455748
DXCM,2009-12-31,-11.529,2.098,0.0,0.47,-8.961,371.5832,0.9,45.757,28.016,390.22419999999994,-17.766357713132052,4.657282067140089
DXCM,2010-03-31,-20.273,1.299,0.0,0.5,-18.474,559.4266,0.9,4.968,49.921,515.3735999999999,106.16002678272514,32.07115294233418
DXCM,2010-06-30,-11.687,0.197,0.0,0.588,-10.902,669.6014,0.9,3.283,40.081,633.7034,-40.98733354985386,22.960004160088943
DXCM,2010-09-30,-13.398,0.044,0.0,0.628,-12.726,776.252,0.75,0.0,31.573,745.429,16.730875068794738,17.630582382862393
DXCM,2010-12-31,-9.812,0.008,0.0,0.721,-9.083,847.3647,0.525,0.0,48.552,799.3376999999999,-28.626434071978636,7.231902703007265
DXCM,2011-03-31,-11.85,0.006,0.0,0.806,-11.038,968.029,0.3,0.0,38.545,929.784,21.523725641307934,16.319297838698233
DXCM,2011-06-30,-7.367,0.003,0.0,0.892,-6.4719999999999995,975.6262,0.075,0.0,106.017,869.6842000000001,-41.366189527088245,-6.463845366235588
