tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
EW,2006-03-31,45.9,2.8,20.5,14.2,83.39999999999999,2575.2,0.0,288.8,189.2,2674.8,,
EW,2006-06-30,36.1,2.7,9.4,14.2,62.400000000000006,2648.569,0.0,279.6,167.1,2761.069,-25.179856115107903,3.225250486017628
EW,2006-09-30,27.8,2.6,8.9,13.8,53.10000000000001,2692.902,0.0,253.0,151.3,2794.602,-14.903846153846146,1.2144933719512307
EW,2006-12-31,20.7,2.4,3.0,14.6,40.7,2714.208,0.0,235.9,182.8,2767.308,-23.35216572504709,-0.9766685918066287
EW,2007-03-31,33.2,2.3,11.4,13.4,60.3,2925.39,0.0,224.5,180.2,2969.69,48.157248157248134,7.31331676849849
EW,2007-06-30,34.9,2.3,11.9,13.7,62.8,2832.116,150.0,57.6,164.9,2874.816,4.1459369817578695,-3.194744232563007
EW,2007-09-30,29.1,2.2,9.7,14.0,55.0,2805.739,150.0,61.2,175.7,2841.239,-12.420382165605092,-1.16797040227965
EW,2007-12-31,15.8,2.3,3.8,13.7,35.6,2603.034,150.0,61.7,191.2,2623.534,-35.272727272727266,-7.662326189384272
EW,2008-03-31,18.2,2.1,16.5,13.5,50.3,2432.43,150.0,62.9,189.6,2455.73,41.29213483146066,-6.396105405914321
EW,2008-06-30,39.7,1.9,12.4,14.0,68.0,3505.26,0.0,141.7,208.1,3438.86,35.18886679920479,40.03412427261954
EW,2008-09-30,32.9,1.5,10.7,13.8,58.89999999999999,3228.784,0.0,202.8,214.5,3217.0840000000003,-13.382352941176478,-6.449113950553375
EW,2008-12-31,38.1,1.7,-4.1,14.3,50.0,3071.705,0.0,175.5,226.8,3020.4049999999997,-15.110356536502534,-6.113579875440012
EW,2009-03-31,60.5,0.8,24.5,14.2,100.0,3395.28,0.0,123.0,150.4,3367.88,100.0,11.504251913236807
EW,2009-06-30,47.5,0.5,15.3,14.9,78.2,3836.892,0.0,113.9,188.3,3762.492,-21.799999999999997,11.716925781203603
EW,2009-09-30,73.5,0.9,20.7,15.4,110.5,3935.933,0.0,102.3,289.5,3748.733,41.30434782608696,-0.365688485184823
EW,2009-12-31,47.6,0.5,14.8,14.2,77.10000000000001,4933.08,0.0,90.3,334.1,4689.28,-30.226244343891395,25.089730316883042
EW,2010-03-31,47.7,0.5,17.8,14.0,80.0,5616.384,0.0,129.3,321.2,5424.484,3.7613488975356546,15.678398389518232
EW,2010-06-30,57.5,0.7,8.9,13.7,80.80000000000001,6335.862,0.0,177.5,320.3,6193.062,1.000000000000023,14.168684062852787
EW,2010-09-30,48.0,0.7,18.2,13.4,80.30000000000001,7650.405,100.6,0.0,361.0,7390.005,-0.6188118811881194,19.32715997353167
EW,2010-12-31,64.8,0.5,5.3,15.4,86.0,9296.6,41.8,0.0,396.1,8942.3,7.098381070983795,21.005330848896577
EW,2011-03-31,63.9,0.5,20.7,14.5,99.6,9987.6,149.5,0.0,433.8,9703.3,15.81395348837209,8.510114847410621
EW,2011-06-30,58.1,0.7,14.7,14.8,88.3,10016.982,0.0,174.8,468.2,9723.582,-11.345381526104415,0.20902167303908925
EW,2011-09-30,51.6,1.0,6.0,13.9,72.5,8140.176,0.0,175.0,451.1,7864.075999999999,-17.893544733861834,-19.12367273706337
EW,2011-12-31,63.1,0.9,5.5,14.8,84.3,8066.87,0.0,150.4,450.5,7766.77,16.27586206896552,-1.2373481639800898
EW,2012-03-31,65.1,1.1,20.5,13.8,100.5,8291.22,0.0,179.4,409.5,8061.119999999999,19.217081850533813,3.789863740010313
EW,2012-06-30,67.8,1.2,22.1,14.0,105.1,11910.49,0.0,185.1,506.0,11589.59,4.577114427860685,43.771461037672196
EW,2012-09-30,69.2,0.9,24.2,14.4,108.70000000000002,12454.92,0.0,175.4,622.5,12007.82,3.42530922930544,3.608669504270634
EW,2012-12-31,91.1,1.2,31.1,15.1,138.5,10306.431,0.0,189.3,521.4,9974.331,27.414903403863832,-16.93470588333269
EW,2013-03-31,143.9,1.4,46.7,14.1,206.1,9325.16,0.0,192.7,557.9,8959.960000000001,48.8086642599278,-10.169814897861308
EW,2013-06-30,93.3,1.4,27.2,14.7,136.6,7539.84,0.0,227.3,575.0,7192.14,-33.72149442018437,-19.730222009919697
EW,2013-09-30,76.8,1.9,23.0,17.0,118.7,7617.522,0.0,532.1,757.6,7392.022,-13.103953147877013,2.7791728192165355
EW,2013-12-31,75.1,5.1,25.2,17.1,122.5,7187.568,0.0,593.1,936.9,6843.768000000001,3.2013479359730423,-7.41683398669537
EW,2014-03-31,60.3,4.6,17.0,16.2,98.1,7810.101,0.0,725.4,831.6,7703.901,-19.91836734693878,12.56812036877928
EW,2014-06-30,547.0,4.4,266.2,16.1,833.6999999999999,9099.04,0.0,598.0,1484.1,8212.94,749.8470948012232,6.607548565330745
EW,2014-09-30,94.6,4.3,26.0,18.0,142.89999999999998,10919.835,13.6,596.4,1515.1,10014.735,-82.85954180160729,21.93848974910324
EW,2014-12-31,109.2,3.9,23.7,18.3,155.10000000000002,13731.564,0.0,598.1,1438.8,12890.864,8.53743876836952,28.718972593882896
EW,2015-03-31,123.4,4.2,39.1,16.0,182.7,15314.45,0.0,602.7,1370.8,14546.350000000002,17.794970986460324,12.84231995621088
EW,2015-06-30,112.7,4.2,29.5,16.8,163.20000000000002,15296.982,0.0,600.3,1409.0,14488.282,-10.673234811165832,-0.3991929246855985
EW,2015-09-30,118.1,4.3,32.6,18.5,173.5,15311.709,0.0,604.9,1250.5,14666.109,6.31127450980391,1.2273849998226227
EW,2015-12-31,140.7,4.5,26.3,14.5,186.0,17012.292,0.0,599.9,1224.7,16387.492000000002,7.204610951008639,11.737148551125598
EW,2016-03-31,143.0,2.4,40.3,15.9,201.6,18691.699,0.0,602.2,951.8,18342.099,8.387096774193537,11.927432214764755
EW,2016-06-30,126.6,2.4,42.4,18.0,189.4,21212.571,0.0,602.5,1060.2,20754.871,-6.051587301587292,13.154285122984021
EW,2016-09-30,141.4,2.1,43.8,18.2,205.5,25763.672,0.0,600.6,1200.3,25163.972,8.500527983104543,21.243692625215548
EW,2016-12-31,158.5,1.5,41.9,19.1,221.0,19826.92,0.0,822.3,1271.1,19378.12,7.542579075425793,-22.992602280752827
EW,2017-03-31,230.2,0.0,63.4,21.1,314.7,19792.328,0.0,847.9,918.2,19722.028,42.398190045248874,1.7747232445665562
EW,2017-06-30,186.1,0.0,19.5,18.9,224.5,24960.464,0.0,1016.8,1131.8,24845.464,-28.6622179853829,25.978241182904725
EW,2017-09-30,170.1,0.0,41.7,20.7,232.5,23128.9029,0.0,1034.0,1402.8,22760.1029,3.563474387527843,-8.39332724878875
EW,2017-12-31,-2.8,0.0,326.7,21.2,345.09999999999997,23635.287,598.0,438.4,1337.5,23334.187,48.430107526881706,2.522326469798175
EW,2018-03-31,206.6,0.0,56.9,19.1,282.6,29396.864,598.6,456.0,1499.3,28952.164,-18.11069255288321,24.07616344207748
EW,2018-06-30,282.7,0.0,-31.7,19.2,270.2,30453.244,599.2,593.9,1400.8,30245.544,-4.387827317763637,4.467299922727719
EW,2018-09-30,225.9,0.0,22.8,19.2,267.90000000000003,36404.31,599.9,593.6,1595.7,36002.11,-0.8512213175425498,19.032773885634178
EW,2018-12-31,7.0,0.0,-8.8,19.9,18.1,31813.409,0.0,593.8,956.5,31450.709,-93.24374766703994,-12.642039591568388
EW,2019-03-31,249.7,0.0,28.3,20.6,298.6,39873.172,22.6,643.6,963.0,39576.372,1549.7237569060771,25.83618385200792
EW,2019-06-30,242.3,0.0,29.0,21.7,293.0,38407.446,23.8,644.5,934.3,38141.446,-1.8754186202277423,-3.6257138476462614
EW,2019-09-30,274.7,0.0,27.0,23.1,324.8,45851.235,24.1,646.6,1356.9,45165.035,10.853242320819124,18.414585015995467
EW,2019-12-31,280.2,0.0,35.3,23.9,339.4,48780.939,25.5,653.3,1516.9,47942.839,4.495073891625601,6.150341741127829
EW,2020-03-31,310.6,0.0,53.9,24.5,389.0,38950.03,24.9,650.3,1031.1,38594.130000000005,14.614024749558041,-19.499698380398367
EW,2020-06-30,-121.9,0.0,-46.3,24.5,-143.7,42944.954,23.8,660.7,1163.8,42465.653999999995,-136.9408740359897,10.031380419768476
EW,2020-09-30,325.2,0.0,39.1,25.6,389.9,49719.878,24.2,665.9,1295.3,49114.67799999999,-371.32915796798886,15.657415755330174
EW,2020-12-31,309.5,0.0,46.6,32.6,388.7000000000001,56954.889,27.2,667.7,1419.2,56230.589,-0.30777122339058494,14.4883592640066
