tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
LLY,2006-03-31,834.8,65.0,221.9,204.9,1326.6,62496.2443,736.0,5612.5,4503.7,64341.044299999994,,
LLY,2006-06-30,822.0,65.8,218.5,209.1,1315.4,62477.1527,738.6,5578.0,4590.7,64203.0527,-0.8442635308306801,-0.21446900885939701
LLY,2006-09-30,873.6,62.7,232.2,214.2,1382.7,64500.516,334.2,4553.3,3618.5,65769.516,5.116314429071012,2.439857972672388
LLY,2006-12-31,132.3,44.6,82.7,173.6,433.2000000000001,56875.9028,219.4,3494.4,3891.0,56698.70280000001,-68.66999349099588,-13.791819906352965
LLY,2007-03-31,508.7,53.0,210.7,245.1,1017.5,58633.4883,734.0,4624.2,3363.9,60627.78829999999,134.87996306555857,6.929762597672662
LLY,2007-06-30,663.6,59.1,263.1,262.5,1248.3000000000002,61002.4078,464.2,4574.0,3004.4,63036.2078,22.683046683046705,3.972468017607045
LLY,2007-09-30,926.3,55.8,252.1,265.5,1499.6999999999998,62148.6592,442.1,4532.2,3565.8,63557.159199999995,20.139389569814913,0.8264320113495094
LLY,2007-12-31,854.4,60.4,197.9,274.8,1387.5,58425.4245,413.7,4593.5,4831.2,58601.4245,-7.481496299259838,-7.79728792535459
LLY,2008-03-31,1064.3,74.9,-8.0,277.5,1408.7,56455.6593,73.0,4648.3,5434.5,55742.4593,1.52792792792793,-4.87866161000915
LLY,2008-06-30,958.8,56.0,247.5,281.5,1543.8,50513.5342,68.0,4545.8,5170.0,49957.334200000005,9.590402498757712,-10.378309770771088
LLY,2008-09-30,-465.6,54.5,232.8,283.3,105.0,48182.6454,426.5,4185.6,6118.8,46675.9454,-93.19860085503304,-6.568382505886405
LLY,2008-12-31,-3629.4,91.1,292.0,280.3,-2966.0,44138.3362,5846.3,4615.7,5926.1,48674.2362,-2924.7619047619046,4.281200483193648
LLY,2009-03-31,1313.1,94.1,370.3,306.3,2083.7999999999997,36619.3646,1602.8,6870.8,3508.3,41584.6646,-170.25623735670936,-14.565347406519757
LLY,2009-06-30,1158.5,73.5,309.2,306.0,1847.2,37967.5184,1034.9,6688.0,3490.4,42200.0184,-11.354256646511162,1.479761363760046
LLY,2009-09-30,941.8,66.9,127.7,309.7,1446.1,36202.8618,622.5,6769.7,3929.1,39665.9618,-21.713945430922486,-6.004870841478127
LLY,2009-12-31,915.4,57.0,221.8,375.8,1570.0,39246.5041,27.4,6634.7,4497.6,41411.0041,8.567872208007742,4.399344477763312
LLY,2010-03-31,1248.1,54.0,459.7,299.4,2061.2,39807.0115,20.1,6661.3,4758.4,41730.0115,31.286624203821646,0.7703445181615365
LLY,2010-06-30,1348.9,54.0,387.6,345.6,2136.1,36817.639,26.7,6862.2,5196.6,38509.939,3.633805550164948,-7.716442877088592
LLY,2010-09-30,1302.9,53.6,368.4,344.7,2069.6,40147.712,155.1,6982.0,6140.1,41144.712,-3.113150133420717,6.841799983116048
LLY,2010-12-31,1169.6,49.9,240.0,338.5,1798.0,38624.2416,156.0,6770.5,6727.0,38823.7416,-13.123308851952064,-5.640993185223897
LLY,2011-03-31,1055.9,51.9,218.0,340.9,1666.7000000000005,38767.5393,1539.9,5132.4,6713.1,38726.7393,-7.302558398220215,-0.2498530435304569
LLY,2011-06-30,1197.3,51.4,334.0,355.6,1938.3,41368.9437,1528.5,5200.1,6329.8,41767.7437,16.29567408651824,7.852466938779945
LLY,2011-09-30,1236.3,51.6,266.2,358.2,1912.3,40751.6613,1628.7,5451.3,6784.3,41047.3613,-1.341381623071769,-1.7247338165408355
LLY,2011-12-31,858.2,56.8,183.6,318.9,1417.5,46039.794,1522.3,5464.7,6897.1,46129.694,-25.874601265491815,12.381630728599369
LLY,2012-03-31,1011.1,52.1,324.2,385.9,1773.3000000000002,44605.2046,10.6,5403.2,4924.6,45094.404599999994,25.100529100529112,-2.244301468810972
LLY,2012-06-30,923.6,47.0,262.1,362.0,1594.7,47535.3118,9.1,5500.2,5261.5,47783.1118,-10.071617887554286,5.962396496526767
LLY,2012-09-30,1326.6,52.0,548.1,369.7,2296.3999999999996,52520.3713,9.1,5510.9,6899.9,51140.4713,44.00200664701821,7.026247085063209
LLY,2012-12-31,827.3,47.7,185.2,344.6,1404.8000000000002,53938.4728,11.9,5519.4,5684.3,53785.4728,-38.82598850374498,5.172031920636622
LLY,2013-03-31,1548.0,45.7,403.1,381.5,2378.3,61137.8992,1028.0,4431.6,4732.4,61865.0992,69.29812072892938,15.021949198148521
LLY,2013-06-30,1206.2,45.8,308.7,363.9,1924.6,52884.4586,1023.2,4290.8,4711.0,53487.4586,-19.07665138964808,-13.54178803288818
LLY,2013-09-30,1203.1,46.0,310.3,349.0,1908.4,56704.2945,1019.1,4263.8,5379.3,56607.8945,-0.841733347189022,5.833958056104027
LLY,2013-12-31,727.5,46.7,182.4,351.2,1307.8,54406.545,1012.6,4200.3,5397.3,54222.145,-31.471389645776572,-4.214517287866992
LLY,2014-03-31,727.9,45.8,162.9,348.8,1285.4,62947.8859,9.1,5255.3,5212.4,62999.8859,-1.7128001223428502,16.188479633183086
LLY,2014-06-30,733.5,44.1,206.9,348.4,1332.9,66354.5384,10.3,5301.0,5126.5,66539.33840000001,3.6953477516726396,5.618188746592656
LLY,2014-09-30,500.6,47.9,154.9,342.4,1045.8,68963.4355,313.0,5292.6,4809.9,69759.13550000002,-21.53950033760973,4.838937653158282
