tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
MDT,2006-01-31,669.6,31.9,235.3,138.4,1075.2,0.0,3023.2,1002.5,4926.8,-901.1000000000004,,
MDT,2006-04-30,740.0,34.3,259.9,136.5,1170.6999999999998,0.0,2436.8,5486.3,6101.4,1821.7000000000007,8.882068452380931,-302.164021751193
MDT,2006-07-31,599.0,54.0,216.0,140.0,1009.0,58064.8084,2427.0,5485.0,5945.0,60031.80840000001,-13.812249081745954,3195.3729154086836
MDT,2006-10-31,681.0,57.0,230.0,137.0,1105.0,56037.1544,529.0,5581.0,3605.0,58542.1544,9.514370664023787,-2.481441155452535
MDT,2007-01-31,710.0,50.0,224.0,138.0,1122.0,61551.0958,551.0,5577.0,3321.0,64358.09580000001,1.538461538461533,9.934621401633992
MDT,2007-04-30,812.0,67.0,43.0,168.0,1090.0,60520.5325,509.0,5578.0,3078.0,63529.5325,-2.8520499108734443,-1.2874266861077732
MDT,2007-07-31,675.0,53.0,204.0,149.0,1081.0,57466.0124,463.0,5576.0,2813.0,60692.0124,-0.8256880733944927,-4.466458335735435
MDT,2007-10-31,666.0,65.0,202.0,127.0,1060.0,53638.463,877.0,5494.0,5583.0,54426.463,-1.942645698427381,-10.323515652613292
MDT,2008-01-31,77.0,75.0,57.0,181.0,390.0,52220.7555,1318.0,5656.0,1307.0,57887.7555,-63.20754716981132,6.359576406793144
MDT,2008-04-30,813.0,62.0,191.0,180.0,1246.0,54761.4464,1154.0,5767.0,1613.0,60069.4464,219.4871794871795,3.768829662086315
MDT,2008-07-31,723.0,99.0,192.0,173.0,1187.0,59697.9,1635.0,5499.0,1745.0,65086.899999999994,-4.73515248796148,8.352754854088328
MDT,2008-10-31,547.0,90.0,76.0,179.0,892.0,45169.6,1018.0,5523.0,1042.0,50668.6,-24.852569502948608,-22.1523839666661
MDT,2009-01-31,697.0,90.0,197.0,170.0,1154.0,37508.8,1184.0,5525.0,1743.0,42474.8,29.372197309417047,-16.171356619286893
MDT,2009-04-30,103.0,92.0,-95.0,177.0,277.0,35812.48,522.0,6718.0,1676.0,41376.48,-75.99653379549393,-2.5858155894789348
MDT,2009-07-31,445.0,104.0,116.0,188.0,853.0,39316.2,658.0,6307.0,1544.0,44737.2,207.94223826714799,8.122295565016625
MDT,2009-10-31,869.0,94.0,242.0,184.0,1389.0,39627.0,1128.0,6368.0,1542.0,45581.0,62.83704572098476,1.8861260874619035
MDT,2010-01-31,831.0,96.0,232.0,194.0,1353.0,47607.9,1430.0,5996.0,2292.0,52741.9,-2.591792656587477,15.710274017682814
MDT,2010-04-30,954.0,108.0,280.0,206.0,1548.0,47942.9157,2575.0,6944.0,3775.0,53686.9157,14.412416851441234,1.7917740923250713
MDT,2010-07-31,830.0,107.0,210.0,187.0,1334.0,39927.6,3428.0,7080.0,3917.0,46518.6,-13.824289405684754,-13.352072113913593
MDT,2010-10-31,566.0,112.0,178.0,215.0,1071.0,38048.4,3417.0,7148.0,3544.0,45069.4,-19.715142428785605,-3.115313014579113
MDT,2011-01-31,924.0,113.0,84.0,189.0,1310.0,41002.4,3674.0,7084.0,3467.0,48293.4,22.315592903828207,7.153412293041406
MDT,2011-04-30,776.0,118.0,137.0,213.0,1244.0,44679.2635,1723.0,8112.0,2428.0,52086.2635,-5.038167938931293,7.853792650755587
MDT,2011-07-31,821.0,77.0,199.0,211.0,1308.0,38213.0,1857.0,8195.0,2521.0,45744.0,5.144694533762051,-12.176460882051943
MDT,2011-10-31,871.0,85.0,180.0,213.0,1349.0,36824.4,2050.0,8222.0,2166.0,44930.4,3.1345565749235416,-1.7785939139559281
MDT,2012-01-31,934.0,89.0,208.0,209.0,1440.0,40498.5,1972.0,8248.0,2345.0,48373.5,6.745737583395117,7.663185727258148
MDT,2012-04-30,991.0,98.0,143.0,200.0,1432.0,39620.849,3274.0,7359.0,2592.0,47661.849,-0.5555555555555536,-1.4711587956215633
MDT,2012-07-31,864.0,89.0,224.0,197.0,1374.0,40602.6,3391.0,7386.0,2491.0,48888.6,-4.050279329608941,2.573863636721252
MDT,2012-10-31,646.0,95.0,208.0,199.0,1148.0,41995.8,4097.0,7355.0,2675.0,50772.8,-16.448326055312958,3.854068228585006
MDT,2013-01-31,988.0,98.0,167.0,214.0,1467.0,47066.0,4104.0,7314.0,2464.0,56020.0,27.78745644599303,10.334667380959871
MDT,2013-04-30,969.0,106.0,185.0,209.0,1469.0,47427.5335,910.0,9741.0,11071.0,47007.5335,0.13633265167007913,-16.087944484112825
MDT,2013-07-31,953.0,90.0,200.0,208.0,1451.0,55240.0,1543.0,9637.0,11404.0,55016.0,-1.2253233492171556,17.036559682502816
MDT,2013-10-31,902.0,94.0,214.0,213.0,1423.0,57400.0,2647.0,9637.0,12584.0,57100.0,-1.9297036526533473,3.787988948669474
MDT,2014-01-31,762.0,92.0,193.0,214.0,1261.0,56560.0,2618.0,9601.0,13667.0,55112.0,-11.384399156711178,-3.48161120840631
MDT,2014-04-30,448.0,103.0,33.0,215.0,799.0,58761.1212,1613.0,10315.0,14241.0,56448.121199999994,-36.63758921490881,2.4243743649295935
MDT,2014-07-31,871.0,97.0,212.0,215.0,1395.0,61122.6,2477.0,10323.0,13962.0,59960.600000000006,74.59324155193991,6.222490182720231
MDT,2014-10-31,828.0,94.0,194.0,208.0,1324.0,66796.8,3970.0,9708.0,14464.0,66010.8,-5.089605734767022,10.090292625490726
MDT,2015-01-31,977.0,176.0,217.0,206.0,1576.0,70686.0,2185.0,26641.0,31148.0,68364.0,19.0332326283988,3.56487120289406
MDT,2015-04-30,-1.0,299.0,188.0,677.0,1163.0,105841.6936,2434.0,33752.0,19480.0,122547.6936,-26.205583756345174,79.25764086361242
MDT,2015-07-31,820.0,306.0,120.0,701.0,1947.0,110813.2799,1850.0,33709.0,17982.0,128390.2799,67.41186586414445,4.767602007321647
MDT,2015-10-31,520.0,324.0,563.0,696.0,2103.0,103943.0515,2158.0,33690.0,17229.0,122562.0515,8.012326656394464,-4.539462336665556
MDT,2016-01-31,1095.0,275.0,84.0,715.0,2169.0,106367.1846,2153.0,33681.0,17286.0,124915.18459999998,3.1383737517831634,1.9199524413965774
MDT,2016-04-30,1103.0,298.0,31.0,708.0,2140.0,110732.2747,993.0,30247.0,12634.0,129338.2747,-1.3370216689718717,3.5408746455953377
MDT,2016-07-31,929.0,272.0,59.0,737.0,1997.0,121099.0517,1947.0,30124.0,12810.0,140360.0517,-6.682242990654208,8.521666943188322
MDT,2016-10-31,1115.0,264.0,101.0,732.0,2212.0,112617.3149,3367.0,29010.0,11257.0,133737.3149,10.766149223835765,-4.718391536471634
MDT,2017-01-31,821.0,268.0,147.0,730.0,1966.0,104062.6377,6226.0,25923.0,11458.0,124753.63770000002,-11.12115732368897,-6.717405091254736
MDT,2017-04-30,1163.0,290.0,271.0,718.0,2442.0,113785.5233,7520.0,25921.0,13708.0,133518.5233,24.211597151576814,7.025755530333511
MDT,2017-07-31,1016.0,286.0,186.0,636.0,2124.0,113745.0063,8058.0,25953.0,13088.0,134668.0063,-13.022113022113025,0.8609165017630316
MDT,2017-10-31,2017.0,273.0,-285.0,678.0,2683.0,108991.2278,3131.0,25941.0,13526.0,124537.2278,26.318267419962325,-7.522780486875014
MDT,2018-01-31,-1389.0,270.0,2419.0,666.0,1966.0,116403.3673,2902.0,25918.0,14436.0,130787.36729999998,-26.723816623183005,5.018691687948418
MDT,2018-04-30,1460.0,279.0,260.0,664.0,2663.0,108513.4883,2058.0,23699.0,11227.0,123043.4883,35.45269582909461,-5.920968637771473
MDT,2018-07-31,1075.0,242.0,103.0,666.0,2086.0,121966.5077,1545.0,23678.0,11004.0,136185.50770000002,-21.667292527224934,10.680792280496497
MDT,2018-10-31,1115.0,241.0,235.0,651.0,2242.0,120913.7978,1343.0,23673.0,10133.0,135796.7978,7.4784276126558025,-0.2854267730574511
MDT,2019-01-31,1269.0,243.0,99.0,675.0,2286.0,118495.0153,1356.0,23674.0,9142.0,134383.0153,1.9625334522747506,-1.0411015008484958
MDT,2019-04-30,1172.0,233.0,110.0,667.0,2182.0,119067.3894,838.0,24486.0,9848.0,134543.3894,-4.549431321084862,0.11934104889814723
MDT,2019-07-31,864.0,196.0,100.0,657.0,1817.0,136680.8462,1641.0,25599.0,10683.0,153237.8462,-16.727772685609533,13.894741973848346
MDT,2019-10-31,1364.0,165.0,-77.0,671.0,2123.0,145966.9464,1051.0,25586.0,10398.0,162205.9464,16.840946615299934,5.85240553974844
MDT,2020-01-31,1915.0,156.0,-340.0,663.0,2394.0,154780.3358,1013.0,25583.0,11628.0,169748.3358,12.764955252001876,4.649884648125346
MDT,2020-04-30,646.0,162.0,-434.0,672.0,1046.0,130929.1523,2947.0,22795.0,10948.0,145723.15230000002,-56.307435254803686,-14.153413279000748
MDT,2020-07-31,487.0,171.0,93.0,669.0,1420.0,129603.4171,5823.0,22867.0,13012.0,145281.41710000002,35.755258126195024,-0.3031331624576694
MDT,2020-10-31,489.0,162.0,31.0,671.0,1353.0,135321.7624,4041.0,25967.0,14277.0,151052.7624,-4.718309859154934,3.9725282250155036
MDT,2021-01-31,1270.0,143.0,-59.0,678.0,2032.0,150013.9464,3821.0,26502.0,14639.0,165697.9464,50.18477457501849,9.695409582261295
MDT,2021-04-30,1360.0,141.0,200.0,684.0,2385.0,176139.8989,197.0,27207.0,10864.0,192679.8989,17.37204724409449,16.283818288770302
MDT,2021-07-31,763.0,137.0,64.0,671.0,1635.0,176568.749,6.0,25958.0,10595.0,191937.749,-31.44654088050315,-0.3851724566168446
MDT,2021-10-31,1311.0,136.0,176.0,676.0,2299.0,161195.1593,16.0,25608.0,10669.0,176150.1593,40.61162079510703,-8.225369830715278
MDT,2022-01-31,1480.0,137.0,105.0,672.0,2394.0,138942.1553,865.0,24289.0,11221.0,152875.1553,4.132231404958686,-13.213160914808197
MDT,2022-04-30,1485.0,143.0,110.0,688.0,2426.0,138876.3395,3909.0,21075.0,10574.0,153286.3395,1.3366750208855471,0.26896731466474755
MDT,2022-07-31,929.0,111.0,113.0,668.0,1821.0,122984.708,5730.0,17480.0,8873.0,137321.70799999998,-24.938169826875512,-10.41490817255768
MDT,2022-10-31,427.0,118.0,958.0,671.0,2174.0,116175.2137,5864.0,20752.0,11430.0,131361.2137,19.384953322350352,-4.3405331806679825
MDT,2023-01-31,1223.0,167.0,147.0,679.0,2216.0,111339.1674,5918.0,22210.0,11137.0,128330.1674,1.931922723091084,-2.3074134401058655
MDT,2023-04-30,1179.0,187.0,362.0,679.0,2407.0,121037.0786,200.0,25213.0,7959.0,138491.0786,8.61913357400721,7.917788471613885
MDT,2023-07-31,791.0,148.0,399.0,672.0,2010.0,116764.5045,519.0,24462.0,7877.0,133868.50449999998,-16.493560448691312,-3.337813631556208
MDT,2023-10-31,909.0,181.0,403.0,672.0,2165.0,93857.0069,1339.0,23742.0,7734.0,111204.0069,7.7114427860696555,-16.930418162697848
MDT,2024-01-31,1322.0,188.0,135.0,649.0,2294.0,116397.8236,1029.0,24153.0,8321.0,133258.8236,5.9584295612009175,19.83275361636274
MDT,2024-04-30,654.0,202.0,195.0,654.0,1705.0,105221.7611,1275.0,24772.0,8005.0,123263.7611,-25.67567567567568,-7.500488320384657
MDT,2024-07-31,1042.0,167.0,219.0,662.0,2090.0,103009.9984,1553.0,26312.0,7843.0,123031.9984,22.580645161290324,-0.18802176562824346
MDT,2024-10-31,1270.0,209.0,281.0,675.0,2435.0,114467.8553,3719.0,24608.0,7989.0,134805.8553,16.507177033492827,9.56975181506927
