tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
MTD,2006-03-31,23.715,4.076,10.162,6.354,44.307,2459.8808,8.363,425.133,263.397,2629.9797999999996,,
MTD,2006-06-30,34.757,4.35,14.897,6.541,60.545,2436.61,8.201,412.787,246.766,2610.832,36.64883652695963,-0.728058823873845
MTD,2006-09-30,47.04,4.409,3.016,6.422,60.88699999999999,2599.2981,7.738,361.418,195.358,2773.0961,0.5648691056238997,6.215034134712627
MTD,2006-12-31,52.02,4.657,19.24,6.752,82.669,3030.2055,9.962,345.705,151.269,3234.6035,35.77446745610722,16.64231542498653
MTD,2007-03-31,30.43,4.46,11.254,6.454,52.598,3383.3276,12.346,330.916,95.53,3631.0596,-36.37518295854553,12.256713999103752
MTD,2007-06-30,41.031,5.002,15.176,6.463,67.672,3550.9663,15.152,337.861,99.707,3804.2723,28.65888436822692,4.770307267884011
MTD,2007-09-30,43.772,5.515,14.62,6.584,70.491,3678.018,12.512,359.29,75.385,3974.435,4.165681522638609,4.472936913585279
MTD,2007-12-31,63.274,6.026,23.31,7.163,99.773,4055.6044,11.57,385.072,81.222,4371.0244,41.540054758763524,9.978510153015474
MTD,2008-03-31,38.279,5.849,10.088,7.304,61.52,3373.3661,19.694,471.855,80.684,3784.2311,-38.34003187235023,-13.424617350568901
MTD,2008-06-30,48.851,6.028,17.164,7.69,79.733,3242.4097,14.701,468.511,85.524,3640.0977,29.60500650195059,-3.8087895847587205
MTD,2008-09-30,52.724,6.846,13.772,7.2,80.542,3285.156,24.048,495.632,111.039,3693.797,1.0146363488141574,1.4752158987381137
MTD,2008-12-31,62.924,6.667,22.267,6.793,98.651,2264.303,12.492,441.588,78.073,2640.3100000000004,22.483921432296185,-28.520435746739725
MTD,2009-03-31,33.879,5.241,1.154,8.249,48.523,1728.2298,9.7,467.653,130.77,2074.8128,-50.81347376103638,-21.41783351197398
MTD,2009-06-30,27.731,4.96,10.256,8.404,51.351,2600.4951,6.006,398.464,119.726,2885.2391,5.8281639634812255,39.06021304669027
MTD,2009-09-30,41.545,6.974,15.365,8.873,72.757,3057.5031,10.652,318.785,113.948,3272.9921,41.685653638682794,13.43919815865522
MTD,2009-12-31,69.438,6.142,25.394,8.908,109.882,3554.0165,89.968,203.59,85.031,3762.5435,51.02601811509546,14.957304663216275
MTD,2010-03-31,37.868,5.254,13.306,9.047,65.475,3674.034,92.766,203.87,85.883,3884.787,-40.41335250541491,3.2489591150241637
MTD,2010-06-30,51.347,4.711,18.039,8.518,82.61500000000001,3729.2234,90.837,204.247,111.591,3912.7164,26.17793050782744,0.718942891849661
MTD,2010-09-30,62.081,4.792,14.781,9.296,90.95000000000002,4084.743,89.35,245.866,142.884,4277.075,10.088966894631724,9.312164817260982
MTD,2010-12-31,80.852,5.3,29.239,9.025,124.416,4902.9843,10.902,670.301,447.577,5136.6103,36.79604178119844,20.0963345276854
MTD,2011-03-31,46.827,5.711,16.451,8.883,77.872,5528.596,22.583,677.833,388.102,5840.909999999999,-37.409979423868315,13.7113710962266
MTD,2011-06-30,60.188,5.692,21.149,9.171,96.2,5377.8743,12.626,621.359,328.763,5683.096300000001,23.53605917402919,-2.701868373250027
MTD,2011-09-30,68.196,5.893,18.862,10.416,103.367,4420.4966,31.143,550.554,262.473,4739.720600000001,7.450103950103948,-16.59967824229901
MTD,2011-12-31,94.282,5.63,23.222,10.019,133.153,4666.1589,28.3,476.715,235.601,4935.572900000001,28.815772925595205,4.132148633402588
MTD,2012-03-31,52.327,5.823,16.981,12.875,88.006,5810.018,28.817,444.858,156.192,6127.501,-33.90610801108499,24.149741562929794
MTD,2012-06-30,61.704,5.706,20.022,13.631,101.063,4835.4021,27.075,431.73,134.766,5159.4411,14.83648842124401,-15.79860860079827
MTD,2012-09-30,72.183,5.568,23.422,13.372,114.545,5232.1566,36.57,379.06,105.374,5542.412600000001,13.340193740538076,7.422732280052591
MTD,2012-12-31,104.633,5.667,31.329,14.643,156.272,5878.253,41.6,347.131,101.702,6165.282,36.428477890785274,11.238235854183776
MTD,2013-03-31,52.544,5.4,16.592,14.003,88.539,6436.2589,17.959,421.913,93.209,6782.9219,-43.34301730316371,10.018031616396472
MTD,2013-06-30,69.062,5.543,21.811,14.373,110.789,6024.934,17.931,443.727,120.217,6366.375,25.1301686262551,-6.141113020923916
MTD,2013-09-30,74.326,5.557,23.47,15.252,118.605,7127.3117,16.019,384.871,92.222,7435.979700000001,7.054852015994362,16.80084349413915
MTD,2013-12-31,110.162,5.811,34.742,15.676,166.391,7153.2513,17.067,395.96,111.874,7454.4043,40.29003836263225,0.24777636227273359
MTD,2014-03-31,58.051,5.666,18.333,15.514,97.564,6886.5696,16.255,449.582,115.804,7236.6026,-41.36461707664477,-2.921785447027603
MTD,2014-06-30,74.022,5.956,23.376,15.737,119.091,7313.8638,121.306,345.364,111.012,7669.5218,22.064491000778986,5.982354205825824
MTD,2014-09-30,84.996,5.991,26.84,15.793,133.62,7311.7431,120.025,365.007,126.311,7670.464099999999,12.199914351210438,0.012286294042462842
MTD,2014-12-31,121.172,6.924,38.214,15.758,182.068,8542.3778,116.164,335.79,85.263,8909.068800000001,36.258045202813946,16.147715234075633
MTD,2015-03-31,63.051,6.725,19.912,15.829,105.517,9191.6832,114.693,409.179,75.359,9640.196199999998,-42.04527978557463,8.206552406464729
MTD,2015-06-30,77.557,6.942,24.49,15.991,124.98,9458.1005,23.353,605.141,149.309,9937.2855,18.445368992674172,3.081776489154864
MTD,2015-09-30,88.861,7.029,28.062,16.087,140.039,7789.6322,21.061,601.731,123.299,8289.125199999999,12.049127860457665,-16.58561887952199
MTD,2015-12-31,123.351,6.755,38.14,16.131,184.377,9187.0317,14.488,576.984,98.887,9679.6167,31.661180099829345,16.774888380259977
MTD,2016-03-31,65.674,6.58,20.739,16.546,109.53900000000002,9225.4328,17.381,681.872,110.595,9814.0908,-40.589661400283106,1.389250258225605
MTD,2016-06-30,79.588,6.872,23.584,16.649,126.693,9666.7308,20.945,693.263,114.646,10266.2928,15.660175827787338,4.607681029403143
MTD,2016-09-30,101.332,7.167,31.992,17.498,157.98899999999998,11014.6599,21.779,826.022,146.133,11716.327900000002,24.70223295683265,14.124232848687136
MTD,2016-12-31,137.776,7.407,43.508,18.102,206.79300000000003,10890.9312,18.974,875.056,158.674,11626.2872,30.890758217344285,-0.7685061460255049
MTD,2017-03-31,92.466,7.741,21.382,17.966,139.555,12366.414,19.476,944.211,164.893,13165.208,-32.51464024410885,13.236562743779468
MTD,2017-06-30,101.58,8.271,25.267,18.153,153.271,15106.6447,21.608,947.781,146.334,15929.6997,9.828383074773361,20.998465804718002
MTD,2017-09-30,104.95,8.748,34.677,19.102,167.477,16016.5466,18.533,1050.681,169.086,16916.6746,9.268550475954363,6.195816108196928
MTD,2017-12-31,76.976,9.225,116.924,20.737,223.862,15823.1603,19.677,960.17,148.687,16654.320299999996,33.667309541011605,-1.5508621298420122
MTD,2018-03-31,93.304,8.959,24.135,20.857,147.255,14601.7368,14.883,978.715,98.949,15496.3858,-34.22063592749104,-6.952757477589744
MTD,2018-06-30,111.468,9.109,32.134,21.349,174.06,14589.5768,52.052,1020.42,183.19,15478.8588,18.203117041866147,-0.11310379224037659
MTD,2018-09-30,126.653,9.803,33.71,21.083,191.249,15251.9041,55.753,988.894,137.448,16159.1031,9.875330345857748,4.394667002195285
MTD,2018-12-31,181.186,9.64,49.268,21.178,261.27200000000005,14095.3848,49.67,985.021,178.11,14951.9658,36.61352477660016,-7.4703236468613206
MTD,2019-03-31,111.805,10.094,13.871,21.967,157.73700000000002,17932.569,80.008,1069.111,126.48,18955.208,-39.627284975045164,26.774019239664113
MTD,2019-06-30,127.16,10.182,28.056,21.823,187.221,20671.56,78.328,1150.194,124.439,21775.643000000004,18.691873181308118,14.879472702172425
MTD,2019-09-30,129.395,11.0,39.964,22.258,202.617,17155.662,75.438,1186.322,120.534,18296.888,8.223436473472523,-15.975441000754852
MTD,2019-12-31,192.749,10.735,38.394,22.443,264.32099999999997,19137.88,83.452,1296.287,207.785,20309.834000000003,30.453515746457605,11.001575787095618
MTD,2020-03-31,98.115,11.219,20.384,24.033,153.75099999999998,16508.7131,56.398,1513.02,323.585,17754.546100000003,-41.8317121984254,-12.581530208469449
MTD,2020-06-30,126.562,10.082,28.693,24.094,189.431,19309.8391,53.585,1146.59,127.277,20382.7371,23.206353129410573,14.80291856067215
MTD,2020-09-30,161.767,9.71,44.042,24.622,240.141,22980.0213,55.111,1169.136,153.686,24050.5823,26.769641716508907,17.99486095515601
MTD,2020-12-31,216.295,9.905,52.885,25.695,304.78,26750.569,79.533,1354.004,94.254,28089.852,26.91710286873128,16.794893568959445
MTD,2021-03-31,149.663,9.871,35.751,24.843,220.128,26891.7506,52.505,1561.054,106.654,28398.6556,-27.774788371940417,1.0993422108453998
MTD,2021-06-30,184.763,10.839,45.621,27.418,268.641,32024.9048,53.025,1602.005,142.252,33537.6828,22.03854121238553,18.096022827221447
MTD,2021-09-30,203.688,12.091,43.899,27.079,286.757,31659.997,53.524,1639.583,183.672,33169.432,6.743572276755971,-1.098020999828886
MTD,2021-12-31,230.871,11.841,55.105,28.542,326.35900000000004,38769.368,131.77,1669.124,98.564,40471.698,13.810299312658469,22.015046866042187
MTD,2022-03-31,174.001,11.738,39.0,28.38,253.119,31143.9492,105.262,1766.832,116.949,32899.0942,-22.441544434196704,-18.710862588468615
MTD,2022-06-30,212.07,13.465,44.622,27.747,297.904,25855.3664,106.574,1821.458,109.449,27673.9494,17.6932589019394,-15.882336359278849
