tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
RVTY,2006-03-31,23.617,2.305,7.145,16.478,49.545,2969.4713,1.09,206.624,321.841,2855.3443,,
RVTY,2006-06-30,24.485,2.232,7.559,16.928,51.20399999999999,2650.1409,1.09,199.187,323.755,2526.6629,3.348471086890692,-11.511095176858365
RVTY,2006-09-30,29.753,2.152,7.823,17.531,57.259,2326.8567,1.142,201.133,207.074,2322.0576999999994,11.82524802749787,-8.097843206547273
RVTY,2006-12-31,41.728,2.468,9.885,18.247,72.328,2739.9587,1.153,151.781,191.059,2701.8336999999997,26.3172601687071,16.355149142073454
RVTY,2007-03-31,14.692,2.255,5.559,19.085,41.591,2937.9344,1.627,178.119,119.562,2998.1184000000003,-42.49668178298861,10.96605982818264
RVTY,2007-06-30,33.687,3.509,11.371,19.076,67.643,3082.8719,0.898,234.504,150.04,3168.2339,62.63855160972325,5.674075446786886
RVTY,2007-09-30,30.745,4.122,9.454,18.983,63.304,3460.1874,0.935,246.095,160.901,3546.3163999999997,-6.414558786570668,11.933541270421966
RVTY,2007-12-31,52.562,5.439,-8.929,20.853,69.925,3059.5617,0.562,516.078,203.348,3372.8537,10.459054720080863,-4.8913486681560485
RVTY,2008-03-31,20.138,6.318,7.384,21.597,55.437000000000005,2857.7898,0.549,566.068,185.262,3239.1447999999996,-20.71934215230603,-3.964266223583923
RVTY,2008-06-30,23.706,5.746,10.12,22.319,61.89099999999999,3306.7698,0.043,521.059,193.451,3634.4208,11.642044122156658,12.20309755834319
RVTY,2008-09-30,51.902,6.371,-4.596,22.517,76.194,2948.5575,0.04,544.05,188.808,3303.8395,23.109983680987554,-9.09584547832215
RVTY,2008-12-31,30.663,6.787,8.308,21.874,67.632,1629.0279,0.04,509.04,179.11,1958.9979,-11.237105283880622,-40.705415623246836
RVTY,2009-03-31,10.559,4.588,5.802,21.675,42.623999999999995,1487.0793,0.04,544.03,162.049,1869.1003,-36.9765791341377,-4.588958466979465
RVTY,2009-06-30,21.505,3.62,8.135,16.39,49.65,2030.6322,0.0,524.0,151.339,2403.2932,16.483671171171178,28.580215839674317
RVTY,2009-09-30,13.589,3.876,4.025,19.881,41.371,2245.6928,0.146,576.734,150.586,2671.9867999999997,-16.674723061430008,11.180225533863265
RVTY,2009-12-31,39.946,3.924,13.838,22.816,80.524,2409.5036,0.146,558.197,179.707,2788.1396000000004,94.63875661695388,4.3470574031279074
RVTY,2010-03-31,24.391,3.803,7.861,20.001,56.056,2815.181,0.147,528.161,181.744,3161.745,-30.38597188415877,13.399809679543996
RVTY,2010-06-30,57.643,3.949,7.718,23.076,92.386,2437.1997,0.147,620.138,215.664,2841.8207,64.8101898101898,-10.11859906475695
RVTY,2010-09-30,13.391,4.185,8.192,22.793,48.561,2731.3068,0.15,670.131,250.988,3150.5998,-47.436841079817285,10.86553771671801
RVTY,2010-12-31,288.494,3.954,2.291,23.293,318.03200000000004,2987.7613,2.255,424.0,420.086,2993.9303,554.9123782459176,-4.972688057683494
RVTY,2011-03-31,24.913,3.916,8.384,23.953,61.166,2960.7866,2.25,514.0,415.848,3061.1886,-80.76734416662474,2.2464885037570825
RVTY,2011-06-30,29.761,4.213,6.047,26.648,66.669,3042.9021,0.0,671.0,395.208,3318.6940999999997,8.996828303305747,8.411944954975969
RVTY,2011-09-30,36.622,4.449,4.215,28.117,73.403,2172.3629,358.0,150.0,248.102,2432.2609,10.1006464773733,-26.710301500822254
RVTY,2011-12-31,-83.641,12.205,44.536,32.203,5.302999999999997,2263.14,0.0,944.908,142.342,3065.7059999999997,-92.77549963897934,26.04346844534644
RVTY,2012-03-31,22.569,11.437,1.476,32.007,67.489,3148.5655,0.0,933.971,144.757,3937.7795,1172.6569866113527,28.44609039483892
RVTY,2012-06-30,33.633,11.339,4.861,32.156,81.989,2942.748,0.0,911.043,171.403,3682.388,21.484982737927673,-6.485672953500831
RVTY,2012-09-30,29.594,11.36,2.357,30.628,73.939,3377.1147,1.47,930.86,170.828,4138.6167,-9.818390271865752,12.389479327001919
RVTY,2012-12-31,-15.856,11.651,-26.548,32.074,1.320999999999998,3651.2426,1.772,938.824,171.444,4420.3946,-98.2133921205318,6.808504397133475
RVTY,2013-03-31,32.216,11.693,-8.121,30.145,65.93299999999999,3763.1386,7.301,1019.345,125.871,4663.9136,4891.143073429227,5.508987817512945
RVTY,2013-06-30,27.925,11.913,0.077,31.835,71.75,3639.9675,2.215,1001.858,112.47,4531.5705,8.822592631914228,-2.837597591859331
RVTY,2013-09-30,40.198,11.704,4.851,33.261,90.01400000000001,4242.4205,2.622,933.292,132.303,5046.031500000001,25.455052264808376,11.352819072328257
RVTY,2013-12-31,66.873,11.614,-7.39,31.638,102.735,4643.57,2.624,932.104,173.242,5405.056,14.132246095051858,7.114987292489139
RVTY,2014-03-31,34.224,9.219,5.522,29.328,78.29299999999999,5096.4662,2.626,926.897,224.113,5801.8762,-23.791307733489088,7.3416482641438074
RVTY,2014-06-30,50.49,9.079,8.67,28.579,96.818,5287.065,1.051,894.282,205.258,5977.14,23.6611191294241,3.0208124744199205
RVTY,2014-09-30,42.277,8.909,4.912,28.926,85.024,4925.1432,1.157,858.578,203.683,5581.195200000001,-12.18161912041149,-6.624318654072003
RVTY,2014-12-31,30.787,9.063,-10.667,29.903,59.086,4918.7941,1.075,1051.892,174.821,5796.9401,-30.506680466691762,3.8655680776045642
RVTY,2015-03-31,40.334,9.388,4.242,0.0,53.964,5788.5366,1.083,1014.666,168.924,6635.3616,-8.668720170598787,14.46317342489014
RVTY,2015-06-30,48.974,9.302,5.534,0.0,63.809999999999995,5967.0072,1.974,986.452,192.17,6763.2632,18.245496997998668,1.9275754316087301
RVTY,2015-09-30,54.863,9.874,6.326,0.0,71.06299999999999,5143.1538,1.107,1027.269,195.066,5976.4638,11.36655696599278,-11.633428667983814
RVTY,2015-12-31,68.254,9.433,3.92,0.0,81.60700000000001,6001.6614,1.123,1011.762,237.932,6776.6143999999995,14.837538522156436,13.388361860403108
RVTY,2016-03-31,47.466,9.841,7.747,25.395,90.449,5391.8819,1.135,1119.83,210.731,6302.115900000001,10.834854853137577,-7.001999405484827
RVTY,2016-06-30,63.857,9.939,3.117,24.846,101.759,5734.4335,1.147,1056.934,248.083,6544.431500000001,12.504284182246362,3.844987998395899
RVTY,2016-09-30,58.127,10.998,10.601,24.266,103.992,6144.6622,1.16,1131.925,311.663,6966.084199999999,2.194400495287896,6.442923269958567
RVTY,2016-12-31,64.849,10.75,6.897,25.465,107.961,5716.5266,1.172,1045.254,359.265,6403.687599999999,3.8166397415185793,-8.07335346305461
RVTY,2017-03-31,38.603,10.864,3.921,24.747,78.13499999999999,6378.4135,2.187,1052.677,288.329,7144.9484999999995,-27.626642954400204,11.575531885721603
RVTY,2017-06-30,204.069,10.672,8.066,24.758,247.565,7508.7554,2.225,1089.395,616.308,7984.067400000001,216.8426441415499,11.744226008067127
RVTY,2017-09-30,91.078,10.974,8.508,26.002,136.562,7600.9768,1.294,1109.269,709.488,8002.0518,-44.837921353987845,0.22525360945724326
RVTY,2017-12-31,-41.117,11.43,119.333,29.493,119.139,8069.5963,217.306,1788.803,202.134,9873.5713,-12.758307581904205,23.387995313901854
RVTY,2018-03-31,26.024,17.65,2.47,44.453,90.597,8376.1464,217.751,1859.698,181.005,10272.5904,-23.956890690705812,4.041284433728642
RVTY,2018-06-30,64.063,16.411,7.035,43.772,131.281,8107.7327,17.315,1983.953,163.596,9945.4047,44.90656423501884,-3.185035976904127
RVTY,2018-09-30,76.548,16.684,2.596,45.161,140.989,10805.4325,20.072,1882.502,152.717,12555.2895,7.394824841370795,26.242117628456096
RVTY,2018-12-31,71.292,16.231,8.107,47.202,142.832,8687.3944,14.856,1876.624,166.315,10412.559399999998,1.307194178269211,-17.06635358746609
RVTY,2019-03-31,35.412,15.85,1.312,50.469,103.043,10685.4568,51.369,2016.683,137.456,12616.0528,-27.85720286770471,21.161880718778914
RVTY,2019-06-30,69.087,17.207,2.686,53.324,142.30400000000003,10700.5801,48.491,2268.477,153.22,12864.3281,38.10156924778978,1.967931681452706
RVTY,2019-09-30,58.558,16.149,4.644,53.324,132.675,9461.7908,544.103,1904.141,395.977,11514.0578,-6.766499887564659,-10.496236488246902
RVTY,2019-12-31,64.501,14.421,0.747,56.908,136.577,10791.694,46.547,2210.44,191.894,12856.787,2.941021292632362,11.661650682351098
RVTY,2020-03-31,33.665,13.665,0.974,60.758,109.062,8379.1157,9.654,2190.352,195.169,10383.9527,-20.14614466564648,-19.233688012409324
RVTY,2020-06-30,137.162,11.586,27.614,59.289,235.651,10937.1331,346.342,1802.889,219.941,12866.423099999998,116.0706753956465,23.906796108576245
RVTY,2020-09-30,176.699,12.057,57.021,62.474,308.251,14041.8078,360.217,1668.287,258.403,15811.9088,30.80827155412027,22.892809268801372
RVTY,2020-12-31,380.361,12.404,92.657,63.986,549.408,16084.915,421.278,1798.103,402.614,17901.681999999997,78.23397166594756,13.216451134603036
RVTY,2021-03-31,379.305,14.126,101.139,70.186,564.756,14376.9471,358.435,2412.274,990.401,16157.2551,2.793552332692628,-9.744486020922484
RVTY,2021-06-30,245.93,16.75,70.011,51.054,383.745,17297.7803,4.669,2537.857,574.56,19265.7463,-32.05118670717974,19.23898075979502
RVTY,2021-09-30,127.738,20.231,27.381,76.146,251.496,21869.198,4.485,5284.082,489.062,26668.703,-34.46272915608021,38.425486273532016
RVTY,2021-12-31,190.184,27.621,115.615,114.057,447.477,25382.0155,44.807,5165.096,619.337,29972.5815,77.92609027578965,12.388598350658441
RVTY,2022-03-31,176.962,28.269,40.834,109.33,355.395,22006.3844,3.729,5044.083,670.752,26383.444399999997,-20.578040882548155,-11.97473464205946
RVTY,2022-06-30,179.212,26.759,44.743,108.7,359.414,17950.724,4.18,4667.304,361.933,22260.275,1.1308544014406507,-15.627866238723541
RVTY,2022-09-30,85.347,26.511,12.634,104.736,229.228,15188.0526,503.549,4041.109,401.025,19331.6856,-36.22173871913725,-13.156124082025045
RVTY,2022-12-31,127.658,25.296,40.95,104.234,298.138,17709.786,502.146,4093.315,455.398,21849.849,30.061772558326183,13.026093285936735
RVTY,2023-03-31,569.475,26.083,4.595,109.008,709.1610000000001,16788.2281,479.423,4030.376,2462.165,18835.8621,137.86333845400458,-13.794085716564908
RVTY,2023-06-30,35.559,26.007,12.932,108.93,183.428,14771.1801,478.936,4027.923,2072.02,17206.019099999998,-74.13450542260503,-8.652871800330287
RVTY,2023-09-30,9.497,25.563,18.134,108.263,161.457,13654.7343,727.539,3286.376,1430.929,16237.7203,-11.977996816189462,-5.627674794339832
RVTY,2023-12-31,78.563,24.845,-32.188,105.568,176.788,13491.6961,754.778,3310.517,1604.289,15952.7021,9.49540744594537,-1.7552845764931657
RVTY,2024-03-31,26.013,24.397,5.853,107.802,164.065,12966.66,711.443,3292.192,1696.792,15273.503,-7.196755435889324,-4.257580287918749
RVTY,2024-06-30,55.36,24.717,14.056,107.344,201.477,12936.3685,711.414,3285.734,1955.498,14978.018500000002,22.80315728522233,-1.9346216778167946
RVTY,2024-09-30,94.367,24.383,6.971,107.67,233.391,15597.1253,1.045,3314.098,1230.808,17681.4603,15.840021441653374,18.049395519173615
