tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
STE,2006-03-31,8.454,1.311,10.313,15.809,35.887,0.0,1.755,114.48,72.732,43.503,,
STE,2006-06-30,14.684,1.769,10.314,14.884,41.651,1481.8766,1.551,188.14,79.562,1592.0056,16.06152645804888,3559.5306070845686
STE,2006-09-30,16.364,2.376,8.6,14.793,42.133,1554.8534,1.402,147.035,44.907,1658.3834000000002,1.1572351204052644,4.169445132605065
STE,2006-12-31,21.295,1.714,11.858,14.596,49.46300000000001,1632.8534,0.827,125.42,39.011,1720.0894,17.39728953551849,3.720852488031401
STE,2007-03-31,29.812,1.352,21.061,15.984,68.209,1725.9219,0.777,100.8,52.296,1775.2029,37.8990356428037,3.2041067167787762
STE,2007-06-30,13.203,1.235,7.591,15.582,37.611,1981.0746,0.777,109.78,57.946,2033.6856,-44.8591828057881,14.560741197527328
STE,2007-09-30,16.018,1.478,9.566,15.902,42.964000000000006,1741.9869,0.7,124.89,61.563,1806.0139,14.2325383531414,-11.19502935950375
STE,2007-12-31,21.776,1.516,10.751,16.015,50.058,1798.174,0.7,132.225,55.388,1875.711,16.511497998324167,3.859167418368159
STE,2008-03-31,26.109,1.75,14.785,15.279,57.923,1590.0263,0.7,179.28,51.868,1718.1383,15.711774341763562,-8.400691791006176
STE,2008-06-30,25.5,1.766,8.155,15.2,50.620999999999995,1691.2318,0.8,177.46,49.038,1820.4538,-12.606391243547478,5.9550211993993685
STE,2008-09-30,28.794,2.519,16.196,14.375,61.884,2232.2144,0.8,250.0,160.219,2322.7954,22.249659232334416,27.59430643062735
STE,2008-12-31,28.575,3.214,14.395,14.301,60.485,1395.8688,0.3,210.0,106.05,1500.1188,-2.260681274642884,-35.41752321362441
STE,2009-03-31,27.816,3.064,17.054,14.897,62.831,1360.7626,0.0,210.0,154.18,1416.5826,3.8786475985781665,-5.56863896379407
STE,2009-06-30,25.542,3.083,14.455,13.888,56.968,1527.7403,0.0,210.0,176.072,1561.6682999999998,-9.331381006191208,10.241951298851193
STE,2009-09-30,32.084,3.13,15.129,13.951,64.29400000000001,1787.8109,0.0,210.0,223.758,1774.0529,12.859851144502187,13.599853438787225
STE,2009-12-31,41.006,3.291,15.666,14.188,74.151,1653.7822,0.0,310.0,265.419,1698.3632000000002,15.331135098142878,-4.266484950927884
STE,2010-03-31,29.835,3.667,18.099,14.191,65.792,1993.5808,0.0,210.0,214.971,1988.6097999999995,-11.27294304864398,17.089783857775487
STE,2010-06-30,-45.21,3.007,-20.636,13.038,-49.801,1851.6842,0.0,210.0,226.07,1835.6142,-175.69461332684827,-7.693595797425901
STE,2010-09-30,35.711,2.996,16.389,13.272,68.36800000000001,1963.0695,0.0,210.0,217.403,1955.6665,-237.28238388787375,6.5401705870438365
STE,2010-12-31,21.765,3.049,11.338,13.429,49.581,2163.3906,0.0,210.0,192.288,2181.1026,-27.47923004914581,11.52732840696511
STE,2011-03-31,38.999,2.948,15.463,14.65,72.06,2042.0739,0.0,210.0,193.016,2059.0579,45.33793186906274,-5.595550617380418
STE,2011-06-30,28.731,2.997,15.066,14.435,61.229000000000006,2073.0197,0.0,210.0,156.116,2126.9037,-15.03053011379405,3.2949923360581668
STE,2011-09-30,29.564,3.081,15.68,15.752,64.077,1696.6648,0.0,210.0,134.111,1772.5538,4.651390680886491,-16.660364077602573
STE,2011-12-31,33.649,3.005,17.443,16.101,70.19800000000001,1718.795,0.0,210.0,143.787,1785.008,9.552569564742441,0.7026133706068638
STE,2012-03-31,44.171,2.982,26.804,16.618,90.575,1825.5175,0.0,210.0,150.821,1884.6965,29.02789253255078,5.5847648862077826
STE,2012-06-30,30.354,2.972,15.236,14.337,62.899,1822.0323,0.0,210.0,186.731,1845.3013,-30.555892906431136,-2.0902675841972362
STE,2012-09-30,40.145,3.407,18.756,15.851,78.159,2072.2638,0.0,434.34,156.609,2349.9948000000004,24.26111702888758,27.35019478932792
STE,2012-12-31,48.097,4.207,15.174,18.32,85.798,2028.7877,0.0,520.89,155.887,2393.7907,9.77366650033904,1.8636594429910947
STE,2013-03-31,41.381,5.089,17.955,20.527,84.952,2444.962,0.0,492.29,142.008,2795.244,-0.9860369705587568,16.770609895008782
STE,2013-06-30,32.317,4.987,3.956,18.333,59.593,2538.2387,0.0,513.7,165.838,2886.1006999999995,-29.850974668047837,3.250403184838224
STE,2013-09-30,29.743,4.869,15.915,17.782,68.309,2530.301,0.0,508.52,163.794,2875.027,14.625878878391752,-0.3836907007437218
STE,2013-12-31,28.506,4.671,22.953,19.574,75.704,2830.5294,0.0,474.74,157.337,3147.9324,10.82580626271794,9.492272594309558
STE,2014-03-31,38.876,4.243,16.11,19.96,79.189,2815.722,0.0,493.48,152.802,3156.4,4.603455563774705,0.26898925783793715
STE,2014-06-30,24.537,4.682,15.169,20.405,64.793,3173.6636,0.0,658.74,157.936,3674.467599999999,-18.179292578514673,16.413242934989203
STE,2014-09-30,31.004,4.948,17.507,27.43,80.88900000000001,3205.9255,0.0,619.95,147.413,3678.4625,24.84218974271912,0.10872051232677649
STE,2014-12-31,38.124,4.822,18.817,21.605,83.36800000000001,3862.5309,0.0,610.68,144.512,4328.6989,3.0646935924538488,17.67685276117401
STE,2015-03-31,41.399,4.735,22.263,22.101,90.498,4193.3623,0.0,623.25,167.689,4648.9232999999995,8.552442184051422,7.397705578459135
STE,2015-06-30,24.291,6.12,14.267,22.353,67.031,3855.7674,0.0,686.166,196.193,4345.7404,-25.93095980021658,-6.5215724251677765
STE,2015-09-30,8.687,7.486,7.154,23.745,47.072,3892.6126,0.0,829.818,162.187,4560.2436,-29.775775387507274,4.935941410582201
STE,2015-12-31,20.045,17.706,8.268,44.827,90.846,6470.1239,0.0,1639.461,231.36,7878.2249,92.99371176070701,72.75886095207721
STE,2016-03-31,57.74,11.396,30.61,52.815,152.56099999999998,6104.616,0.0,1567.796,248.841,7423.571,67.93364595028947,-5.771019560510393
STE,2016-06-30,48.401,11.071,14.234,53.784,127.49,5922.8813,0.0,1551.838,242.423,7232.2963,-16.433426629348258,-2.576586120076174
STE,2016-09-30,40.417,10.924,18.721,50.077,120.139,6241.278,0.0,1504.192,254.351,7491.119000000001,-5.765942426857007,3.5787070836685864
STE,2016-12-31,-4.996,10.98,19.79,31.384,57.158,5723.2979,0.0,1507.039,264.857,6965.479899999999,-52.42344284537077,-7.016830195862611
STE,2017-03-31,26.143,11.545,21.27,52.897,111.855,5900.4881,0.0,1478.361,282.918,7095.9311,95.69439098638861,1.872824297432829
STE,2017-06-30,58.077,12.466,16.039,43.651,130.233,6945.43,0.0,1496.467,294.84,8147.057000000001,16.43019981225693,14.813079287086106
STE,2017-09-30,64.459,12.683,22.903,45.548,145.593,7524.8732,0.0,1445.297,295.628,8674.5422,11.79424569809495,6.474549030404475
STE,2017-12-31,94.781,12.461,-3.404,44.656,148.494,7426.9028,0.0,1420.049,283.844,8563.1078,1.9925408501782371,-1.2846141897839836
STE,2018-03-31,73.598,13.019,27.822,44.477,158.916,7911.9799,0.0,1316.001,201.534,9026.4469,7.018465392541118,5.410875476774923
STE,2018-06-30,69.991,11.74,12.773,46.854,141.358,8889.2015,0.0,1320.064,218.524,9990.7415,-11.048604294092467,10.682991997659673
STE,2018-09-30,77.457,11.394,17.764,46.117,152.732,9666.228,0.0,1267.723,209.921,10724.03,8.046237213316543,7.339680443138286
STE,2018-12-31,47.858,10.88,9.334,82.687,150.759,9036.3045,0.0,1246.308,224.906,10057.706499999998,-1.291805253646916,-6.2133684818114325
STE,2019-03-31,108.745,11.001,24.523,50.263,194.532,10820.7115,0.0,1183.227,220.633,11783.3055,29.035082482637865,17.15698305572948
STE,2019-06-30,84.59,10.445,14.633,47.102,156.76999999999998,12618.1755,20.139,1312.491,238.067,13712.7385,-19.41171632430655,16.374293274497553
STE,2019-09-30,94.769,10.444,22.165,49.634,177.012,12252.3185,18.461,1285.105,225.536,13330.348499999998,12.911909166294588,-2.788575017309647
STE,2019-12-31,104.93,9.813,29.285,49.558,193.586,12923.8442,19.189,1241.028,199.23,13984.8312,9.363207014213737,4.909719352048469
STE,2020-03-31,123.316,9.577,24.793,50.941,208.627,11886.8123,19.809,1264.635,319.581,12851.6753,7.769673426797397,-8.102749928079211
STE,2020-06-30,89.597,9.492,19.083,48.954,167.126,13051.6064,55.575,1147.307,255.627,13998.861400000002,-19.89243961711572,8.926354527491064
STE,2020-09-30,105.858,8.665,27.777,54.418,196.718,15020.3737,20.971,1144.891,312.028,15874.2077,17.706401158407424,13.396420226004935
STE,2020-12-31,114.502,8.899,24.842,56.821,205.064,16174.775,21.364,1843.416,252.502,17787.053,4.242621417460524,12.050020612997269
STE,2021-03-31,87.443,10.124,48.961,59.044,205.572,16258.0394,22.774,1780.213,220.531,17840.4954,0.24772753871962205,0.3004567423282589
STE,2021-06-30,-21.807,21.812,-7.075,83.621,76.551,20577.5998,410.386,3428.028,534.774,23881.239799999996,-62.76195201681163,33.85973463494738
STE,2021-09-30,69.811,23.036,19.982,118.042,230.871,20409.8191,58.814,3585.342,383.494,23670.4811,201.59109613199044,-0.8825283015666319
STE,2021-12-31,143.623,22.972,39.315,117.61,323.52,24368.0185,164.289,3334.768,359.089,27507.9865,40.13020258066191,16.212198576732774
STE,2022-03-31,52.261,21.773,19.411,233.831,327.276,24193.1986,179.347,3100.537,348.32,27124.7626,1.1609792284866582,-1.393136862270894
STE,2022-06-30,111.262,22.674,24.196,138.863,296.995,20633.5535,186.56,2996.661,316.327,23500.4475,-9.25243525342524,-13.361647264702691
STE,2022-09-30,-315.285,26.123,-17.831,133.879,-173.11400000000006,16606.051,184.968,3017.387,258.259,19550.146999999997,-158.28852337581444,-16.809469266489508
STE,2022-12-31,123.828,28.559,37.013,137.951,327.351,18358.3707,94.954,3157.553,259.371,21351.5067,-289.0956248483658,9.214046830440736
STE,2023-03-31,187.225,30.633,8.157,142.204,368.2190000000001,18865.7551,94.961,3179.148,208.357,21931.5071,12.48445857810121,2.7164378053001537
STE,2023-06-30,123.554,32.357,36.2,107.181,299.292,22223.7494,97.851,3024.86,208.614,25137.8464,-18.719023190003803,14.619785523084271
STE,2023-09-30,115.319,36.938,35.055,182.996,370.308,21676.2824,105.05,3528.357,213.757,25095.9324,23.72799807545809,-0.16673663818710383
STE,2023-12-31,140.743,0.0,40.999,0.0,181.742,21722.9388,115.149,3393.902,195.585,25036.404800000004,-50.92139516294545,-0.23720019264953374
STE,2024-03-31,-1.377,75.056,37.276,0.0,110.955,22230.8761,117.177,3265.99,207.02,25407.0231,-38.94916970210518,1.4803175733921536
STE,2024-06-30,145.401,30.384,35.31,112.698,323.793,21690.3325,109.705,2374.963,198.328,23976.6725,191.8237123158037,-5.629744950324378
STE,2024-09-30,150.034,19.668,43.506,115.255,328.46299999999997,23940.6383,110.509,2289.306,172.195,26168.2583,1.4422794810264428,9.140491867668455
