tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
VTRS,2006-03-31,57.65,11.722,26.511,11.693,107.576,0.0,2.75,685.188,518.127,169.81100000000004,,
VTRS,2006-06-30,75.587,10.359,40.787,11.787,138.52,4216.62,0.464,687.0,567.924,4336.16,28.76478024838256,2453.521267762394
VTRS,2006-09-30,77.541,10.442,44.342,12.1,144.42499999999998,4265.8087,1.586,687.0,611.668,4342.7267,4.262922321686369,0.1514404450020379
VTRS,2006-12-31,135.445,10.491,70.138,13.121,229.195,4253.456,3.291,687.0,466.005,4477.742,58.694824303271595,3.108998316656675
VTRS,2007-03-31,-71.289,20.984,52.75,24.504,26.949,5251.4297,229.689,1654.932,1426.572,5709.4787,-88.24189009358842,27.50798728466266
VTRS,2007-03-31,-71.289,20.984,52.75,24.504,26.949,5251.4297,229.689,1654.932,1426.572,5709.4787,0.0,0.0
VTRS,2007-06-30,79.727,22.919,49.207,26.868,178.721,4524.7443,234.719,1656.064,1490.442,4925.085300000001,563.1823073212364,-13.738441654927257
VTRS,2007-06-30,79.727,22.919,49.207,26.868,178.721,4524.7443,234.719,1656.064,1490.442,4925.085300000001,0.0,0.0
VTRS,2007-09-30,149.827,23.107,88.498,27.341,288.773,3971.3906,146.967,1569.451,1269.594,4418.2146,61.57754265027613,-10.291612614303357
VTRS,2007-09-30,149.827,23.107,88.498,27.341,288.773,3971.3906,146.967,1569.451,1269.594,4418.2146,0.0,0.0
VTRS,2007-12-31,-1367.579,133.384,-77.632,0.0,-1311.827,4279.5125,0.0,4700.332,575.563,8404.2815,-554.276196181776,90.2189517910696
VTRS,2007-12-31,-1367.579,133.383,-77.632,7.303,-1304.525,4279.5125,549.733,4706.716,575.563,8960.398500000001,-0.5566282749173368,6.617067741007987
VTRS,2008-03-31,-411.891,96.479,-47.121,110.51,-252.023,3531.91,554.653,4766.486,787.341,8065.707999999999,-80.68086084973459,-9.984940959936129
VTRS,2008-06-30,18.446,92.386,-28.905,109.676,191.603,3675.4357,583.973,4728.854,571.984,8416.278699999999,-176.0259976272007,4.34643431178019
VTRS,2008-09-30,217.121,93.54,256.088,107.605,674.354,3479.9709,287.369,5210.807,748.504,8229.642899999999,251.9537794293409,-2.217557267916992
VTRS,2008-12-31,-19.752,98.374,-51.512,93.788,120.898,3013.8094,154.49,5165.419,639.716,7694.002399999999,-82.07202745145725,-6.508672447986774
VTRS,2009-03-31,106.058,85.002,37.454,94.637,323.151,4089.299,145.656,4964.569,533.454,8666.070000000002,167.29226289930358,12.634095357183694
VTRS,2009-06-30,92.871,78.173,26.178,98.724,295.94599999999997,3981.816,158.639,4978.289,515.644,8603.099999999999,-8.41866495848691,-0.7266269485476484
VTRS,2009-09-30,-5.262,77.034,-11.093,103.588,164.267,4891.8075,174.801,5128.827,681.791,9513.6445,-44.494265845796185,10.583911613255715
VTRS,2009-12-31,38.904,78.287,-73.312,104.208,148.087,5648.5186,190.7,4984.987,456.04,10368.1656,-9.849817674882965,8.982058347881306
VTRS,2010-03-31,95.857,74.047,31.259,102.466,303.629,7005.6944,153.932,5058.2,599.277,11618.5494,105.03420286723349,12.059836312799632
VTRS,2010-06-30,86.227,78.402,14.013,102.467,281.10900000000004,5271.3922,171.654,5047.384,881.275,9609.1552,-7.4169463391178025,-17.29470806398603
VTRS,2010-09-30,143.184,87.536,-12.027,104.939,323.632,5824.0651,158.536,5212.229,664.842,10529.9881,15.12687249429936,9.58287051082285
VTRS,2010-12-31,19.847,91.477,-22.843,112.916,201.397,9215.0254,167.26,5263.376,715.109,13930.5524,-37.76975082810105,32.29409442542486
VTRS,2011-03-31,104.175,84.41,25.971,119.551,334.10699999999997,9931.4928,772.026,4766.868,662.847,14807.5398,65.89472534347583,6.2954244370094115
VTRS,2011-06-30,146.446,84.654,56.049,125.326,412.475,10513.2439,824.302,4829.101,490.289,15676.3579,23.455958719811342,5.867403442670471
VTRS,2011-09-30,156.698,85.772,34.831,125.374,402.67500000000007,7245.9802,860.341,4483.221,552.415,12037.1272,-2.3759015697920938,-23.214771716841188
VTRS,2011-12-31,129.491,81.108,-1.018,124.237,333.818,9156.5099,817.2,4479.08,415.016,14037.7739,-17.099894455826682,16.620632703789973
VTRS,2012-03-31,129.079,74.209,28.844,123.667,355.799,10046.7304,542.335,4906.371,297.801,15197.6354,6.584725808674197,8.262431837572182
VTRS,2012-06-30,138.55,68.166,50.843,122.981,380.54,8672.7794,504.509,5165.931,347.983,13995.236399999998,6.9536451760685125,-7.911750534560147
VTRS,2012-09-30,211.257,68.751,52.762,129.752,462.5220000000001,9927.7145,515.128,4846.595,367.438,14921.9995,21.543595942607887,6.621989607835443
VTRS,2012-12-31,161.964,66.873,28.696,128.6,386.133,10848.3773,393.739,5337.196,374.397,16204.915299999995,-16.51575492625218,8.597479178309818
VTRS,2013-03-31,106.882,70.287,31.714,123.809,332.692,11032.5499,587.06,5672.142,348.921,16942.8309,-13.840049930982323,4.553652927763263
VTRS,2013-06-30,177.689,73.804,41.007,118.07,410.57,11844.2131,405.41,5812.17,329.379,17732.4141,23.408437834393368,4.660279056435601
VTRS,2013-09-30,158.908,65.753,35.843,126.892,387.396,14608.7278,522.639,5779.438,415.42,20495.3848,-5.644348101419972,15.581469530423364
VTRS,2013-12-31,180.232,71.192,12.244,129.226,392.894,16127.6136,439.799,7586.459,447.799,23706.0726,1.4192196099082066,15.66541848972751
VTRS,2014-03-31,115.9,74.3,35.1,135.2,360.5,18236.3448,370.5,7780.6,374.5,26012.944799999997,-8.244971926270194,9.731144584447105
VTRS,2014-06-30,125.2,75.9,11.2,129.2,341.5,19281.7901,248.0,7918.2,325.3,27122.6901,-5.270457697642161,4.266127147588472
VTRS,2014-09-30,499.1,74.9,-86.8,133.7,620.9,17020.5839,2298.2,5723.5,405.2,24637.0839,81.81551976573938,-9.164305571592246
VTRS,2014-12-31,189.2,72.8,81.9,150.8,494.7,21151.3205,2736.4,5732.8,387.8,29232.720500000003,-20.32533419230149,18.653330153249193
VTRS,2015-03-31,56.6,70.3,4.7,175.0,306.6,29051.4689,2711.5,5750.4,408.1,37105.2689,-38.02304426925409,26.930604696884085
VTRS,2015-06-30,167.8,72.4,12.8,258.7,511.7000000000001,33346.2683,2535.5,5890.4,581.7,41190.46830000001,66.8949771689498,11.009755544447763
VTRS,2015-09-30,428.6,55.0,26.5,257.7,767.8,19797.2914,502.8,5845.8,693.5,25452.391399999997,50.048856752003076,-38.208055284479514
VTRS,2015-12-31,194.6,46.4,23.7,309.4,574.0999999999999,26527.6612,1000.0,6295.6,1396.6,32426.6612,-25.227923938525663,27.401235861868777
VTRS,2016-03-31,13.9,54.1,5.1,297.1,370.2000000000001,22774.536,1148.9,6325.7,1306.5,28942.636,-35.516460546943016,-10.744322946205765
VTRS,2016-06-30,168.4,54.4,34.7,303.4,560.9,21984.124,710.6,12772.8,6518.0,28949.524,51.512695840086394,0.023798799805252457
VTRS,2016-09-30,-119.8,120.2,-205.5,445.9,240.8,20396.9828,4488.8,11328.6,1413.4,34800.9828,-57.068996256017115,20.212625257672624
VTRS,2016-12-31,417.5,138.7,-192.6,426.7,790.3,20422.7632,269.7,15202.9,1260.2,34635.1632,228.19767441860463,-0.476479647005823
VTRS,2017-03-31,66.4,128.2,5.2,415.5,615.3,20895.7937,258.2,14700.8,981.6,34873.193699999996,-22.143489813994687,0.6872509842829055
VTRS,2017-06-30,297.0,125.8,27.7,408.2,858.7,20812.256,964.3,14025.6,876.3,34925.856,39.5579392166423,0.15101083213953093
VTRS,2017-09-30,88.3,124.4,91.3,443.1,747.1,16825.2995,722.8,13992.4,871.1,30669.3995,-12.996389891696758,-12.187121483865704
VTRS,2017-12-31,244.3,121.1,82.8,464.4,912.6,22179.1982,1795.7,12865.3,480.5,36359.6982,22.152322312943372,18.553668453795446
VTRS,2018-03-31,87.1,124.3,-76.6,468.5,603.3,21217.8241,2620.7,12451.4,503.2,35786.72410000001,-33.892176199868516,-1.5758494387062671
VTRS,2018-06-30,37.5,132.1,-18.8,459.9,610.6999999999999,18630.8928,1361.2,13320.0,444.2,32867.8928,1.2265871042598908,-8.156184656197695
VTRS,2018-09-30,176.7,126.2,15.5,485.1,803.5,18871.4358,1136.0,13291.4,565.0,32733.8358,31.570329130505993,-0.4078661227713387
VTRS,2018-12-31,51.2,128.2,25.8,578.7,783.9000000000001,14132.8926,657.1,13161.2,446.8,27504.392600000003,-2.439327940261349,-15.975650491898651
VTRS,2019-03-31,-25.0,125.6,-89.5,471.0,482.1,14636.2497,735.3,13241.2,292.6,28320.1497,-38.49980864906238,2.9659157061334263
VTRS,2019-06-30,-168.5,125.8,116.4,501.4,575.1,9822.0125,779.0,12761.0,275.8,23086.2125,19.29060360920971,-18.481318974101324
VTRS,2019-09-30,189.8,123.7,-4.0,469.7,779.2,10209.269,630.9,12641.8,437.9,23044.068999999996,35.48948009041906,-0.18254835001629832
VTRS,2019-12-31,20.5,127.4,114.7,438.9,701.5,10374.5949,1534.3,11390.0,556.9,22741.9949,-9.971765913757702,-1.3108539989183043
VTRS,2020-03-31,20.8,115.2,9.9,415.0,560.9,7707.635,1504.4,11361.9,657.4,19916.534999999996,-20.042765502494653,-12.423975611743742
VTRS,2020-06-30,39.4,111.7,-19.4,415.7,547.4,8312.5078,3212.6,9153.6,402.3,20276.4078,-2.406846140131935,1.8069046648927944
VTRS,2020-09-30,185.7,112.9,55.9,432.3,786.8,7666.3982,3251.4,9258.4,747.1,19429.0982,43.73401534526855,-4.17879541759858
VTRS,2020-12-31,-915.8,146.4,-97.7,915.7,48.60000000000002,22617.231,3450.1,22658.7,934.9,47791.131,-93.82308083375699,145.97709326519333
VTRS,2021-03-31,-1037.6,165.2,596.3,1422.5,1146.4,16883.1781,2384.1,22319.4,898.5,40688.178100000005,2258.8477366255133,-14.862491745591866
VTRS,2021-06-30,-279.2,163.5,60.1,1317.1,1261.5,17279.6395,3538.4,21125.6,767.2,41176.43950000001,10.04012561060712,1.2000080190368578
VTRS,2021-09-30,311.5,148.4,-111.6,1017.1,1365.4,16387.0855,3676.8,20068.0,849.4,39282.4855,8.236226714229101,-4.599606044131144
VTRS,2021-12-31,-263.8,145.4,59.9,730.4,671.9,16364.6297,3440.0,19918.0,790.4,38932.2297,-50.79097700307602,-0.8916334991073804
VTRS,2022-03-31,399.2,143.1,128.3,736.0,1406.6,13190.0742,3340.7,18954.2,842.0,34642.9742,109.34662896264325,-11.017235676075355
VTRS,2022-06-30,313.9,143.0,75.4,722.3,1254.6,12694.3201,1861.7,19398.6,746.6,33208.0201,-10.80619934594057,-4.142121550291133
VTRS,2022-09-30,354.3,150.3,73.2,699.5,1277.3000000000002,10331.8036,1340.6,18903.8,724.7,29851.5036,1.8093416228280201,-10.107547784819616
VTRS,2022-12-31,1011.2,147.8,457.7,869.8,2486.5,13509.5161,1331.1,18196.6,1337.8,31699.4161,94.66844124324744,6.190349822110797
VTRS,2023-03-31,224.7,143.8,98.0,730.0,1196.5,11534.2357,796.8,18242.6,587.6,29986.0357,-51.88015282525639,-5.405085048238467
VTRS,2023-06-30,264.0,140.6,69.0,686.7,1160.3000000000002,11967.4771,1442.9,17412.9,713.6,30109.6771,-3.0254910154617454,0.41232992996136364
VTRS,2023-09-30,331.6,138.5,70.6,679.4,1220.1,11828.6476,1395.9,17237.4,1392.0,29069.9476,5.153839524260939,-3.453140651581421
VTRS,2023-12-31,-765.6,123.6,-89.4,644.4,-87.0,13004.1767,2017.7,16353.5,1079.9,30295.4767,-107.13056306860094,4.215793976869775
VTRS,2024-03-31,113.9,135.8,90.7,691.0,1031.4,14213.4596,1981.5,16228.7,1106.7,31316.9596,-1285.5172413793105,3.371734038434848
VTRS,2024-06-30,-326.4,135.4,-65.4,786.3,529.9,12684.4495,2448.5,14923.1,1009.3,29046.7495,-48.62323056040334,-7.249139536521277
VTRS,2024-09-30,94.8,133.3,-4.3,669.7,893.5,13857.4754,1522.9,14491.5,1975.4,27896.475399999996,68.6167201358747,-3.960078562319014
