tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
WAT,2006-03-31,44.155,11.428,9.172,6.074,70.829,4473.9215,338.176,500.0,481.223,4830.874500000001,,
WAT,2006-06-30,47.78,12.477,8.863,6.711,75.831,4545.672,362.345,500.0,489.556,4918.461,7.0620790918974,1.8130568285307236
WAT,2006-09-30,50.376,13.565,8.669,7.31,79.92,4587.2715,385.893,500.0,511.567,4961.5975,5.392253827590299,0.8770324701161458
WAT,2006-12-31,79.889,14.187,14.055,5.801,113.932,4964.1379,403.461,500.0,514.166,5353.4329,42.557557557557566,7.897363701912541
WAT,2007-03-31,55.937,13.188,10.019,6.57,85.714,5847.502,371.504,500.0,503.686,6215.320000000001,-24.767405118842824,16.09970865610366
WAT,2007-06-30,59.909,13.335,10.635,6.657,90.536,5924.6029,389.418,500.0,544.304,6269.716899999999,5.625685418951409,0.8752067471988312
WAT,2007-09-30,53.283,14.783,9.227,7.281,84.57400000000001,6705.384,410.515,500.0,626.465,6989.434,-6.5852257665458875,11.479259932773056
WAT,2007-12-31,98.943,15.209,25.239,6.959,146.35,7984.0933,384.176,500.0,693.014,8175.2553,73.04372502187431,16.965913119717555
WAT,2008-03-31,68.475,11.157,15.647,7.114,102.393,5574.456,279.301,650.0,758.528,5745.229,-30.035531260676464,-29.72416408818449
WAT,2008-06-30,83.148,9.807,-0.979,8.497,100.473,6381.243,334.02,650.0,830.681,6534.582,-1.875128182590613,13.739278277680489
WAT,2008-09-30,71.503,10.57,21.987,6.441,110.501,5717.8722,377.488,650.0,892.6,5852.7602,9.980790859235821,-10.43405377727299
WAT,2008-12-31,99.353,6.987,13.058,7.019,126.417,3587.7052,36.12,500.0,428.522,3695.3031999999994,14.40348956118045,-36.86221417375003
WAT,2009-03-31,73.347,3.13,9.922,8.363,94.762,3560.3912,88.059,500.0,431.272,3717.1782,-25.04014491721841,0.5919676631676696
WAT,2009-06-30,69.907,2.649,14.734,7.933,95.22299999999998,4914.2527,130.757,500.0,505.681,5039.3287,0.4864819231337192,35.568660657699965
WAT,2009-09-30,75.936,2.864,18.097,7.486,104.38300000000002,5288.0428,144.65,500.0,578.148,5354.5448,9.61952469466414,6.255120845758677
WAT,2009-12-31,104.123,2.343,20.586,8.023,135.07500000000002,5831.5513,131.772,500.0,630.257,5833.0663,29.403255319352752,8.936735387852224
WAT,2010-03-31,75.518,2.614,14.554,8.441,101.127,6270.8188,12.382,700.0,692.18,6291.020799999999,-25.132704053303733,7.851007968141888
WAT,2010-06-30,84.922,3.621,17.489,8.677,114.709,5953.8234,56.858,700.0,754.473,5956.2084,13.430636724119193,-5.322067922585772
WAT,2010-09-30,94.719,3.81,5.802,8.779,113.11,6455.8438,92.243,700.0,837.098,6410.9888,-1.3939621128246316,7.635401071594461
WAT,2010-12-31,126.604,3.879,18.255,8.524,157.262,7137.5081,66.055,700.0,946.419,6957.1441,39.03456811952965,8.51904935475789
WAT,2011-03-31,94.489,4.083,18.036,8.64,125.248,7954.1308,390.346,400.0,1039.049,7705.4278,-20.357111063066725,10.755615943041906
WAT,2011-06-30,100.075,5.052,16.253,5.123,126.503,8747.6681,136.176,700.0,1121.677,8462.1671,1.0020120081757788,9.820860303174861
WAT,2011-09-30,101.257,6.159,20.461,13.504,141.381,6762.6962,271.578,700.0,1194.217,6540.057199999999,11.760985905472587,-22.714156755424998
WAT,2011-12-31,137.147,6.677,21.534,9.264,174.622,6590.1538,290.832,700.0,1281.351,6299.6348,23.511645836427817,-3.676151333966915
WAT,2012-03-31,88.666,6.491,15.829,14.569,125.555,8231.4511,323.616,700.0,1353.553,7901.5141,-28.098979510027377,25.428129579828983
WAT,2012-06-30,97.724,6.878,16.552,16.034,137.188,6966.5786,401.354,700.0,1392.137,6675.7956,9.265262235673589,-15.512450961771995
WAT,2012-09-30,99.109,7.107,16.713,20.622,143.551,7243.5436,447.703,700.0,1448.441,6942.805600000001,4.638160772079192,3.9996730876541653
WAT,2012-12-31,175.944,7.597,-22.912,17.606,178.235,7526.2968,132.781,1045.0,1539.025,7165.0527999999995,24.16144784780323,3.201115122681797
WAT,2013-03-31,121.059,7.185,-17.652,18.262,128.85399999999998,8044.2367,133.232,1100.0,1589.854,7687.614700000001,-27.705557269896495,7.2932037569911845
WAT,2013-06-30,89.314,7.58,15.402,19.422,131.718,8523.9599,132.909,1135.0,1649.722,8142.1469,2.222670619460798,5.912525766932597
WAT,2013-09-30,98.048,7.358,14.609,20.571,140.586,9020.5215,133.761,1160.0,1699.107,8615.175500000001,6.732565025281301,5.809629890121504
WAT,2013-12-31,141.582,7.927,27.743,21.44,198.692,8481.9,133.346,1190.0,1803.67,8001.575999999999,41.3312847651971,-7.12230992856735
WAT,2014-03-31,70.302,7.489,12.428,20.342,110.561,9190.783,232.104,1100.0,1853.195,8669.692,-44.35558552936203,8.349805088397577
WAT,2014-06-30,96.529,7.971,15.595,20.782,140.877,8766.798,233.403,1160.0,1917.56,8242.641000000001,27.42015719828872,-4.925792058126143
WAT,2014-09-30,113.497,9.062,17.916,29.426,169.90099999999998,8250.947,225.006,1205.0,1946.357,7734.596,20.60236944284728,-6.163619160412326
WAT,2014-12-31,151.292,9.669,13.181,28.399,202.54100000000005,9372.3298,225.243,1240.0,2055.388,8782.184799999999,19.211187691655773,13.54419545636254
WAT,2015-03-31,96.061,8.975,17.286,22.549,144.871,10281.3883,175.316,1310.0,2109.045,9657.6593,-28.473247391886105,9.968755155323095
WAT,2015-06-30,105.657,9.046,18.115,22.589,155.407,10560.5388,175.297,1385.0,2208.893,9911.9428,7.272677071325528,2.6329723600831745
WAT,2015-09-30,116.281,9.017,13.281,21.757,160.336,9652.3193,175.176,1455.0,2310.734,8971.761299999998,3.1716718037154035,-9.485340250349328
WAT,2015-12-31,151.054,9.205,24.184,23.092,207.53500000000005,10964.5018,175.309,1493.027,2399.263,10233.5748,29.437556132122555,14.06427854918524
WAT,2016-03-31,94.052,10.119,12.578,23.431,140.18,10674.8345,125.499,1593.301,2505.168,9888.4665,-32.4547666658636,-3.3723142376405946
WAT,2016-06-30,128.217,10.983,17.238,24.646,181.084,11327.5291,125.26,1631.698,2599.786,10484.7011,29.179626194892272,6.029596196740927
WAT,2016-09-30,124.856,11.707,20.594,24.287,181.444,12768.1129,125.176,1656.832,2713.015,11837.1059,0.19880276556736298,12.89883981528095
WAT,2016-12-31,174.378,12.102,28.201,24.085,238.766,10754.291,125.297,1701.966,2813.032,9768.522,31.59211657591323,-17.475419392843307
WAT,2017-03-31,105.557,12.725,7.93,22.95,149.16199999999998,12504.9563,225.285,1642.099,2966.463,11405.8773,-37.52795624167595,16.76154591247272
WAT,2017-06-30,131.822,14.083,16.25,29.455,191.61,14672.4542,225.233,1687.233,3125.946,13458.9742,28.457650071734108,18.000341806237042
WAT,2017-09-30,136.104,14.75,17.696,25.844,194.394,14275.7894,225.423,1732.367,3254.957,12978.6224,1.4529513073430422,-3.56900751024547
WAT,2017-12-31,-353.172,15.281,578.91,27.753,268.77199999999993,15327.115,100.273,1897.501,3393.701,13931.187999999998,38.261468975379856,7.339496986983751
WAT,2018-03-31,111.951,13.838,28.598,28.64,183.027,15558.0694,0.354,1247.63,2551.873,14254.1804,-31.902504725194582,2.318484252742836
WAT,2018-06-30,155.677,11.692,18.884,27.196,213.449,14912.6249,0.499,1147.951,2248.493,13812.5819,16.621591349910148,-3.098028000262998
WAT,2018-09-30,141.014,11.435,28.216,26.975,207.64,14743.1164,0.284,1148.061,2084.26,13807.2014,-2.7214931904108397,-0.03895361518181373
WAT,2018-12-31,185.152,11.676,12.654,25.597,235.079,13793.1448,0.178,1148.172,1735.224,13206.2708,13.214698516663459,-4.352298359318496
WAT,2019-03-31,108.986,11.563,8.392,24.764,153.705,17653.9326,127.189,1116.071,1167.263,17729.9296,-34.61559730984052,34.25386976011426
WAT,2019-06-30,144.41,11.448,27.325,28.851,212.034,14554.5288,125.401,1115.107,675.773,15119.2638,37.94866790280081,-14.724625866534735
WAT,2019-09-30,138.133,11.456,26.605,26.704,202.898,14536.0679,123.994,1316.973,404.649,15572.3859,-4.308742937453425,2.9969852103512995
WAT,2019-12-31,200.669,14.223,23.719,24.977,263.588,14623.4526,127.491,1647.678,337.144,16061.477600000002,29.91158118857753,3.14076277804034
WAT,2020-03-31,53.562,14.079,4.301,29.188,101.13,11268.1668,77.999,1909.593,393.871,12861.887800000002,-61.633306523817474,-19.920893205989966
WAT,2020-06-30,122.929,13.018,22.434,31.015,189.396,11169.6464,176.862,1609.987,355.756,12600.7394,87.27973894986651,-2.0304048990382406
WAT,2020-09-30,126.769,10.915,23.668,30.888,192.24,12136.8563,176.745,1483.808,397.07,13400.3393,1.501615662421596,6.345658573019919
WAT,2020-12-31,218.311,11.058,38.94,34.27,302.57899999999995,15416.4928,177.764,1274.712,443.146,16425.822799999998,57.396483562213874,22.57766338797107
WAT,2021-03-31,148.127,10.946,25.657,31.356,216.086,17575.062,126.908,1664.593,809.769,18556.794,-28.585262030742363,12.973299578027863
WAT,2021-06-30,167.292,12.027,30.122,33.387,242.82799999999995,21248.4484,27.583,1664.771,663.622,22277.1804,12.375628222096724,20.048648489604393
WAT,2021-09-30,161.185,11.081,21.49,33.183,226.939,21854.9691,26.839,1671.999,655.192,22898.6151,-6.543314609517825,2.789557245763463
WAT,2021-12-31,216.239,10.884,36.081,33.754,296.958,22627.2528,27.906,1573.493,569.285,23659.366799999996,30.853665522453188,3.3222607423101236
WAT,2022-03-31,159.831,11.059,26.864,32.664,230.418,18738.8651,26.089,1505.251,503.095,19767.1101,-22.407209100276816,-16.4512293710244
WAT,2022-06-30,164.864,11.419,27.41,34.227,237.92,19854.8282,75.199,1494.953,419.794,21005.1862,3.255822027792954,6.2633136241802
WAT,2022-09-30,155.998,12.42,27.383,32.214,228.015,16046.199,74.231,1556.096,444.513,17232.013000000003,-4.163164088769333,-17.96305523823444
WAT,2022-12-31,227.062,13.899,48.434,31.318,320.71299999999997,20247.8483,76.429,1586.986,481.391,21429.872300000003,40.65434291603622,24.360817856857466
WAT,2023-03-31,140.923,14.444,24.25,31.154,210.771,18274.3626,74.51,1492.387,486.955,19354.304599999996,-34.28049377480801,-9.685394625520038
WAT,2023-06-30,150.554,23.272,29.721,38.884,242.431,15738.1208,75.908,2647.054,330.578,18130.5048,15.021041794174739,-6.32314012460048
WAT,2023-09-30,134.552,30.442,18.643,47.807,231.444,16210.1984,76.527,2515.434,337.312,18464.8474,-4.532011170188643,1.8440887536677941
WAT,2023-12-31,216.205,30.703,21.395,48.06,316.363,19482.5145,77.825,2364.439,395.974,21528.8045,36.690948998461835,16.59346017665979
WAT,2024-03-31,102.196,25.52,12.66,48.514,188.89,20416.2813,76.879,2061.688,338.213,22216.6353,-40.29327070485487,3.1949326308388537
WAT,2024-06-30,142.737,23.726,26.675,47.229,240.367,17219.4924,26.367,2062.355,327.361,18980.853399999996,27.25236910371116,-14.56468027811576
WAT,2024-09-30,161.503,21.435,32.114,47.507,262.55899999999997,21365.5896,25.346,1879.482,331.458,22938.9596,9.23254856115856,20.853151945212332
