tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
ABBV,2010-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBV,2010-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBV,2010-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABBV,2010-12-31,4177.866,0.0,657.631,1184.361,6019.858,0.0,0.0,0.0,1883.265,-1883.265
ABBV,2011-03-31,723.199,0.0,135.123,310.475,1168.797,0.0,0.0,0.0,0.0,0.0
ABBV,2011-06-30,1540.031,0.0,-159.299,317.61,1698.342,0.0,0.0,0.0,0.0,0.0
ABBV,2011-09-30,12.335,0.0,59.238,312.233,383.80600000000004,0.0,0.0,0.0,0.0,0.0
ABBV,2011-12-31,1157.563,0.0,200.337,305.876,1663.776,0.0,32.0,37.0,653.581,-584.581
ABBV,2012-03-31,883.278,0.0,122.514,302.241,1308.033,0.0,0.0,0.0,42.991,-42.991
ABBV,2012-06-30,1266.576,0.0,135.031,299.844,1701.451,0.0,0.0,0.0,74.537,-74.537
ABBV,2012-09-30,1585.504,0.0,19.18,183.055,1787.739,0.0,0.0,0.0,4585.605,-4585.605
ABBV,2012-12-31,1539.642,104.0,173.275,295.86,2112.777,0.0,1042.0,14630.0,7976.0,7696.0
ABBV,2013-03-31,968.0,72.0,271.0,227.0,1538.0,64584.4686,436.0,14601.0,7479.0,72142.4686
ABBV,2013-06-30,1068.0,79.0,300.0,236.0,1683.0,65541.6349,432.0,14326.0,8754.0,71545.6349
ABBV,2013-09-30,964.0,74.0,322.0,234.0,1594.0,71020.5943,434.0,14375.0,9596.0,76233.5943
ABBV,2013-12-31,1128.0,74.0,311.0,200.0,1713.0,83828.5344,431.0,14292.0,9895.0,88656.5344
ABBV,2014-03-31,980.0,70.0,306.0,199.0,1555.0,81729.4438,20.0,14386.0,9100.0,87035.4438
ABBV,2014-06-30,1098.0,73.0,335.0,202.0,1708.0,89835.4916,271.0,14470.0,10246.0,94330.4916
ABBV,2014-09-30,506.0,72.0,181.0,192.0,951.0,92027.0442,323.0,14469.0,10323.0,96496.0442
ABBV,2014-12-31,-810.0,73.0,-227.0,193.0,-771.0,104140.4962,4446.0,10565.0,8374.0,110777.4962
ABBV,2015-03-31,1022.0,73.0,374.0,158.0,1627.0,93258.669,4590.0,10683.0,7924.0,100607.669
ABBV,2015-06-30,1366.0,145.0,312.0,190.0,2013.0,111217.9944,4007.0,27116.0,8279.0,134061.9944
ABBV,2015-09-30,1239.0,207.0,408.0,227.0,2081.0,88946.5843,768.0,31359.0,9249.0,111824.5843
ABBV,2015-12-31,1517.0,208.0,407.0,261.0,2393.0,95370.0613,2431.0,29240.0,8407.0,118634.0613
ABBV,2016-03-31,1354.0,215.0,422.0,268.0,2259.0,92383.5461,2423.0,29490.0,8600.0,115696.5461
ABBV,2016-06-30,1610.0,245.0,486.0,289.0,2630.0,100823.0352,517.0,37328.0,8002.0,130666.03519999998
ABBV,2016-09-30,1598.0,271.0,416.0,304.0,2589.0,102482.9476,26.0,37284.0,7950.0,131842.9476
ABBV,2016-12-31,1391.0,277.0,607.0,328.0,2603.0,99723.1641,402.0,36440.0,6423.0,130142.1641
ABBV,2017-03-31,1711.0,273.0,375.0,374.0,2733.0,103693.4086,425.0,36526.0,6248.0,134396.4086
ABBV,2017-06-30,1915.0,284.0,438.0,379.0,3016.0,115560.7097,3420.0,33817.0,7205.0,145592.7097
ABBV,2017-09-30,1631.0,294.0,464.0,379.0,2768.0,141831.4898,3821.0,33974.0,9554.0,170072.4898
ABBV,2017-12-31,52.0,299.0,1141.0,369.0,1861.0,153974.989,6415.0,30953.0,9789.0,181553.989
ABBV,2018-03-31,2783.0,309.0,14.0,445.0,3551.0,150187.7805,6381.0,30906.0,9474.0,178000.7805
ABBV,2018-06-30,1983.0,320.0,29.0,443.0,2775.0,140283.9592,6530.0,30579.0,3743.0,173649.9592
ABBV,2018-09-30,2747.0,339.0,14.0,435.0,3535.0,142263.4528,4021.0,36487.0,8785.0,173986.4528
ABBV,2018-12-31,-1826.0,380.0,-547.0,442.0,-1551.0,136332.7846,5308.0,35002.0,8061.0,168581.7846
ABBV,2019-03-31,2456.0,387.0,88.0,503.0,3434.0,119131.2004,2188.0,35373.0,5228.0,151464.2004
ABBV,2019-06-30,741.0,351.0,66.0,502.0,1660.0,107507.1391,5752.0,31909.0,5416.0,139752.1391
ABBV,2019-09-30,1884.0,348.0,117.0,503.0,2852.0,111973.373,5383.0,33394.0,10648.0,140102.37300000002
ABBV,2019-12-31,2801.0,386.0,273.0,509.0,3969.0,130942.8685,3862.0,63226.0,39924.0,158106.86849999998
ABBV,2020-03-31,3010.0,419.0,88.0,559.0,4076.0,112507.8683,3762.0,63284.0,41142.0,138411.8683
ABBV,2020-06-30,-738.0,502.0,46.0,1555.0,1365.0,173217.3049,5371.0,82061.0,6040.0,254609.3049
ABBV,2020-09-30,2308.0,630.0,187.0,2292.0,5417.0,154622.1891,4777.0,82282.0,7950.0,233731.1891
ABBV,2020-12-31,36.0,629.0,-1545.0,2065.0,1185.0,189134.001,8677.0,78386.0,8479.0,267718.001
ABBV,2021-03-31,3553.0,632.0,312.0,2215.0,6712.0,191080.0499,11347.0,74183.0,9777.0,266833.0499
ABBV,2021-06-30,766.0,615.0,394.0,2200.0,3975.0,199037.8086,7901.0,74237.0,8600.0,272575.8086
ABBV,2021-09-30,3179.0,596.0,508.0,2127.0,6410.0,190693.3411,6672.0,74049.0,12249.0,259165.34109999996
ABBV,2021-12-31,4044.0,580.0,226.0,1979.0,6829.0,239432.9652,12673.0,64902.0,9830.0,307177.9652
ABBV,2022-03-31,4490.0,548.0,436.0,2053.0,7527.0,286427.782,9952.0,63522.0,7572.0,352329.782
ABBV,2022-06-30,924.0,556.0,255.0,2052.0,3787.0,270791.0153,11930.0,61002.0,9961.0,333762.0153
ABBV,2022-09-30,3949.0,560.0,448.0,2205.0,7162.0,237337.0982,9207.0,60399.0,11879.0,295064.0982
ABBV,2022-12-31,2473.0,566.0,493.0,2157.0,5689.0,285917.3414,4302.0,59889.0,9229.0,340879.3414
ABBV,2023-03-31,239.0,553.0,234.0,2127.0,3153.0,281123.7395,2801.0,59292.0,6722.0,336494.7395
ABBV,2023-06-30,2024.0,552.0,583.0,2260.0,5419.0,237771.3693,5203.0,55812.0,8766.0,290020.3693
ABBV,2023-09-30,1778.0,555.0,172.0,2235.0,4740.0,263163.3432,5115.0,55631.0,13290.0,310619.3432
ABBV,2023-12-31,822.0,549.0,388.0,2076.0,3835.0,273667.8768,7357.0,52929.0,12816.0,321137.8768
ABBV,2024-03-31,1369.0,636.0,383.0,2074.0,4462.0,321538.1583,10196.0,63805.0,18069.0,377470.1583
ABBV,2024-06-30,1370.0,726.0,773.0,2131.0,5000.0,302894.5434,12586.0,58048.0,13157.0,360371.5434
ABBV,2024-09-30,1561.0,720.0,520.0,2079.0,4880.0,348967.8954,12570.0,58509.0,7285.0,412761.8954
