tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
BSX,2006-03-31,332.0,37.0,99.0,77.0,545.0,18942.8819,806.0,1836.0,1083.0,20501.8819
BSX,2006-06-30,-4262.0,111.0,76.0,240.0,-3835.0,24770.9159,6.0,8892.0,1157.0,32511.9159
BSX,2006-09-30,76.0,143.0,-25.0,216.0,410.0,21790.5803,5.0,8893.0,1541.0,29147.5803
BSX,2006-12-31,277.0,144.0,-108.0,248.0,561.0,25334.8993,7.0,8895.0,1668.0,32568.899300000005
BSX,2007-03-31,120.0,141.0,39.0,224.0,524.0,21553.0346,7.0,8898.0,1340.0,29118.0346
BSX,2007-06-30,115.0,146.0,12.0,230.0,503.0,22816.041,654.0,8250.0,1514.0,30206.041
BSX,2007-09-30,-272.0,146.0,13.0,229.0,116.0,20788.1784,254.0,7903.0,1237.0,27708.1784
BSX,2007-12-31,-458.0,137.0,-138.0,256.0,-203.0,17343.0631,256.0,7933.0,1452.0,24080.0631
BSX,2008-03-31,322.0,131.0,140.0,223.0,816.0,19247.2781,257.0,7311.0,1739.0,25076.2781
BSX,2008-06-30,98.0,118.0,2.0,215.0,433.0,18419.9202,271.0,7014.0,1616.0,24088.9202
BSX,2008-09-30,-62.0,112.0,-6.0,210.0,254.0,18419.2332,7.0,6767.0,1734.0,23459.2332
BSX,2008-12-31,-2394.0,107.0,-131.0,216.0,-2202.0,11622.6626,2.0,6743.0,1641.0,16726.6626
BSX,2009-03-31,-13.0,102.0,-84.0,205.0,210.0,11975.2679,5.0,6242.0,897.0,17325.2679
BSX,2009-06-30,158.0,92.0,22.0,202.0,474.0,15283.5961,330.0,5920.0,1194.0,20339.596100000002
BSX,2009-09-30,-94.0,91.0,50.0,211.0,258.0,15993.5475,256.0,5774.0,1381.0,20642.5475
BSX,2009-12-31,-1076.0,88.0,-271.0,216.0,-1043.0,13596.786,3.0,5915.0,864.0,18650.786
BSX,2010-03-31,-1589.0,93.0,14.0,202.0,-1280.0,10947.8593,250.0,5671.0,519.0,16349.8593
BSX,2010-06-30,98.0,92.0,22.0,199.0,411.0,8798.0316,850.0,5183.0,811.0,14020.0316
BSX,2010-09-30,190.0,91.0,-27.0,201.0,455.0,9317.3793,904.0,5133.0,624.0,14730.3793
BSX,2010-12-31,236.0,102.0,-7.0,214.0,545.0,11512.3046,504.0,4934.0,213.0,16737.3046
BSX,2011-03-31,46.0,75.0,227.0,201.0,549.0,10987.8011,254.0,4670.0,595.0,15316.8011
BSX,2011-06-30,146.0,73.0,12.0,167.0,398.0,10564.008,4.0,4197.0,154.0,14611.008
BSX,2011-09-30,142.0,62.0,-31.0,172.0,345.0,8870.9868,4.0,4259.0,276.0,12857.9868
BSX,2011-12-31,107.0,71.0,-7.0,177.0,348.0,7737.9537,4.0,4257.0,267.0,11731.9537
BSX,2012-03-31,113.0,69.0,10.0,163.0,355.0,8576.7074,4.0,4255.0,284.0,12551.7074
BSX,2012-06-30,-3578.0,63.0,-40.0,167.0,-3388.0,8031.7535,4.0,4253.0,371.0,11917.753499999999
BSX,2012-09-30,-664.0,65.0,0.0,169.0,-430.0,7880.2853,3.0,4252.0,352.0,11783.2853
BSX,2012-12-31,61.0,64.0,-9.0,184.0,300.0,7768.2298,4.0,4252.0,207.0,11817.229800000001
BSX,2013-03-31,-354.0,65.0,-40.0,164.0,-165.0,10546.7333,4.0,4250.0,268.0,14532.7333
BSX,2013-06-30,130.0,65.0,22.0,167.0,384.0,12415.7652,605.0,3647.0,530.0,16137.765200000002
BSX,2013-09-30,-5.0,66.0,-35.0,173.0,199.0,15717.9346,3.0,4246.0,571.0,19395.9346
BSX,2013-12-31,108.0,58.0,-49.0,185.0,302.0,15893.9979,3.0,4237.0,217.0,19916.997900000002
BSX,2014-03-31,133.0,54.0,13.0,174.0,374.0,17879.7674,4.0,4245.0,191.0,21937.7674
BSX,2014-06-30,4.0,54.0,-108.0,178.0,128.0,16904.4918,3.0,4252.0,357.0,20802.4918
BSX,2014-09-30,43.0,53.0,-40.0,180.0,236.0,15660.06,3.0,4249.0,246.0,19666.059999999998
BSX,2014-12-31,-299.0,55.0,-255.0,193.0,-306.0,17588.739,403.0,3859.0,587.0,21263.739
BSX,2015-03-31,-1.0,56.0,-50.0,177.0,182.0,23785.3018,423.0,3845.0,242.0,27811.3018
BSX,2015-06-30,102.0,62.0,3.0,180.0,347.0,23757.0462,43.0,5069.0,903.0,27966.0462
BSX,2015-09-30,-198.0,58.0,-168.0,199.0,-109.0,22069.2182,63.0,5796.0,350.0,27578.2182
BSX,2015-12-31,-142.0,59.0,-196.0,210.0,-69.0,24832.1891,3.0,5674.0,319.0,30190.1891
BSX,2016-03-31,202.0,59.0,26.0,200.0,487.0,25479.4053,253.0,5424.0,338.0,30818.4053
BSX,2016-06-30,-207.0,59.0,-190.0,193.0,-145.0,31752.7956,254.0,5173.0,438.0,36741.7956
BSX,2016-09-30,228.0,57.0,29.0,204.0,518.0,32402.3672,254.0,5171.0,237.0,37590.3672
BSX,2016-12-31,124.0,58.0,-35.0,213.0,360.0,29462.3312,64.0,5420.0,439.0,34507.3312
