tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
CI,2006-03-31,352.0,25.0,176.0,54.0,607.0,15642.9206,85.0,1253.0,2009.0,14971.920599999998
CI,2006-06-30,273.0,24.0,135.0,53.0,485.0,10924.1679,376.0,950.0,1444.0,10806.1679
CI,2006-09-30,298.0,27.0,144.0,48.0,517.0,11930.7098,455.0,1028.0,1303.0,12110.7098
CI,2006-12-31,232.0,28.0,117.0,53.0,430.0,12979.9068,382.0,1294.0,1964.0,12691.9068
CI,2007-03-31,289.0,29.0,136.0,54.0,508.0,13685.6591,291.0,1792.0,1663.0,14105.6591
CI,2007-06-30,198.0,32.0,111.0,44.0,385.0,14804.2656,0.0,1792.0,1124.0,15472.265599999999
CI,2007-09-30,365.0,30.0,139.0,49.0,583.0,14879.2075,0.0,1793.0,1442.0,15230.2075
CI,2007-12-31,263.0,31.0,125.0,47.0,466.0,15022.2632,3.0,1790.0,2639.0,14176.263200000001
CI,2008-03-31,58.0,31.0,18.0,53.0,160.0,11394.8553,251.0,2090.0,2886.0,10849.8553
CI,2008-06-30,272.0,37.0,140.0,64.0,513.0,9746.7599,428.0,2090.0,859.0,11405.7599
CI,2008-09-30,171.0,38.0,62.0,64.0,335.0,9252.9579,315.0,2090.0,1156.0,10501.9579
CI,2008-12-31,-209.0,40.0,-130.0,63.0,-236.0,4566.9566,301.0,2090.0,2312.0,4645.9566
CI,2009-03-31,208.0,38.0,65.0,69.0,380.0,4799.0973,377.0,2086.0,1489.0,5773.0973
CI,2009-06-30,435.0,41.0,195.0,76.0,747.0,6571.1979,106.0,2435.0,1807.0,7305.197899999999
CI,2009-09-30,329.0,43.0,157.0,62.0,591.0,7683.2892,104.0,2435.0,1738.0,8484.2892
CI,2009-12-31,330.0,44.0,177.0,61.0,612.0,9673.0444,104.0,2436.0,2057.0,10156.0444
CI,2010-03-31,283.0,43.0,138.0,61.0,525.0,10122.2713,326.0,2212.0,2256.0,10404.2713
CI,2010-06-30,294.0,45.0,144.0,67.0,550.0,8482.3307,326.0,2510.0,2406.0,8912.3307
CI,2010-09-30,307.0,47.0,156.0,76.0,586.0,9692.9451,326.0,2510.0,2439.0,10089.9451
CI,2010-12-31,461.0,47.0,83.0,88.0,679.0,9967.1208,552.0,2288.0,2568.0,10239.1208
CI,2011-03-31,413.0,44.0,165.0,83.0,705.0,11989.2528,330.0,2883.0,2529.0,12673.2528
CI,2011-06-30,391.0,48.0,201.0,83.0,723.0,13899.4718,330.0,2883.0,2828.0,14284.4718
CI,2011-09-30,183.0,49.0,90.0,86.0,408.0,11336.5078,330.0,2883.0,3160.0,11389.5078
CI,2011-12-31,273.0,61.0,159.0,93.0,586.0,11992.386,104.0,4990.0,5882.0,11204.385999999999
CI,2012-03-31,371.0,66.0,181.0,126.0,744.0,14191.5353,227.0,4990.0,3275.0,16133.5353
CI,2012-06-30,380.0,67.0,208.0,144.0,799.0,12681.68,226.0,4985.0,4282.0,13610.68
CI,2012-09-30,466.0,68.0,252.0,136.0,922.0,13517.0824,226.0,4986.0,3588.0,15141.0824
CI,2012-12-31,406.0,67.0,212.0,154.0,839.0,15280.4183,201.0,4986.0,4273.0,16194.418299999998
CI,2013-03-31,57.0,67.0,15.0,150.0,289.0,17818.9219,400.0,4995.0,4597.0,18616.9219
CI,2013-06-30,505.0,68.0,261.0,149.0,983.0,20551.205,153.0,5030.0,4599.0,21135.205
CI,2013-09-30,553.0,68.0,246.0,146.0,1013.0,21285.6084,205.0,5034.0,4895.0,21629.6084
CI,2013-12-31,361.0,67.0,176.0,152.0,756.0,24103.0145,233.0,5014.0,4599.0,24751.0145
CI,2014-03-31,528.0,67.0,324.0,150.0,1069.0,22487.5336,210.0,5022.0,3782.0,23937.5336
CI,2014-06-30,573.0,65.0,329.0,139.0,1106.0,24333.0547,121.0,5022.0,3379.0,26097.0547
CI,2014-09-30,534.0,64.0,287.0,146.0,1031.0,23820.6354,121.0,5024.0,2975.0,25990.6354
CI,2014-12-31,467.0,69.0,270.0,153.0,959.0,26682.0932,147.0,5005.0,2749.0,29085.0932
CI,2015-03-31,533.0,66.0,323.0,151.0,1073.0,33359.7946,999.0,5062.0,3873.0,35547.7946
CI,2015-06-30,588.0,62.0,352.0,151.0,1153.0,41707.062,150.0,5046.0,3202.0,43701.062
CI,2015-09-30,547.0,62.0,334.0,149.0,1092.0,34780.0718,149.0,5056.0,3602.0,36383.0718
CI,2015-12-31,426.0,62.0,241.0,157.0,886.0,37540.0835,149.0,5020.0,3752.0,38957.0835
CI,2016-03-31,519.0,63.0,305.0,158.0,1045.0,35203.0207,399.0,4791.0,4407.0,35986.0207
CI,2016-06-30,510.0,62.0,310.0,152.0,1034.0,32836.8584,300.0,4789.0,4403.0,33522.8584
CI,2016-09-30,456.0,63.0,290.0,150.0,959.0,33455.7504,271.0,4780.0,5778.0,32728.750399999997
CI,2016-12-31,382.0,63.0,231.0,150.0,826.0,34263.7559,276.0,4756.0,5450.0,33845.7559
CI,2017-03-31,598.0,62.0,297.0,146.0,1103.0,37533.2283,142.0,4621.0,5874.0,36422.2283
CI,2017-06-30,813.0,60.0,324.0,140.0,1337.0,42326.068,141.0,4622.0,5156.0,41933.068
CI,2017-09-30,560.0,61.0,262.0,139.0,1022.0,46281.2966,141.0,5207.0,5208.0,46421.2966
CI,2017-12-31,266.0,60.0,491.0,141.0,958.0,49547.258,240.0,5199.0,4693.0,50293.258
CI,2018-03-31,915.0,0.0,301.0,140.0,1356.0,40802.755,110.0,5191.0,4630.0,41473.755
CI,2018-06-30,806.0,0.0,294.0,136.0,1236.0,41355.633,109.0,5195.0,5423.0,41236.633
CI,2018-09-30,772.0,0.0,259.0,162.0,1193.0,50709.9163,9.0,25041.0,25790.0,49969.9163
CI,2018-12-31,144.0,0.0,81.0,248.0,473.0,72345.0861,2955.0,39523.0,5868.0,108955.0861
CI,2019-03-31,1368.0,0.0,416.0,897.0,2681.0,61155.0214,3075.0,38095.0,6606.0,95719.0214
CI,2019-06-30,1408.0,0.0,348.0,914.0,2670.0,59535.4667,2473.0,37397.0,5254.0,94151.46669999999
CI,2019-09-30,1351.0,0.0,409.0,913.0,2673.0,56766.1206,4874.0,34536.0,5927.0,90249.1206
CI,2019-12-31,977.0,0.0,277.0,927.0,2181.0,76178.8642,5680.0,32358.0,5556.0,108660.8642
CI,2020-03-31,1181.0,0.0,208.0,693.0,2082.0,65435.5861,4505.0,32592.0,5425.0,97107.5861
CI,2020-06-30,1754.0,0.0,529.0,694.0,2977.0,69103.6137,4908.0,32256.0,8375.0,97892.6137
CI,2020-09-30,1388.0,0.0,406.0,702.0,2496.0,61394.6922,6609.0,29998.0,6668.0,91333.69219999999
CI,2020-12-31,4135.0,0.0,1236.0,713.0,6084.0,73856.2268,3526.0,30036.0,11500.0,95918.2268
CI,2021-03-31,1161.0,0.0,342.0,715.0,2218.0,83268.31,556.0,32048.0,7922.0,107950.31
CI,2021-06-30,1467.0,0.0,422.0,731.0,2620.0,80991.1724,1681.0,32055.0,5074.0,109653.1724
CI,2021-09-30,1621.0,0.0,424.0,734.0,2779.0,66333.024,2848.0,32069.0,4817.0,96433.024
CI,2021-12-31,1116.0,0.0,179.0,743.0,2038.0,74158.5492,2676.0,31561.0,6001.0,102394.5492
CI,2022-03-31,1197.0,314.0,355.0,717.0,2583.0,76316.2642,2302.0,31420.0,5142.0,104896.2642
CI,2022-06-30,1557.0,316.0,411.0,759.0,3043.0,83104.7213,2526.0,31375.0,5162.0,111843.7213
CI,2022-09-30,2757.0,317.0,713.0,726.0,4513.0,84784.8431,3621.0,28458.0,7849.0,109014.8431
CI,2022-12-31,1193.0,353.0,136.0,735.0,2417.0,98963.3058,3107.0,28446.0,6762.0,123754.3058
CI,2023-03-31,1267.0,345.0,295.0,749.0,2656.0,75700.507,3418.0,29124.0,8743.0,99499.507
CI,2023-06-30,1460.0,350.0,374.0,755.0,2939.0,83009.898,4618.0,28115.0,10353.0,105389.898
CI,2023-09-30,1408.0,353.0,391.0,766.0,2918.0,84037.0675,3046.0,28094.0,9328.0,105849.0675
CI,2023-12-31,1029.0,352.0,-919.0,765.0,1227.0,87590.3228,2880.0,28495.0,8565.0,110400.3228
CI,2024-03-31,-277.0,369.0,291.0,741.0,1124.0,103151.0447,1715.0,31053.0,9350.0,126569.0447
