tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
DGX,2006-03-31,144.636,24.487,100.666,0.0,269.789,10161.4527,291.889,1240.501,156.461,11537.3817
DGX,2006-06-30,131.977,24.268,106.828,98.62,361.693,11808.4943,291.935,1240.613,150.679,13190.363299999999
DGX,2006-09-30,160.522,24.094,103.413,49.388,337.417,12071.0269,316.913,1239.002,105.115,13521.826900000002
DGX,2006-12-31,149.286,23.605,96.674,49.39,318.955,10279.297,316.874,1239.105,149.64,11685.636
DGX,2007-03-31,105.893,28.09,69.61,50.335,253.92800000000003,9603.8649,767.041,1238.265,158.397,11450.773899999998
DGX,2007-06-30,141.332,40.683,91.853,54.898,328.766,9967.7786,367.103,3545.043,122.298,13757.626599999998
DGX,2007-09-30,97.965,61.263,97.4,64.024,320.65200000000004,11182.8855,292.382,3471.755,164.623,14782.3995
DGX,2007-12-31,-5.251,56.293,99.711,68.622,219.375,10264.716,163.581,3377.212,167.594,13637.915
DGX,2008-03-31,139.607,49.645,91.858,65.259,346.369,8818.2791,48.792,3378.715,170.022,12075.764099999999
DGX,2008-06-30,161.328,46.876,100.787,67.425,376.416,9455.5276,50.364,3209.298,143.398,12571.791599999999
DGX,2008-09-30,110.742,44.378,100.642,66.144,321.906,10106.032,49.919,3078.421,286.679,12947.693
DGX,2008-12-31,169.813,44.577,93.481,65.765,373.63599999999997,9882.3143,5.142,3078.089,253.946,12711.5993
DGX,2009-03-31,167.102,39.844,110.189,64.86,381.995,8799.7058,5.014,3077.171,204.221,11677.6698
DGX,2009-06-30,188.2,36.961,123.535,65.187,413.88300000000004,10478.1481,204.969,2877.767,119.294,13441.5901
DGX,2009-09-30,192.219,34.757,125.145,63.615,415.736,9644.2423,103.872,2877.734,247.033,12378.8153
DGX,2009-12-31,181.59,35.024,101.605,63.025,381.24399999999997,11067.2313,170.507,2936.792,534.256,13640.2743
DGX,2010-03-31,162.448,36.53,105.378,63.333,367.68899999999996,10484.3891,170.404,2944.789,463.239,13136.343100000002
DGX,2010-06-30,194.615,36.64,125.651,62.974,419.88,8818.0993,171.128,2973.839,447.888,11515.1783
DGX,2010-09-30,198.075,36.472,102.902,64.137,401.586,8598.4225,331.526,2835.937,369.261,11396.6245
DGX,2010-12-31,165.756,36.446,91.6,63.52,357.322,9213.5965,348.996,2641.16,449.301,11754.4515
DGX,2011-03-31,-53.861,35.88,49.226,63.365,94.61000000000001,9069.4859,629.238,3594.643,994.242,12299.124899999999
DGX,2011-06-30,163.143,46.53,105.762,72.719,388.154,9350.3292,994.675,3332.931,184.218,13493.7172
DGX,2011-09-30,171.848,44.06,101.126,73.347,390.381,7770.3006,835.91,3367.847,110.825,11863.2326
DGX,2011-12-31,189.437,43.779,92.886,71.671,397.77299999999997,9139.8052,654.395,3370.522,164.886,12999.8362
DGX,2012-03-31,159.118,42.761,102.562,72.174,376.615,9693.3757,554.356,3365.257,145.439,13467.5497
DGX,2012-06-30,177.705,42.371,113.726,71.855,405.65700000000004,9481.8705,444.497,3378.19,173.742,13130.8155
DGX,2012-09-30,163.082,41.451,103.978,71.271,379.782,10067.4193,154.649,3375.727,191.77,13406.025299999998
DGX,2012-12-31,55.816,41.105,81.631,71.296,249.848,9225.9474,9.404,3354.173,295.586,12293.9384
DGX,2013-03-31,135.779,40.486,73.337,70.218,319.82,8915.7565,254.42,3146.783,133.603,12183.3565
DGX,2013-06-30,165.468,40.579,94.491,71.796,372.334,9204.8466,374.764,3121.601,148.342,12552.8696
DGX,2013-09-30,405.143,40.657,245.874,68.969,760.643,8983.7717,244.703,3122.208,158.28,12192.402699999999
DGX,2013-12-31,142.61,40.278,86.298,72.017,341.20300000000003,7709.76,212.0,3120.0,187.0,10854.76
DGX,2014-03-31,104.0,40.0,65.0,75.0,284.0,8340.48,223.0,3724.0,144.0,12143.48
DGX,2014-06-30,133.0,42.0,87.0,81.0,343.0,8451.36,220.0,3738.0,144.0,12265.36
DGX,2014-09-30,129.0,42.0,82.0,79.0,332.0,8798.6,132.0,3732.0,170.0,12492.6
DGX,2014-12-31,190.0,43.0,28.0,79.0,340.0,9656.64,518.0,3244.0,192.0,13226.64
DGX,2015-03-31,61.0,40.0,42.0,78.0,221.0,11066.4,1043.0,3688.0,974.0,14823.4
DGX,2015-06-30,118.0,37.0,78.0,75.0,308.0,10442.88,168.0,3568.0,150.0,14028.88
DGX,2015-09-30,342.0,35.0,239.0,77.0,693.0,8851.68,160.0,3571.0,123.0,12459.68
DGX,2015-12-31,188.0,36.0,14.0,74.0,312.0,10173.02,159.0,3492.0,133.0,13691.02
DGX,2016-03-31,102.0,36.0,68.0,62.0,268.0,10074.45,158.0,3740.0,128.0,13844.45
DGX,2016-06-30,196.0,35.0,182.0,61.0,474.0,11315.99,7.0,3835.0,283.0,14874.99
DGX,2016-09-30,192.0,37.0,95.0,63.0,387.0,11763.57,7.0,3815.0,406.0,15179.57
DGX,2016-12-31,155.0,36.0,84.0,100.0,375.0,12590.3,6.0,3728.0,359.0,15965.3
DGX,2017-03-31,164.0,37.0,78.0,62.0,341.0,13452.03,6.0,3725.0,367.0,16816.03
DGX,2017-06-30,193.0,38.0,94.0,66.0,391.0,15117.76,5.0,3732.0,314.0,18540.760000000002
DGX,2017-09-30,161.0,39.0,92.0,69.0,361.0,12735.04,5.0,3759.0,350.0,16149.04
DGX,2017-12-31,254.0,39.0,-23.0,73.0,343.0,13296.15,36.0,3748.0,137.0,16943.15
DGX,2018-03-31,177.0,41.0,52.0,74.0,344.0,13640.8,141.0,3718.0,124.0,17375.8
DGX,2018-06-30,219.0,43.0,42.0,77.0,381.0,14951.84,305.0,3408.0,132.0,18532.84
DGX,2018-09-30,213.0,42.0,48.0,77.0,380.0,14675.76,304.0,3394.0,263.0,18110.760000000002
DGX,2018-12-31,127.0,43.0,40.0,81.0,291.0,11241.45,464.0,3429.0,135.0,14999.45
DGX,2019-03-31,164.0,45.0,50.0,84.0,343.0,12049.28,1253.0,3524.0,464.0,16362.279999999999
DGX,2019-06-30,226.0,46.0,63.0,81.0,416.0,13744.35,953.0,3582.0,273.0,18006.35
DGX,2019-09-30,215.0,45.0,62.0,82.0,404.0,14449.05,952.0,3593.0,434.0,18560.05
DGX,2019-12-31,253.0,44.0,72.0,82.0,451.0,14203.07,949.0,4379.0,1192.0,18339.07
DGX,2020-03-31,99.0,42.0,26.0,85.0,252.0,10760.2,148.0,4442.0,342.0,15008.2
DGX,2020-06-30,185.0,42.0,66.0,89.0,382.0,15270.64,701.0,4436.0,988.0,19419.64
DGX,2020-09-30,568.0,42.0,177.0,89.0,876.0,15456.15,703.0,4446.0,1605.0,19000.15
DGX,2020-12-31,579.0,40.0,191.0,98.0,908.0,15849.61,143.0,4512.0,1158.0,19346.61
DGX,2021-03-31,469.0,38.0,153.0,101.0,761.0,16812.54,148.0,4513.0,1230.0,20243.54
DGX,2021-06-30,631.0,38.0,177.0,100.0,946.0,16100.34,147.0,4500.0,560.0,20187.34
DGX,2021-09-30,505.0,38.0,153.0,101.0,797.0,17873.13,149.0,4501.0,987.0,21536.13
DGX,2021-12-31,390.0,38.0,114.0,106.0,648.0,20588.19,153.0,4504.0,916.0,24329.19
DGX,2022-03-31,355.0,37.0,110.0,106.0,608.0,16012.62,156.0,4507.0,740.0,19935.620000000003
DGX,2022-06-30,234.0,38.0,77.0,107.0,456.0,15558.66,157.0,4480.0,807.0,19388.66
DGX,2022-09-30,256.0,37.0,81.0,108.0,482.0,13986.66,155.0,4485.0,714.0,17912.66
DGX,2022-12-31,101.0,36.0,-4.0,116.0,249.0,17364.84,155.0,4467.0,315.0,21671.84
DGX,2023-03-31,202.0,37.0,65.0,107.0,411.0,15845.76,157.0,4465.0,175.0,20292.760000000002
DGX,2023-06-30,235.0,39.0,75.0,112.0,461.0,15742.72,674.0,4285.0,126.0,20575.72
DGX,2023-09-30,225.0,41.0,68.0,111.0,445.0,13648.32,461.0,4451.0,143.0,18417.32
DGX,2023-12-31,192.0,46.0,40.0,109.0,387.0,15304.68,456.0,4913.0,686.0,19987.68
DGX,2024-03-31,194.0,49.0,66.0,116.0,425.0,14775.21,1059.0,4293.0,474.0,19653.21
DGX,2024-06-30,229.0,47.0,74.0,117.0,467.0,15193.68,765.0,4323.0,271.0,20010.68
DGX,2024-09-30,226.0,58.0,65.0,125.0,474.0,17388.0,779.0,6191.0,764.0,23594.0
