tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
GILD,2006-03-31,262.704,3.724,134.743,11.243,412.414,28798.527,60.374,184.382,2539.621,26503.662
GILD,2006-06-30,265.15,5.207,133.562,12.59,416.50899999999996,26993.2882,60.249,1439.417,1487.583,27005.3712
GILD,2006-09-30,-52.164,6.081,141.459,11.684,107.06,31550.9195,60.115,1380.421,2853.948,30137.507500000003
GILD,2006-12-31,-1665.647,5.35,141.986,11.767,-1506.544,29940.7164,18.747,1380.939,936.851,30403.5514
GILD,2007-03-31,407.407,4.547,173.447,11.671,597.0720000000001,35684.0243,0.307,1300.0,925.736,36058.5953
GILD,2007-06-30,407.93,2.707,162.301,14.611,587.549,35911.9846,0.305,1300.0,876.424,36335.865600000005
GILD,2007-09-30,398.319,2.989,177.702,15.532,594.542,37962.7126,0.245,1300.0,766.765,38496.1926
GILD,2007-12-31,401.642,2.857,141.59,9.465,555.5540000000001,42903.5888,0.286,1300.621,1171.978,43032.517799999994
GILD,2008-03-31,488.3,16.001,188.32,10.709,703.3299999999999,47479.0721,0.216,1300.0,914.195,47865.0931
GILD,2008-06-30,434.783,16.428,170.49,13.072,634.773,48852.6761,1303.662,0.0,1347.721,48808.617099999996
GILD,2008-09-30,495.853,16.382,187.396,13.767,713.398,42013.5487,6.055,1299.854,1919.294,41400.1637
GILD,2008-12-31,559.963,16.433,156.157,14.174,746.727,46528.1437,5.631,1299.854,1790.062,46043.5667
GILD,2009-03-31,589.112,16.671,209.227,14.42,829.43,41988.5705,5.613,1111.866,2060.294,41045.7555
GILD,2009-06-30,571.398,18.484,186.355,27.908,804.1450000000001,42368.9346,405.622,1126.401,1244.268,42656.6896
GILD,2009-09-30,673.033,17.217,220.728,30.684,941.662,41934.444,205.613,1140.887,1355.312,41925.632000000005
GILD,2009-12-31,802.212,17.29,260.054,34.948,1114.5040000000001,38932.3123,5.587,1155.443,1656.975,38436.3673
GILD,2010-03-31,854.901,16.955,307.737,32.478,1212.0710000000001,41006.6193,7.088,1170.099,1652.188,40531.6183
GILD,2010-06-30,712.061,17.764,284.021,30.908,1044.754,29471.2016,1124.23,562.612,2000.925,29157.1186
GILD,2010-09-30,704.876,33.62,258.883,30.889,1028.2679999999998,29039.0291,632.386,2818.708,2307.531,30182.592099999998
GILD,2010-12-31,629.419,40.622,173.158,32.865,876.064,29064.4075,638.991,2838.573,2098.668,30443.3035
GILD,2011-03-31,651.141,41.216,227.282,35.685,955.3240000000001,33613.7309,647.238,3850.13,3011.299,35099.7999
GILD,2011-06-30,746.227,46.107,240.13,35.145,1067.609,32150.9311,0.0,3870.846,2270.318,33751.4591
GILD,2011-09-30,741.124,43.097,237.449,34.602,1056.2720000000002,29336.4472,0.0,3891.758,2257.135,30971.070199999995
GILD,2011-12-31,665.145,51.181,157.084,36.355,909.7650000000001,30824.6286,0.0,7605.734,9900.268,28530.0946
GILD,2012-03-31,441.956,89.937,231.3,35.51,798.703,37045.1634,1350.0,8077.246,1451.942,45020.467399999994
GILD,2012-06-30,711.564,88.418,263.525,36.127,1099.634,38775.5258,1972.763,7126.377,1707.544,46167.1218
GILD,2012-09-30,675.505,89.322,280.052,36.351,1081.23,50273.6959,1730.838,7040.382,1695.485,57349.4309
GILD,2012-12-31,762.541,85.906,263.504,38.159,1150.1100000000001,55791.2979,1169.433,7054.555,1862.25,62153.035899999995
GILD,2013-03-31,722.186,81.787,222.438,45.473,1071.884,74603.304,942.759,7054.796,1942.776,80658.08300000001
GILD,2013-06-30,772.605,78.008,307.981,47.718,1206.3120000000001,78386.1903,1488.17,5849.552,2287.37,83436.5423
GILD,2013-09-30,788.606,73.949,294.473,46.655,1203.683,96444.3404,1457.322,5856.093,2090.494,101667.26139999999
GILD,2013-12-31,791.411,73.15,326.041,106.098,1296.6999999999998,115234.4914,2696.97,3938.708,2131.562,119738.6074
GILD,2014-03-31,2227.41,76.269,725.882,224.01,3253.571,108957.3121,1871.738,7932.032,6469.03,112292.0521
GILD,2014-06-30,3655.593,102.004,656.621,228.469,4642.687,126524.2251,1572.079,7932.536,8799.068,127229.7721
GILD,2014-09-30,2731.274,103.366,646.557,241.99,3723.187,161121.9749,1477.019,7933.04,6316.326,164215.7079
GILD,2014-12-31,3486.723,130.361,767.94,248.531,4633.554999999999,141295.74,483.0,11921.0,10128.0,143571.74
GILD,2015-03-31,4333.0,153.0,907.0,243.0,5636.0,144938.01,442.0,11921.0,11294.0,146007.01
GILD,2015-06-30,4492.0,140.0,1014.0,245.0,5891.0,172458.84,352.0,11922.0,8611.0,176121.84
GILD,2015-09-30,4600.0,165.0,880.0,247.0,5892.0,142277.31,331.0,21894.0,15714.0,148788.31
GILD,2015-12-31,4683.0,230.0,752.0,252.0,5917.0,143892.18,983.0,21195.0,14607.0,151463.18
GILD,2016-03-31,3566.0,230.0,935.0,252.0,4983.0,123827.28,1745.0,21077.0,8319.0,138330.28
GILD,2016-06-30,3497.0,227.0,902.0,253.0,4879.0,111032.02,700.0,21427.0,8752.0,124407.02000000002
GILD,2016-09-30,3330.0,242.0,951.0,254.0,4777.0,104596.64,700.0,26371.0,12266.0,119401.64000000001
GILD,2016-12-31,3108.0,265.0,821.0,262.0,4456.0,93809.1,0.0,26346.0,11895.0,108260.1
GILD,2017-03-31,2702.0,261.0,918.0,259.0,4140.0,88771.44,0.0,26321.0,14708.0,100384.44
GILD,2017-06-30,3073.0,269.0,1046.0,264.0,4652.0,92438.68,0.0,26296.0,21610.0,97124.68
GILD,2017-09-30,2718.0,273.0,959.0,261.0,4211.0,105893.14,1747.0,27515.0,29070.0,106085.14000000001
GILD,2017-12-31,-3865.0,297.0,5962.0,361.0,2755.0,93705.12,2747.0,30795.0,26145.0,101102.12
GILD,2018-03-31,1538.0,290.0,494.0,357.0,2679.0,98007.0,2497.0,26557.0,23998.0,103063.0
GILD,2018-06-30,1817.0,266.0,267.0,356.0,2706.0,91808.64,2998.0,26062.0,25917.0,94951.64
GILD,2018-09-30,2097.0,264.0,565.0,358.0,3284.0,99909.74,2747.0,24570.0,28466.0,98760.74
GILD,2018-12-31,3.0,257.0,1013.0,358.0,1631.0,80189.1,2748.0,24574.0,30952.0,76559.1
GILD,2019-03-31,1975.0,254.0,382.0,359.0,2970.0,82822.74,2573.0,24509.0,29009.0,80895.74
GILD,2019-06-30,1880.0,248.0,535.0,348.0,3011.0,85598.52,2072.0,24565.0,28361.0,83874.52
GILD,2019-09-30,-1165.0,250.0,-333.0,347.0,-901.0,80239.08,2591.0,22709.0,23148.0,82391.08
GILD,2019-12-31,2696.0,243.0,-788.0,350.0,2501.0,82264.68,2598.0,22720.0,24671.0,82911.68
GILD,2020-03-31,1551.0,241.0,465.0,349.0,2606.0,93749.04,1999.0,22098.0,21024.0,96822.04
GILD,2020-06-30,-3339.0,240.0,373.0,350.0,-2376.0,96482.76,2999.0,21103.0,19365.0,101219.76
GILD,2020-09-30,360.0,236.0,472.0,354.0,1422.0,79177.07,1498.0,27792.0,24961.0,83506.07
GILD,2020-12-31,1551.0,267.0,270.0,427.0,2515.0,73058.04,2864.0,29253.0,8261.0,96914.04
GILD,2021-03-31,1729.0,257.0,542.0,473.0,3001.0,81046.02,2259.0,27907.0,6463.0,104749.02
GILD,2021-06-30,1522.0,256.0,300.0,519.0,2597.0,86350.44,2261.0,27914.0,6844.0,109681.44
GILD,2021-09-30,2592.0,250.0,852.0,523.0,4217.0,87661.75,2511.0,25175.0,6609.0,108738.75
GILD,2021-12-31,382.0,238.0,383.0,535.0,1538.0,91052.94,1617.0,25668.0,7405.0,110932.94
GILD,2022-03-31,19.0,238.0,-164.0,525.0,618.0,74609.75,1025.0,25183.0,6017.0,94800.75
GILD,2022-06-30,1144.0,242.0,368.0,525.0,2279.0,77509.74,1021.0,25195.0,6140.0,97585.74
GILD,2022-09-30,1789.0,229.0,646.0,525.0,3189.0,77359.26,2270.0,22953.0,6238.0,96344.26
GILD,2022-12-31,1640.0,226.0,398.0,528.0,2792.0,107054.95,2384.0,23424.0,6858.0,126004.95000000001
GILD,2023-03-31,1010.0,230.0,315.0,640.0,2195.0,103546.56,2283.0,22956.0,6266.0,122519.56
