tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
HCA,2006-03-31,379.0,186.0,239.0,345.0,1149.0,18685.159,704.0,10608.0,453.0,29544.159
HCA,2006-06-30,295.0,196.0,192.0,352.0,1035.0,17658.6197,659.0,11005.0,736.0,28586.6197
HCA,2006-09-30,240.0,200.0,119.0,348.0,907.0,20438.9352,831.0,10512.0,541.0,31240.9352
HCA,2006-12-31,122.0,373.0,76.0,346.0,917.0,0.0,293.0,28115.0,634.0,27774.0
HCA,2007-03-31,180.0,557.0,128.0,355.0,1220.0,0.0,286.0,27617.0,409.0,27494.0
HCA,2007-06-30,116.0,557.0,78.0,361.0,1112.0,0.0,304.0,27792.0,354.0,27742.0
HCA,2007-09-30,300.0,560.0,39.0,356.0,1255.0,0.0,299.0,27246.0,347.0,27198.0
HCA,2007-12-31,278.0,541.0,71.0,354.0,1244.0,0.0,308.0,27000.0,393.0,26915.0
HCA,2008-03-31,170.0,530.0,118.0,357.0,1175.0,0.0,330.0,27159.0,471.0,27018.0
HCA,2008-06-30,141.0,494.0,38.0,355.0,1028.0,0.0,341.0,27274.0,368.0,27247.0
HCA,2008-09-30,86.0,497.0,77.0,350.0,1010.0,0.0,368.0,26673.0,444.0,26597.0
HCA,2008-12-31,276.0,500.0,35.0,354.0,1165.0,0.0,404.0,26585.0,465.0,26524.0
HCA,2009-03-31,360.0,471.0,187.0,353.0,1371.0,0.0,416.0,26151.0,356.0,26211.0
HCA,2009-06-30,282.0,506.0,161.0,360.0,1309.0,0.0,194.0,26351.0,450.0,26095.0
HCA,2009-09-30,196.0,510.0,132.0,354.0,1192.0,0.0,635.0,25279.0,443.0,25471.0
HCA,2009-12-31,216.0,500.0,147.0,358.0,1221.0,0.0,846.0,24824.0,312.0,25358.0
HCA,2010-03-31,388.0,516.0,209.0,355.0,1468.0,0.0,981.0,25874.0,388.0,26467.0
HCA,2010-06-30,293.0,530.0,136.0,355.0,1314.0,0.0,1029.0,25769.0,350.0,26448.0
HCA,2010-09-30,243.0,525.0,143.0,352.0,1263.0,0.0,696.0,25383.0,377.0,25702.0
HCA,2010-12-31,283.0,526.0,170.0,359.0,1338.0,0.0,592.0,27633.0,411.0,27814.0
HCA,2011-03-31,240.0,533.0,183.0,358.0,1314.0,17463.8462,546.0,24820.0,553.0,42276.8462
HCA,2011-06-30,229.0,520.0,147.0,358.0,1254.0,17064.102,689.0,24631.0,539.0,41845.102
HCA,2011-09-30,61.0,519.0,-23.0,362.0,919.0,8799.5174,725.0,25871.0,359.0,35036.5174
HCA,2011-12-31,1935.0,465.0,412.0,387.0,3199.0,9637.6403,1407.0,25645.0,373.0,36316.6403
HCA,2012-03-31,540.0,442.0,324.0,417.0,1723.0,10844.878,1841.0,26061.0,471.0,38275.878
HCA,2012-06-30,391.0,448.0,214.0,420.0,1473.0,13403.9281,1309.0,25732.0,518.0,39926.9281
HCA,2012-09-30,360.0,446.0,222.0,417.0,1445.0,14675.9848,1751.0,25182.0,472.0,41136.9848
HCA,2012-12-31,314.0,462.0,128.0,425.0,1329.0,13371.344,1435.0,27495.0,705.0,41596.344
HCA,2013-03-31,344.0,472.0,201.0,424.0,1441.0,18115.1293,1438.0,27170.0,594.0,46129.1293
HCA,2013-06-30,423.0,462.0,269.0,425.0,1579.0,16121.236,1456.0,26744.0,462.0,43859.236000000004
HCA,2013-09-30,365.0,458.0,234.0,443.0,1500.0,19133.7458,988.0,27389.0,484.0,47026.745800000004
HCA,2013-12-31,424.0,456.0,246.0,461.0,1587.0,20973.5068,786.0,27590.0,414.0,48935.5068
HCA,2014-03-31,347.0,460.0,226.0,447.0,1480.0,23320.5525,1041.0,27883.0,850.0,51394.552500000005
HCA,2014-06-30,483.0,427.0,272.0,454.0,1636.0,24320.8097,1046.0,27942.0,658.0,52650.8097
HCA,2014-09-30,518.0,427.0,318.0,460.0,1723.0,30561.8871,1044.0,27426.0,515.0,58516.8871
HCA,2014-12-31,527.0,429.0,292.0,459.0,1707.0,30858.8804,338.0,29307.0,566.0,59937.880399999995
HCA,2015-03-31,591.0,419.0,358.0,473.0,1841.0,31534.8362,2037.0,27406.0,586.0,60391.836200000005
HCA,2015-06-30,507.0,425.0,319.0,469.0,1720.0,37771.1813,1374.0,28363.0,673.0,66835.1813
HCA,2015-09-30,449.0,411.0,270.0,482.0,1612.0,31921.6757,1377.0,28375.0,588.0,61085.6757
HCA,2015-12-31,582.0,410.0,314.0,480.0,1786.0,26966.7186,233.0,30255.0,791.0,56663.7186
HCA,2016-03-31,694.0,416.0,284.0,479.0,1873.0,30724.3825,226.0,30328.0,904.0,60374.3825
HCA,2016-06-30,658.0,427.0,341.0,489.0,1915.0,29268.5746,224.0,31228.0,817.0,59903.5746
HCA,2016-09-30,618.0,432.0,273.0,495.0,1818.0,28447.5438,216.0,31225.0,726.0,59162.5438
HCA,2016-12-31,920.0,432.0,480.0,503.0,2335.0,27427.0747,216.0,31160.0,695.0,58108.0747
HCA,2017-03-31,659.0,419.0,289.0,521.0,1888.0,32810.1681,212.0,31302.0,803.0,63521.1681
HCA,2017-06-30,657.0,411.0,365.0,521.0,1954.0,31644.444,213.0,31448.0,754.0,62551.444
HCA,2017-09-30,426.0,427.0,248.0,539.0,1640.0,28412.0382,202.0,32751.0,771.0,60594.038199999995
HCA,2017-12-31,474.0,433.0,736.0,550.0,2193.0,30752.0813,200.0,32858.0,786.0,63024.081300000005
HCA,2018-03-31,1144.0,431.0,257.0,553.0,2385.0,34045.836,1697.0,31594.0,1130.0,66206.83600000001
HCA,2018-06-30,820.0,436.0,272.0,562.0,2090.0,35577.576,1692.0,31500.0,913.0,67856.576
HCA,2018-09-30,759.0,442.0,173.0,582.0,1956.0,48008.3643,191.0,32916.0,624.0,80491.3643
HCA,2018-12-31,1064.0,446.0,244.0,581.0,2335.0,42673.2828,788.0,32033.0,549.0,74945.2828
HCA,2019-03-31,1039.0,461.0,279.0,619.0,2398.0,44724.3818,4106.0,32513.0,621.0,80722.3818
HCA,2019-06-30,783.0,477.0,271.0,636.0,2167.0,46162.8529,2412.0,35580.0,2543.0,81611.8529
HCA,2019-09-30,612.0,448.0,215.0,647.0,1922.0,40949.1823,492.0,35537.0,655.0,76323.1823
HCA,2019-12-31,1071.0,438.0,334.0,694.0,2537.0,50025.7033,495.0,35076.0,768.0,84828.7033
HCA,2020-03-31,581.0,428.0,112.0,674.0,1795.0,30334.0788,162.0,36196.0,844.0,65848.0788
HCA,2020-06-30,1079.0,388.0,344.0,691.0,2502.0,32802.3976,163.0,32310.0,4743.0,60532.3976
HCA,2020-09-30,668.0,385.0,209.0,694.0,1956.0,42188.0963,172.0,32427.0,6684.0,68103.0963
HCA,2020-12-31,1426.0,383.0,378.0,662.0,2849.0,55822.0,588.0,32468.0,1909.0,86969.0
HCA,2021-03-31,1423.0,384.0,393.0,697.0,2897.0,62851.8831,234.0,32568.0,1138.0,94515.8831
HCA,2021-06-30,1450.0,386.0,453.0,712.0,3001.0,66740.8405,253.0,34086.0,1235.0,99844.8405
HCA,2021-09-30,2269.0,398.0,685.0,716.0,4068.0,76093.2054,250.0,33791.0,1139.0,108995.2054
HCA,2021-12-31,1814.0,398.0,581.0,728.0,3521.0,78483.1508,629.0,36097.0,1554.0,113655.1508
HCA,2022-03-31,1273.0,408.0,349.0,732.0,2762.0,74930.6182,1486.0,38000.0,2476.0,111940.6182
HCA,2022-06-30,1155.0,434.0,381.0,738.0,2708.0,48233.8922,246.0,40453.0,972.0,87960.8922
