tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
HOLX,2006-03-31,11.164,0.0,6.25,2.625,20.039,2516.9859,0.0,0.0,108.285,2408.7009000000003
HOLX,2006-06-30,12.017,0.0,7.2,3.163,22.38,2253.6789,2.8,7.923,110.14,2154.2619
HOLX,2006-09-30,-1.474,0.0,9.0,7.598,15.123999999999999,2287.1936,57.921,6.163,29.923,2321.3546
HOLX,2006-12-31,16.086,0.994,9.85,8.229,35.159,2491.6087,41.283,5.848,37.309,2501.4307
HOLX,2007-03-31,21.634,0.701,12.65,7.416,42.400999999999996,3097.8618,1.83,7.022,54.501,3052.2128
HOLX,2007-06-30,24.748,0.366,15.79,7.62,48.523999999999994,2978.3329,2.536,7.064,93.8,2894.1328999999996
HOLX,2007-09-30,32.11,0.45,15.621,7.872,56.053000000000004,3357.623,1.977,9.222,100.403,3268.4190000000003
HOLX,2007-12-31,-358.608,31.66,6.405,36.563,-283.98,8734.7832,2.914,2033.674,189.329,10582.042200000002
HOLX,2008-03-31,55.986,19.339,31.498,45.291,152.11399999999998,7102.1216,2.419,1824.862,97.803,8831.599600000001
HOLX,2008-06-30,61.378,14.103,33.532,45.111,154.124,5579.5574,2.416,1734.883,119.863,7196.993399999999
HOLX,2008-09-30,-144.373,19.81,35.041,45.985,-43.53699999999999,4951.5535,40.78,2162.42,99.29,7055.4635
HOLX,2008-12-31,38.158,34.342,18.586,66.181,157.267,3349.096,36.836,2134.424,174.625,5345.731
HOLX,2009-03-31,-2310.119,33.212,11.728,68.243,-2196.936,3357.6766,33.951,2080.848,220.622,5251.8535999999995
HOLX,2009-06-30,30.751,34.155,13.316,68.862,147.084,3656.5928,25.355,1981.34,244.632,5418.6558
HOLX,2009-09-30,24.568,33.248,18.882,70.638,147.336,4211.2102,40.863,1864.955,294.102,5822.926200000001
HOLX,2009-12-31,26.095,31.804,14.998,73.991,146.888,3745.3355,31.226,1482.371,345.952,4912.980500000001
HOLX,2010-03-31,20.618,32.321,10.14,73.798,136.877,4802.4162,48.293,1410.531,432.187,5829.053199999999
HOLX,2010-06-30,27.448,31.453,18.299,74.536,151.736,3609.8202,1.346,1428.688,492.215,4547.6392
HOLX,2010-09-30,-136.974,29.329,-35.615,72.443,-70.817,4150.8967,3.962,1479.379,516.567,5117.670700000001
HOLX,2010-12-31,10.94,28.909,1.589,73.47,114.90799999999999,4893.9528,1.027,1434.132,608.972,5720.139800000001
HOLX,2011-03-31,82.445,28.185,46.382,75.735,232.747,5802.9246,0.689,1451.882,573.468,6682.0276
HOLX,2011-06-30,36.196,28.673,8.228,77.153,150.25,5287.0007,0.347,1470.11,614.358,6143.099699999999
HOLX,2011-09-30,27.569,29.079,14.037,78.378,149.063,3988.6704,2.6,1521.426,712.869,4799.8274
HOLX,2011-12-31,20.812,29.509,19.092,77.123,146.536,4608.5269,0.0,1507.533,793.61,5322.4499000000005
HOLX,2012-03-31,-40.273,28.512,-18.335,77.041,46.94499999999999,5698.8329,0.0,1527.027,855.097,6370.762900000001
HOLX,2012-06-30,23.594,25.593,31.413,76.939,157.539,4774.5746,0.0,1542.146,905.606,5411.1146
HOLX,2012-09-30,-77.767,56.673,-20.197,114.648,73.357,5366.7115,67.235,5004.435,566.126,9872.2555
HOLX,2012-12-31,3.118,72.081,-10.471,128.155,192.88299999999998,5345.7783,798.937,4237.085,720.565,9661.235299999998
HOLX,2013-03-31,-51.104,76.049,-22.644,126.276,128.577,6082.112,453.677,4551.019,752.175,10334.633000000002
HOLX,2013-06-30,-10.95,67.162,4.027,128.955,189.19400000000002,5210.5561,657.37,4347.3,964.385,9250.8411
HOLX,2013-09-30,-1113.902,65.783,8.965,108.957,-930.1970000000002,5613.0211,566.612,4275.592,829.404,9625.8211
HOLX,2013-12-31,-5.351,61.29,3.932,127.819,187.69,6110.5794,77.033,4224.732,448.637,9963.7074
HOLX,2014-03-31,-16.765,54.449,5.015,130.044,172.743,5939.074,89.497,4183.958,490.379,9722.149999999998
HOLX,2014-06-30,11.316,52.361,11.353,133.937,208.967,7033.3575,102.0,4168.5,638.4,10665.4575
HOLX,2014-09-30,28.1,52.5,10.5,131.3,222.4,6763.0588,117.5,4187.3,741.6,10326.2588
HOLX,2014-12-31,29.2,52.5,14.9,122.0,218.60000000000002,7472.9208,139.4,3815.4,549.1,10878.620799999999
HOLX,2015-03-31,47.9,49.4,13.1,126.6,237.0,9277.4821,581.7,3358.1,675.1,12542.1821
HOLX,2015-06-30,29.4,52.4,17.3,120.6,219.7,10713.3191,671.5,3270.8,888.8,13766.8191
HOLX,2015-09-30,25.1,51.2,0.3,122.2,198.8,11054.0294,394.9,3282.0,492.7,14238.229399999998
HOLX,2015-12-31,84.9,39.2,29.8,115.9,269.8,10970.0465,393.3,3239.1,650.3,13952.1465
HOLX,2016-03-31,68.9,39.1,23.0,114.0,245.0,9651.72,307.7,3098.0,316.3,12741.12
HOLX,2016-06-30,84.9,39.1,16.3,120.9,261.20000000000005,9586.6912,333.4,3088.8,441.5,12567.391199999998
HOLX,2016-09-30,92.1,37.9,15.4,114.6,260.0,10784.1006,299.1,3084.2,548.4,13619.000600000001
HOLX,2016-12-31,86.5,40.4,29.6,115.3,271.8,11142.3671,707.3,2615.6,646.0,13819.2671
HOLX,2017-03-31,526.8,37.5,440.8,95.1,1100.1999999999998,11901.5329,1051.0,2257.4,1139.8,14070.1329
HOLX,2017-06-30,59.5,39.2,15.0,118.3,232.0,12716.7466,1014.9,2230.8,588.4,15374.0466
HOLX,2017-09-30,82.7,36.1,-10.4,120.5,228.9,10100.5002,1155.3,2228.9,540.6,12944.100199999999
HOLX,2017-12-31,406.7,39.3,-310.9,121.2,256.3,11807.1225,573.7,2780.0,664.4,14496.4225
HOLX,2018-03-31,-681.4,36.3,-9.6,119.5,-535.2,10229.579,613.2,2761.0,614.2,12989.579
HOLX,2018-06-30,112.9,34.5,-7.6,120.5,260.3,10806.753,526.9,2743.3,575.4,13501.553000000002
HOLX,2018-09-30,50.5,34.3,20.8,119.1,224.7,11068.2062,603.0,2760.2,666.7,13764.7062
HOLX,2018-12-31,98.6,35.3,5.7,118.8,258.4,10987.0164,321.1,2828.4,311.1,13825.4164
HOLX,2019-03-31,-272.6,34.8,-81.1,117.6,-201.29999999999998,12972.9908,312.4,2819.8,401.0,15704.1908
HOLX,2019-06-30,93.9,35.1,20.5,113.3,262.8,12823.837,263.8,2811.2,427.9,15470.937
HOLX,2019-09-30,-123.5,34.8,0.8,113.3,25.39999999999999,13515.4157,274.8,2836.5,601.8,16024.915700000001
HOLX,2019-12-31,386.1,32.8,-288.4,94.3,224.80000000000007,13777.0182,326.2,2860.5,370.8,16592.918200000004
HOLX,2020-03-31,96.4,31.3,24.1,93.7,245.5,9062.8551,830.0,2836.4,799.8,11929.455100000001
HOLX,2020-06-30,137.7,27.4,32.2,93.7,291.0,14748.351,590.2,2817.5,744.2,17411.851
HOLX,2020-09-30,495.0,25.0,123.5,94.3,737.8,17115.8921,350.3,2796.9,701.0,19562.0921
HOLX,2020-12-31,654.4,22.3,179.0,92.8,948.4999999999999,18750.4477,76.9,2706.3,868.7,20664.9477
HOLX,2021-03-31,619.9,21.2,161.1,95.2,897.4000000000001,19056.5279,77.9,2695.7,816.4,21013.7279
HOLX,2021-06-30,268.4,21.6,69.5,101.1,460.6,16899.6422,463.7,2677.6,827.6,19213.3422
HOLX,2021-09-30,328.8,22.7,81.8,117.8,551.1,18722.1279,343.5,2801.1,1170.3,20696.4279
HOLX,2021-12-31,499.2,23.9,122.7,108.0,753.8000000000001,19285.2343,252.0,2840.9,1420.8,20957.334300000002
HOLX,2022-03-31,455.7,22.6,118.7,106.2,703.2,19155.2206,259.7,2833.4,2290.8,19957.520600000003
HOLX,2022-06-30,228.4,22.7,20.1,109.3,380.5,17289.2412,11.0,2833.5,2375.3,17758.4412
HOLX,2022-09-30,118.7,24.1,24.7,106.6,274.1,15944.9566,41.4,2880.2,2339.5,16527.0566
HOLX,2022-12-31,187.4,28.1,51.7,85.9,353.1,18444.0315,23.8,2823.9,2441.3,18850.431500000002
HOLX,2023-03-31,218.5,27.2,60.8,80.8,387.3,19861.077,29.1,2814.7,2582.2,20122.677
HOLX,2023-06-30,-40.5,27.7,52.6,81.2,121.0,19832.9537,34.7,2805.5,2765.0,19908.1537
HOLX,2023-09-30,90.6,28.1,55.0,75.5,249.2,16774.6046,310.5,2593.6,2722.5,16956.204599999997
HOLX,2023-12-31,246.5,26.0,-55.2,88.4,305.70000000000005,16758.1688,40.6,2537.4,1932.1,17404.0688
HOLX,2024-03-31,169.9,32.3,41.6,73.7,317.5,18193.993,40.6,2527.9,2180.0,18582.493
HOLX,2024-06-30,194.5,31.9,46.2,72.3,344.90000000000003,17230.158,40.7,2518.5,2439.1,17350.258
HOLX,2024-09-30,178.6,31.9,43.0,74.6,328.1,18876.3185,64.8,2593.2,2333.6,19200.718500000003
