tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
HUM,2006-03-31,83.715,13.439,47.493,34.906,179.553,8668.7172,575.818,601.225,4466.414,5379.346199999999
HUM,2006-06-30,89.489,16.887,50.833,36.596,193.805,8863.9368,571.765,784.399,5256.904,4963.196799999998
HUM,2006-09-30,159.198,17.009,90.176,37.677,304.06,10986.0085,281.244,970.144,4423.945,7813.451500000001
HUM,2006-12-31,155.021,15.806,86.16,39.419,296.40599999999995,9216.5265,293.605,1269.1,4932.577,5846.6545
HUM,2007-03-31,71.241,17.918,40.98,40.064,170.20299999999997,9749.5067,284.572,1329.334,7898.174,3465.238700000001
HUM,2007-06-30,216.846,16.066,122.744,54.264,409.92,10267.1723,289.646,1189.57,8390.37,3356.0182999999997
HUM,2007-09-30,302.378,15.947,176.124,42.25,536.699,11839.978,253.356,1292.858,6891.559,6494.632999999999
HUM,2007-12-31,243.219,18.947,115.768,48.234,426.16799999999995,12804.0556,269.226,1687.823,7012.819,7748.2856
HUM,2008-03-31,80.17,16.339,43.758,50.958,191.225,7590.8503,0.0,1601.335,6617.042,2575.1433000000006
HUM,2008-06-30,209.896,17.867,115.118,53.458,396.33899999999994,6716.8348,0.0,1635.098,6170.53,2181.402799999999
HUM,2008-09-30,183.008,19.348,99.852,56.126,358.33399999999995,6950.8932,0.0,1668.233,6013.895,2605.2312
HUM,2008-12-31,174.08,26.735,86.966,59.808,347.589,6293.796,0.0,1937.032,6576.36,1654.4679999999998
HUM,2009-03-31,205.717,26.772,88.045,58.014,378.548,4423.6635,0.0,1934.856,6681.6,-323.08050000000094
HUM,2009-06-30,281.78,26.574,158.17,60.478,527.002,5473.1348,0.0,1682.654,6438.652,717.1368000000002
HUM,2009-09-30,301.519,26.259,167.829,62.088,557.695,6334.7336,0.0,1680.424,7528.083,487.0745999999999
HUM,2009-12-31,250.659,26.238,148.041,69.694,494.632,7469.2002,0.0,1678.166,7923.236,1224.1302000000005
HUM,2010-03-31,258.768,26.314,158.158,62.756,505.996,7960.1137,0.0,1675.88,8640.839,995.1546999999991
HUM,2010-06-30,340.076,26.222,195.778,69.29,631.366,7728.8254,0.0,1673.565,8926.279,476.1113999999998
HUM,2010-09-30,393.221,26.143,229.069,64.557,712.99,8456.3466,0.0,1671.222,10097.168,30.40060000000085
HUM,2010-12-31,106.935,26.321,66.995,66.397,266.648,9220.953,0.0,1668.849,8595.54,2294.261999999999
HUM,2011-03-31,315.176,27.228,181.608,75.491,599.5029999999999,11777.4764,0.0,1666.447,9208.139,4235.7844000000005
HUM,2011-06-30,460.287,27.663,266.227,75.092,829.2689999999999,13436.4882,0.0,1664.015,9207.298,5893.2051999999985
HUM,2011-09-30,444.76,27.065,253.96,74.581,800.366,11891.6459,0.0,1661.552,11889.528,1663.669899999999
HUM,2011-12-31,198.777,27.044,114.205,77.836,417.862,14368.3904,0.0,1659.0,9120.0,6907.3904
HUM,2012-03-31,248.0,26.0,142.0,78.0,494.0,15090.7939,0.0,1621.0,11545.0,5166.793900000001
HUM,2012-06-30,356.0,26.0,208.0,82.0,672.0,12522.9773,0.0,1618.0,11751.0,2389.9773000000005
HUM,2012-09-30,426.0,26.0,249.0,78.0,779.0,11099.4136,0.0,1616.0,9421.0,3294.4136
HUM,2012-12-31,192.0,27.0,90.0,100.0,409.0,10866.3252,0.0,2611.0,9307.0,4170.325199999999
HUM,2013-03-31,473.0,35.0,257.0,102.0,867.0,10884.9632,0.0,2608.0,9539.0,3953.9632
HUM,2013-06-30,420.0,35.0,234.0,104.0,793.0,13202.3479,0.0,2606.0,9075.0,6733.347900000001
HUM,2013-09-30,368.0,35.0,218.0,106.0,727.0,14551.3603,0.0,2603.0,9517.0,7637.3603
HUM,2013-12-31,-30.0,35.0,-19.0,114.0,100.0,15898.9766,0.0,2600.0,9228.0,9270.976600000002
HUM,2014-03-31,368.0,35.0,318.0,107.0,828.0,17447.2525,0.0,2598.0,9910.0,10135.252499999999
HUM,2014-06-30,344.0,35.0,302.0,106.0,787.0,19701.4486,0.0,2595.0,9158.0,13138.4486
HUM,2014-09-30,290.0,38.0,261.0,112.0,701.0,19978.0172,512.0,3826.0,10793.0,13523.017199999998
HUM,2014-12-31,145.0,47.0,142.0,124.0,458.0,21487.6225,0.0,3825.0,9533.0,15779.622500000001
HUM,2015-03-31,430.0,46.0,314.0,114.0,904.0,26664.0136,0.0,3824.0,9546.0,20942.0136
HUM,2015-06-30,431.0,47.0,362.0,114.0,954.0,28336.9843,300.0,3823.0,9291.0,23168.9843
HUM,2015-09-30,314.0,47.0,334.0,107.0,802.0,26532.096,11.0,3822.0,9020.0,21345.096
HUM,2015-12-31,101.0,46.0,145.0,112.0,404.0,26470.8909,299.0,3821.0,9838.0,20752.8909
HUM,2016-03-31,254.0,47.0,246.0,115.0,662.0,27266.3192,300.0,3793.0,10539.0,20820.3192
HUM,2016-06-30,311.0,47.0,325.0,116.0,799.0,26814.172,300.0,3793.0,9846.0,21061.172
HUM,2016-09-30,450.0,47.0,452.0,117.0,1066.0,26374.4759,300.0,3792.0,14098.0,16368.475900000001
HUM,2016-12-31,-401.0,48.0,-85.0,117.0,-321.0,30462.6992,300.0,3792.0,11472.0,23082.699200000003
HUM,2017-03-31,1115.0,49.0,574.0,118.0,1856.0,29749.0941,470.0,4780.0,16630.0,18369.094100000002
HUM,2017-06-30,650.0,58.0,392.0,119.0,1219.0,34773.6805,701.0,4279.0,16254.0,23499.680500000002
HUM,2017-09-30,499.0,59.0,300.0,120.0,978.0,34804.9818,953.0,3977.0,18487.0,21247.9818
HUM,2017-12-31,184.0,59.0,306.0,128.0,677.0,34154.0295,150.0,4770.0,13599.0,25475.029499999997
HUM,2018-03-31,491.0,53.0,216.0,139.0,899.0,37013.0521,398.0,4772.0,18597.0,23586.0521
HUM,2018-06-30,193.0,53.0,-174.0,130.0,202.0,41002.4017,398.0,4773.0,17516.0,28657.401700000002
HUM,2018-09-30,644.0,53.0,266.0,131.0,1094.0,46440.5432,398.0,4774.0,13837.0,37775.5432
HUM,2018-12-31,355.0,59.0,83.0,122.0,619.0,38837.2342,1694.0,4375.0,12369.0,32537.2342
HUM,2019-03-31,566.0,62.0,183.0,136.0,947.0,35919.31,1840.0,4704.0,13753.0,28710.309999999998
HUM,2019-06-30,940.0,60.0,301.0,140.0,1441.0,35839.1117,1470.0,4701.0,14769.0,27241.1117
HUM,2019-09-30,689.0,62.0,200.0,159.0,1110.0,33857.3554,819.0,5689.0,15957.0,24408.3554
HUM,2019-12-31,512.0,58.0,79.0,140.0,789.0,48419.1246,815.0,5299.0,15026.0,39507.1246
HUM,2020-03-31,473.0,60.0,252.0,145.0,930.0,41515.3281,1898.0,6057.0,17158.0,32312.3281
HUM,2020-06-30,1828.0,76.0,783.0,150.0,2837.0,51296.6108,1724.0,6058.0,19999.0,39079.6108
HUM,2020-09-30,1340.0,75.0,450.0,161.0,2026.0,54774.6165,1724.0,6059.0,20726.0,41831.6165
HUM,2020-12-31,-274.0,72.0,-178.0,160.0,-220.0,52867.8025,729.0,6415.0,17227.0,42784.8025
HUM,2021-03-31,828.0,68.0,233.0,168.0,1297.0,54089.1195,1204.0,6062.0,17128.0,44227.1195
HUM,2021-06-30,588.0,79.0,183.0,170.0,1020.0,56891.7336,1109.0,6063.0,16849.0,47214.7336
HUM,2021-09-30,1531.0,88.0,120.0,181.0,1920.0,50019.0061,795.0,11466.0,18023.0,44257.0061
HUM,2021-12-31,-14.0,91.0,-51.0,194.0,220.0,59746.0957,2138.0,11087.0,16586.0,56385.095700000005
HUM,2022-03-31,930.0,90.0,286.0,205.0,1511.0,55045.9588,1690.0,11285.0,17956.0,50064.95879999999
HUM,2022-06-30,696.0,101.0,427.0,209.0,1433.0,59236.1308,1541.0,11290.0,18190.0,53877.1308
HUM,2022-09-30,1195.0,102.0,107.0,214.0,1618.0,61425.054,2799.0,7798.0,26682.0,45340.054000000004
HUM,2022-12-31,-15.0,108.0,-58.0,217.0,252.0,64010.9453,2244.0,9490.0,18942.0,56802.94529999999
HUM,2023-03-31,1239.0,113.0,359.0,218.0,1929.0,60655.7997,1867.0,9743.0,28667.0,43598.7997
HUM,2023-06-30,959.0,120.0,296.0,226.0,1601.0,55402.5369,2022.0,9722.0,31465.0,35681.53690000001
HUM,2023-09-30,832.0,114.0,256.0,235.0,1437.0,59895.9637,2245.0,9483.0,30293.0,41330.96369999999
HUM,2023-12-31,-541.0,146.0,-75.0,238.0,-232.0,55955.3694,1592.0,10657.0,21320.0,46884.369399999996
HUM,2024-03-31,741.0,159.0,251.0,242.0,1393.0,41780.1067,822.0,12390.0,22607.0,32385.106699999997
HUM,2024-06-30,679.0,168.0,223.0,243.0,1313.0,44988.2073,1149.0,11746.0,22925.0,34958.2073
HUM,2024-09-30,480.0,169.0,155.0,243.0,1047.0,38138.9801,1136.0,11886.0,24149.0,27011.9801
