tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
IQV,2011-03-31,32.742,0.0,0.0,0.0,32.742,0.0,0.0,0.0,0.0,0.0
IQV,2011-06-30,41.098,0.0,0.0,0.0,41.098,0.0,0.0,0.0,0.0,0.0
IQV,2011-09-30,42.981,0.0,0.0,0.0,42.981,0.0,0.0,0.0,0.0,0.0
IQV,2011-12-31,124.951,109.065,15.105,92.004,341.125,0.0,20.147,1951.708,519.297,1452.558
IQV,2012-03-31,43.273,29.345,24.251,23.271,120.14,0.0,0.0,0.0,0.0,0.0
IQV,2012-06-30,47.201,33.13,27.558,23.719,131.608,0.0,0.0,0.0,0.0,0.0
IQV,2012-09-30,52.098,33.513,21.542,25.727,132.88,0.0,0.0,0.0,0.0,0.0
IQV,2012-12-31,34.974,38.383,20.013,25.571,118.941,0.0,55.71,2366.268,570.55,1851.428
IQV,2013-03-31,48.309,36.042,32.118,24.64,141.10899999999998,0.0,34.741,2354.763,458.173,1931.331
IQV,2013-06-30,38.517,31.884,8.83,24.986,104.21700000000001,5486.8778,0.141,2045.142,588.043,6944.1178
IQV,2013-09-30,66.769,28.756,27.459,27.324,150.30800000000002,5786.3335,4.091,2042.029,613.027,7219.4265
IQV,2013-12-31,72.996,26.826,27.558,30.554,157.934,6008.0737,10.433,2035.586,780.855,7273.2377
IQV,2014-03-31,90.183,24.703,37.389,29.088,181.363,6602.5877,15.572,2031.247,744.754,7904.6527
IQV,2014-06-30,85.12,24.799,32.4,29.845,172.16400000000002,6774.0649,20.715,2026.909,639.764,8181.924900000001
IQV,2014-09-30,92.654,25.05,41.26,30.18,189.144,7122.8829,20.681,2022.595,648.553,8517.605899999999
IQV,2014-12-31,88.426,26.037,39.007,31.9,185.37,7307.4742,0.826,2292.491,870.24,8730.5512
IQV,2015-03-31,86.398,25.34,36.088,30.329,178.155,8367.9015,5.94,2288.229,781.809,9880.2615
IQV,2015-06-30,84.951,25.487,31.7,30.011,172.14899999999997,8905.1808,48.51,2440.972,806.761,10587.9018
IQV,2015-09-30,111.286,25.429,40.192,32.884,209.791,8562.5365,48.505,2430.034,1084.414,9956.661499999998
IQV,2015-12-31,104.57,25.536,51.009,34.518,215.633,8196.4935,48.513,2419.293,979.629,9684.6705
IQV,2016-03-31,106.668,25.959,42.577,32.0,207.204,7787.8479,48.517,2408.555,1093.489,9151.4309
IQV,2016-06-30,86.759,22.483,36.81,32.0,178.05200000000002,7738.3951,48.503,2397.834,996.96,9187.772099999998
IQV,2016-09-30,99.167,24.505,38.525,34.0,196.197,9678.1587,48.5,2387.114,1252.102,10861.670699999999
