tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
MOH,2006-03-31,8.59,0.414,5.15,4.762,18.916,934.9845,0.0,0.0,390.037,544.9475
MOH,2006-06-30,13.152,0.577,8.012,4.87,26.611,1065.2478,0.0,15.0,406.688,673.5598000000001
MOH,2006-09-30,12.341,0.645,7.472,5.633,26.090999999999998,992.5906,0.0,15.0,428.743,578.8476
MOH,2006-12-31,11.644,0.717,7.097,6.21,25.668000000000003,914.1487,0.0,45.0,485.131,474.0177
MOH,2007-03-31,9.592,1.125,5.878,6.443,23.037999999999997,862.6074,0.0,30.0,503.057,389.55039999999997
MOH,2007-06-30,13.314,0.725,8.245,6.749,29.032999999999998,863.2277,0.0,30.0,549.994,343.2337
MOH,2007-09-30,17.513,0.53,10.772,7.082,35.897000000000006,1028.1457,0.0,20.0,555.755,492.39070000000004
MOH,2007-12-31,17.911,2.251,10.471,7.693,38.326,1100.7828,0.0,200.0,701.919,598.8638
MOH,2008-03-31,12.475,3.368,8.608,8.152,32.603,695.4572,0.0,200.0,596.282,299.1751999999999
MOH,2008-06-30,15.823,3.425,11.01,8.33,38.588,668.206,0.0,200.0,621.692,246.514
MOH,2008-09-30,16.48,3.12,10.829,8.515,38.944,849.183,0.0,200.0,546.112,503.071
MOH,2008-12-31,14.82,3.318,9.329,8.691,36.158,470.6273,0.0,200.0,577.032,93.59529999999995
MOH,2009-03-31,12.211,3.415,7.535,9.052,32.213,494.3488,0.0,155.312,607.381,42.27980000000002
MOH,2009-06-30,14.565,3.223,1.7,9.584,29.072,610.6537,0.0,156.484,598.235,168.90269999999998
MOH,2009-09-30,8.564,3.279,3.246,9.832,24.921,528.6088,0.0,157.681,619.663,66.6268
MOH,2009-12-31,-4.472,3.86,-5.192,9.642,3.837999999999999,585.6321,0.0,158.9,644.345,100.18709999999999
MOH,2010-03-31,10.59,3.357,6.491,10.061,30.499,647.5738,0.0,160.143,614.192,193.52480000000003
MOH,2010-06-30,10.579,4.099,6.5,12.26,33.438,743.3568,0.0,266.409,636.197,373.5688
MOH,2010-09-30,16.173,4.6,9.18,13.918,43.870999999999995,815.2869,0.0,162.7,621.813,356.1738999999999
MOH,2010-12-31,17.628,3.453,12.351,16.21,49.642,844.1057,0.0,164.014,751.261,256.8587
MOH,2011-03-31,17.388,3.603,10.309,15.908,47.208000000000006,1222.08,0.0,165.354,801.306,586.1279999999999
MOH,2011-06-30,17.44,3.683,10.287,14.962,46.372,1249.2014,0.0,166.725,815.813,600.1133999999998
MOH,2011-09-30,18.95,4.38,10.236,16.267,49.833,705.4536,0.0,168.109,812.394,61.16860000000008
MOH,2011-12-31,-32.96,3.853,13.004,20.424,4.320999999999998,1023.049,1.197,216.929,830.743,410.4319999999999
MOH,2012-03-31,18.089,4.298,12.12,18.009,52.516,1558.6496,1.118,228.15,875.704,912.2136
MOH,2012-06-30,-37.306,3.808,-21.267,19.341,-35.424,1091.5234,1.13,269.338,1072.002,289.98940000000016
MOH,2012-09-30,3.364,4.315,-1.966,19.567,25.28,1171.2607,1.143,260.551,1072.375,360.5797
MOH,2012-12-31,25.643,4.348,21.626,19.686,71.303,1265.3797,1.155,261.784,1138.615,389.7036999999998
MOH,2013-03-31,29.915,13.037,24.445,21.068,88.46499999999999,1401.9611,1.167,642.005,1511.457,533.6760999999999
MOH,2013-06-30,24.571,11.667,15.481,21.38,73.099,1698.4939,0.0,761.491,1461.214,998.7709
MOH,2013-09-30,7.569,13.532,3.865,23.399,48.365,1628.9492,0.109,770.072,1591.707,807.4232
MOH,2013-12-31,-9.126,13.835,-7.475,25.103,22.337000000000003,1594.0173,182.008,602.854,1638.947,739.9323000000002
MOH,2014-03-31,4.498,13.822,5.655,32.265,56.24,1737.6383,183.713,615.578,1779.569,757.3602999999998
MOH,2014-06-30,7.811,13.993,10.702,31.932,64.438,2075.0272,185.451,625.266,1768.225,1117.5192000000002
MOH,2014-09-30,16.122,14.419,8.427,33.081,72.049,2042.2017,11.927,896.88,2441.279,509.7297000000003
MOH,2014-12-31,33.792,14.577,47.942,34.212,130.52300000000002,2661.8863,0.341,905.048,2558.525,1008.7503000000002
MOH,2015-03-31,28.153,14.876,39.223,29.0,111.252,3358.3093,440.632,471.984,3073.89,1197.0353
MOH,2015-06-30,38.943,14.946,61.783,29.0,144.672,3940.315,445.668,474.269,3480.504,1379.7480000000005
MOH,2015-09-30,46.299,15.269,51.329,29.0,141.897,3860.7638,450.78,476.471,3625.677,1162.3378000000007
MOH,2015-12-31,29.605,20.909,26.665,33.0,110.179,3367.28,449.0,1160.0,4130.0,846.2800000000007
MOH,2016-03-31,24.0,25.0,40.0,37.0,126.0,3675.93,455.0,1163.0,4226.0,1067.9300000000003
MOH,2016-06-30,33.0,25.0,47.0,39.0,144.0,2844.3,1.0,1626.0,4313.0,158.30000000000018
MOH,2016-09-30,42.0,26.0,50.0,42.0,160.0,3324.24,466.0,1169.0,4577.0,382.2399999999998
MOH,2016-12-31,-47.0,25.0,16.0,43.0,37.0,3092.82,472.0,1173.0,4577.0,160.8199999999997
MOH,2017-03-31,77.0,26.0,54.0,46.0,203.0,2599.2,1.0,1653.0,5254.0,-1000.8000000000002
MOH,2017-06-30,-230.0,27.0,-84.0,44.0,-243.0,3943.26,773.0,1215.0,5496.0,435.2600000000002
MOH,2017-09-30,-97.0,32.0,-16.0,39.0,-42.0,3919.32,782.0,1515.0,6047.0,169.3199999999997
MOH,2017-12-31,-262.0,33.0,-54.0,36.0,-247.0,4600.8,653.0,1516.0,5879.0,890.8000000000002
MOH,2018-03-31,107.0,33.0,72.0,34.0,246.0,5033.16,566.0,1516.0,6250.0,865.1599999999999
MOH,2018-06-30,202.0,32.0,103.0,33.0,370.0,6072.28,484.0,1217.0,5648.0,2125.2799999999997
MOH,2018-09-30,197.0,26.0,62.0,28.0,313.0,9219.4,296.0,1217.0,4626.0,6106.4
MOH,2018-12-31,201.0,24.0,55.0,23.0,303.0,7205.64,241.0,1217.0,4507.0,4156.639999999999
MOH,2019-03-31,198.0,23.0,62.0,25.0,308.0,8943.48,236.0,1417.0,4732.0,5864.48
MOH,2019-06-30,196.0,22.0,61.0,22.0,301.0,9017.82,101.0,1529.0,4323.0,6324.82
MOH,2019-09-30,175.0,22.0,58.0,21.0,276.0,6912.36,51.0,1521.0,4436.0,4048.3600000000006
MOH,2019-12-31,168.0,20.0,54.0,21.0,263.0,8412.78,51.0,1516.0,4398.0,5581.780000000001
MOH,2020-03-31,178.0,21.0,75.0,20.0,294.0,8242.89,26.0,1825.0,4375.0,5718.889999999999
MOH,2020-06-30,276.0,24.0,119.0,21.0,440.0,10500.82,0.0,2041.0,5209.0,7332.82
