tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
PODD,2006-03-31,-6.94,0.269,0.0,0.509,-6.162,0.0,0.0,0.0,0.0,0.0
PODD,2006-06-30,-8.713,0.268,0.0,0.637,-7.807999999999998,0.0,0.0,0.0,0.0,0.0
PODD,2006-09-30,-9.417,0.255,0.0,0.689,-8.472999999999999,0.0,0.0,0.0,0.0,0.0
PODD,2006-12-31,-10.88,1.046,0.0,0.586,-9.248000000000001,0.0,29.222,0.0,33.231,-4.009
PODD,2007-03-31,-11.56,0.982,0.0,0.846,-9.732000000000001,0.0,29.225,0.0,19.076,10.149000000000001
PODD,2007-06-30,-12.672,0.987,0.0,1.173,-10.512,373.6446,7.943,21.341,119.818,283.11060000000003
PODD,2007-09-30,-13.639,0.475,0.0,1.333,-11.831,574.809,10.671,18.673,104.213,499.94000000000005
PODD,2007-12-31,-15.668,0.716,0.0,1.329,-13.623,639.2195,10.671,16.006,94.588,571.3085000000001
PODD,2008-03-31,-19.874,0.575,0.0,1.358,-17.941,396.5184,10.67,13.338,73.035,347.4914
PODD,2008-06-30,-24.034,2.254,0.0,1.526,-20.253999999999998,435.7839,0.0,85.0,99.108,421.6759
PODD,2008-09-30,-21.666,2.313,0.0,1.781,-17.572000000000003,386.2522,0.0,85.0,74.134,397.1182
PODD,2008-12-31,-29.197,2.082,0.0,1.71,-25.404999999999998,214.4539,0.0,85.0,56.663,242.79089999999997
PODD,2009-03-31,-19.645,2.274,0.0,1.306,-16.064999999999998,114.1399,0.0,81.446,68.164,127.42189999999998
PODD,2009-06-30,-20.239,3.875,0.0,1.325,-15.039000000000001,214.907,0.0,83.079,52.362,245.624
PODD,2009-09-30,-16.922,3.464,0.0,1.37,-12.088000000000001,345.7605,0.0,87.534,72.694,360.60049999999995
PODD,2009-12-31,-15.538,3.613,0.0,1.221,-10.704,539.1414,0.0,89.136,127.996,500.28139999999996
PODD,2010-03-31,-14.491,3.785,0.0,1.438,-9.267999999999999,572.5146,0.0,90.925,118.338,545.1016
PODD,2010-06-30,-13.71,3.846,0.0,1.258,-8.606000000000002,603.8211,0.0,92.292,118.071,578.0421
PODD,2010-09-30,-12.1,3.871,0.0,1.25,-6.978999999999999,568.0179,0.0,94.179,103.918,558.2789
PODD,2010-12-31,-20.858,3.424,0.0,1.131,-16.303,704.3355,0.0,69.433,113.274,660.4945
PODD,2011-03-31,-9.848,2.612,0.0,1.163,-6.073,945.0146,0.0,70.857,104.488,911.3835999999999
