tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
TFX,2006-03-31,29.106,9.945,6.263,0.0,45.314,2883.5373,90.257,500.185,188.855,3285.1243
TFX,2006-06-30,36.639,10.93,-1.045,0.0,46.524,2160.5299,82.157,491.378,240.936,2493.1289
TFX,2006-09-30,35.966,9.21,19.011,0.0,64.187,2170.7946,59.323,486.001,202.425,2513.6935999999996
TFX,2006-12-31,37.719,11.115,8.69,0.0,57.524,2519.0021,31.022,487.37,248.409,2788.9851
TFX,2007-03-31,44.274,9.168,14.65,14.185,82.277,2667.6633,21.895,487.976,254.677,2922.8573
TFX,2007-06-30,93.861,9.509,9.166,14.931,127.467,3220.7417,25.867,486.085,444.668,3288.0257
TFX,2007-09-30,-57.036,9.891,104.358,13.82,71.033,3077.6062,80.562,455.878,497.724,3116.3222
TFX,2007-12-31,65.385,46.308,-5.407,28.878,135.16400000000002,2485.8075,185.129,1499.13,201.342,3968.7245
TFX,2008-03-31,22.943,31.083,11.662,0.0,65.688,1889.4114,182.688,1499.111,154.107,3417.1034
TFX,2008-06-30,34.943,31.367,14.063,0.0,80.373,2205.3109,172.491,1473.545,103.242,3748.1049
TFX,2008-09-30,42.319,28.983,13.718,0.0,85.02000000000001,2521.4419,89.915,1488.396,91.397,4008.3558999999996
TFX,2008-12-31,19.569,30.155,8.081,0.0,57.80500000000001,1988.1684,108.853,1437.538,107.275,3427.2844
TFX,2009-03-31,215.511,25.397,8.192,24.689,273.789,1553.7884,5.973,1299.662,143.051,2716.3723999999997
TFX,2009-06-30,6.47,21.999,5.448,24.409,58.326,1780.5579,5.736,1299.686,114.27,2971.7099000000003
TFX,2009-09-30,38.312,21.074,12.017,24.472,95.875,1919.2114,5.956,1248.584,158.789,3014.9624000000003
TFX,2009-12-31,42.701,20.993,9.416,24.258,97.368,2142.397,4.008,1192.491,188.305,3150.591
TFX,2010-03-31,37.672,18.92,13.923,0.0,70.515,2553.1254,41.46,1141.28,210.719,3525.1463999999996
TFX,2010-06-30,60.148,19.534,12.44,42.743,134.865,2167.2376,41.464,1128.2,287.129,3049.7726000000002
TFX,2010-09-30,22.196,20.047,-7.676,21.313,55.879999999999995,2268.0203,181.193,904.406,247.757,3105.8623000000002
TFX,2010-12-31,81.078,21.288,-0.685,20.775,122.45599999999999,2152.131,103.711,813.409,208.452,2860.799
TFX,2011-03-31,77.812,16.146,4.573,0.0,98.531,2331.2598,29.7,822.473,202.298,2981.1348
TFX,2011-06-30,34.07,15.785,8.436,41.701,99.992,2482.8828,29.7,949.866,365.809,3096.6397999999995
TFX,2011-09-30,43.651,19.177,10.125,20.74,93.693,2189.0842,29.7,952.322,371.699,2799.4071999999996
