tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
TMO,2006-03-31,46.906,7.795,20.447,37.32,112.46799999999999,6065.031,91.247,469.21,310.553,6314.935
TMO,2006-06-30,47.88,7.934,19.847,39.117,114.77799999999999,5709.8657,171.54,467.462,197.983,6150.8847000000005
TMO,2006-09-30,48.833,9.278,20.535,39.825,118.471,6204.7008,68.658,469.886,172.643,6570.6018
TMO,2006-12-31,25.316,26.923,-17.775,124.511,158.975,18868.0405,483.298,2180.705,691.196,20840.8475
TMO,2007-03-31,138.9,37.2,26.9,185.3,388.30000000000007,19725.2275,167.4,2182.4,691.4,21383.627500000002
TMO,2007-06-30,163.9,33.2,34.4,187.1,418.6,22062.7176,24.8,2177.7,973.9,23291.3176
TMO,2007-09-30,218.5,32.5,16.7,187.6,455.29999999999995,24246.0941,19.6,2181.1,846.2,25600.594099999995
TMO,2007-12-31,239.8,36.9,23.7,196.8,497.2,23950.9278,149.3,2045.9,639.2,25506.9278
TMO,2008-03-31,229.7,35.8,42.1,198.5,506.1,23770.9996,150.8,2045.9,748.1,25219.5996
TMO,2008-06-30,246.1,42.0,59.2,199.7,547.0,23351.6502,145.3,2044.5,1020.4,24521.050199999998
TMO,2008-09-30,218.1,39.7,43.7,199.7,501.2,23111.77,138.8,2043.0,1249.5,24044.07
TMO,2008-12-31,287.0,34.0,7.6,194.4,523.0,14240.1016,14.8,2043.5,1288.0,15010.4016
TMO,2009-03-31,148.9,30.2,18.3,190.3,387.70000000000005,14921.2247,15.6,2024.5,1570.1,15391.2247
TMO,2009-06-30,206.9,29.6,25.2,193.8,455.5,16640.357,16.3,2028.2,1426.7,17258.157
TMO,2009-09-30,221.2,29.2,25.7,194.5,470.59999999999997,17831.1161,70.1,1964.6,1756.3,18109.516099999997
TMO,2009-12-31,273.3,29.1,6.6,207.2,516.2,19520.0416,117.5,2065.9,1571.2,20132.2416
TMO,2010-03-31,232.3,22.3,35.1,192.1,481.80000000000007,21111.2846,148.8,1930.3,1440.2,21750.184599999997
TMO,2010-06-30,237.3,23.8,32.4,184.0,477.5,19984.4906,106.0,2032.8,1316.6,20806.6906
TMO,2010-09-30,268.5,19.1,28.5,181.3,497.40000000000003,19031.1988,104.4,2060.9,939.3,20257.198800000002
TMO,2010-12-31,297.5,19.5,12.7,183.8,513.5,21666.2432,105.8,2031.3,926.0,22877.3432
TMO,2011-03-31,252.2,27.8,52.0,182.6,514.6,21290.0375,2499.4,1800.8,2793.9,22796.337499999998
TMO,2011-06-30,523.4,38.9,37.7,200.9,800.9,24588.8025,18.5,4008.8,1363.7,27252.4025
TMO,2011-09-30,265.4,49.5,0.1,228.4,543.4,19156.0992,1018.6,6115.3,898.3,25391.6992
TMO,2011-12-31,288.9,59.1,19.6,244.6,612.2,16701.0935,1272.8,5755.2,1020.6,22708.4935
TMO,2012-03-31,277.3,57.7,30.3,241.9,607.2,20708.5995,924.2,5751.0,792.6,26591.199500000002
TMO,2012-06-30,233.8,57.4,26.0,240.7,557.9,18975.8043,786.2,5745.9,736.6,24771.304300000003
TMO,2012-09-30,290.4,60.3,-3.0,244.2,591.9,21191.4485,434.8,7037.5,836.5,27827.248499999998
TMO,2012-12-31,376.4,66.2,-42.3,253.7,654.0,22797.7783,93.1,7031.2,855.3,29066.7783
TMO,2013-03-31,336.2,64.4,2.1,249.7,652.4000000000001,27453.8673,394.0,6724.4,1008.3,33563.9673
TMO,2013-06-30,277.4,64.4,2.4,248.1,592.3,30510.3845,393.3,6721.1,1413.1,36211.6845
TMO,2013-09-30,317.6,64.3,1.3,250.3,633.5,33299.9691,393.6,6717.9,1928.8,38482.6691
TMO,2013-12-31,342.1,69.0,34.6,248.1,693.8000000000001,40304.3574,987.7,9499.6,5879.5,44912.1574
TMO,2014-03-31,543.1,117.8,231.3,366.1,1258.3000000000002,47968.3051,2165.7,15196.9,1522.7,63808.2051
TMO,2014-06-30,278.5,129.1,-42.0,433.4,799.0,47123.89,3075.1,12502.0,605.9,62095.09
TMO,2014-09-30,471.6,116.8,69.3,454.4,1112.1,48683.0425,3088.5,11388.6,543.6,62616.5425
TMO,2014-12-31,601.2,116.2,-66.9,427.5,1078.0,50174.8863,2212.4,12351.6,1352.0,63386.8863
TMO,2015-03-31,385.1,108.4,-3.1,414.2,904.5999999999999,53474.9774,4160.6,10696.2,873.0,67458.7774
TMO,2015-06-30,511.6,102.9,-8.0,417.0,1023.5,51707.8029,3359.8,10663.7,770.4,64960.90290000001
TMO,2015-09-30,476.1,100.6,-9.2,419.8,987.3,48801.7034,3034.0,10277.9,505.4,61608.2034
TMO,2015-12-31,602.6,103.0,-23.6,417.5,1099.5,56687.5155,1052.8,11473.9,454.1,68760.1155
TMO,2016-03-31,402.2,106.2,20.7,410.7,939.8,55717.3641,3383.0,11653.0,826.8,69926.5641
TMO,2016-06-30,516.6,118.8,4.3,430.9,1070.6,58256.3009,2515.9,11631.9,663.1,71741.0009
TMO,2016-09-30,473.5,113.3,-45.6,432.6,973.8,62832.6765,1972.1,16940.4,1970.0,79775.1765
TMO,2016-12-31,629.5,131.3,19.2,473.2,1253.2,55515.5128,1255.5,15372.4,806.2,71337.2128
TMO,2017-03-31,551.0,135.0,-48.0,465.0,1103.0,60091.392,1882.4,15188.4,733.5,76428.692
TMO,2017-06-30,612.0,134.0,13.0,475.0,1234.0,68064.2364,1540.4,15255.7,626.8,84233.53639999998
TMO,2017-09-30,534.0,157.0,-54.0,514.0,1151.0,75868.254,2762.3,19230.4,755.7,97105.254
TMO,2017-12-31,528.0,166.0,290.0,574.0,1558.0,76201.6922,2135.0,18873.0,1361.0,95848.6922
TMO,2018-03-31,579.0,163.0,55.0,575.0,1372.0,83063.6066,2814.0,18122.0,973.0,103026.6066
TMO,2018-06-30,752.0,170.0,54.0,571.0,1547.0,83435.1634,1711.0,17709.0,954.0,101901.1634
TMO,2018-09-30,709.0,162.0,101.0,563.0,1535.0,98260.7501,1014.0,17760.0,1109.0,115925.7501
TMO,2018-12-31,898.0,172.0,114.0,557.0,1741.0,89990.8824,1271.0,17719.0,2117.0,106863.8824
TMO,2019-03-31,815.0,189.0,2.0,555.0,1561.0,109482.7993,1492.0,17299.0,1129.0,127144.7993
TMO,2019-06-30,1119.0,181.0,274.0,571.0,2145.0,117611.7917,2534.0,17180.0,2312.0,135013.7917
TMO,2019-09-30,760.0,164.0,62.0,575.0,1561.0,116796.6486,819.0,16921.0,1304.0,133232.64860000001
TMO,2019-12-31,1002.0,142.0,36.0,576.0,1756.0,129538.6638,843.0,17647.0,2420.0,145608.66379999998
TMO,2020-03-31,788.0,126.0,40.0,574.0,1528.0,112008.1036,738.0,19231.0,3008.0,128969.1036
TMO,2020-06-30,1156.0,137.0,97.0,574.0,1964.0,143338.0806,675.0,20638.0,5836.0,158815.0806
TMO,2020-09-30,1933.0,144.0,319.0,575.0,2971.0,174989.8292,2.0,21091.0,7569.0,188513.8292
TMO,2020-12-31,2498.0,146.0,394.0,602.0,3640.0,184761.4184,2812.0,19733.0,10335.0,196971.4184
TMO,2021-03-31,2337.0,125.0,416.0,621.0,3499.0,179370.1186,4.0,18641.0,5602.0,192413.1186
TMO,2021-06-30,1828.0,122.0,219.0,660.0,2829.0,198468.0829,4.0,18773.0,7034.0,210211.0829
TMO,2021-09-30,1902.0,128.0,271.0,628.0,2929.0,225131.4438,19.0,21688.0,12047.0,234791.4438
TMO,2021-12-31,1658.0,161.0,203.0,683.0,2705.0,263182.8094,2803.0,33536.0,4490.0,295031.8094
TMO,2022-03-31,2215.0,136.0,301.0,859.0,3511.0,231217.0303,1866.0,31389.0,2778.0,261694.03029999998
TMO,2022-06-30,1664.0,148.0,198.0,836.0,2846.0,212851.1279,1010.0,29250.0,1904.0,241207.1279
TMO,2022-09-30,1495.0,173.0,31.0,838.0,2537.0,198917.8892,1010.0,28150.0,2933.0,225144.8892
TMO,2022-12-31,1576.0,269.0,173.0,848.0,2866.0,215050.5026,5851.0,30222.0,8536.0,242587.5026
TMO,2023-03-31,1289.0,300.0,46.0,859.0,2494.0,222318.0128,6122.0,29135.0,3493.0,254082.0128
TMO,2023-06-30,1361.0,326.0,52.0,855.0,2594.0,201369.4125,4814.0,29194.0,3146.0,232231.4125
TMO,2023-09-30,1715.0,359.0,53.0,853.0,2980.0,195569.9152,4795.0,30489.0,6161.0,224692.9152
