tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
WAT,2006-03-31,44.155,11.428,9.172,6.074,70.829,4473.9215,338.176,500.0,481.223,4830.874500000001
WAT,2006-06-30,47.78,12.477,8.863,6.711,75.831,4545.672,362.345,500.0,489.556,4918.461
WAT,2006-09-30,50.376,13.565,8.669,7.31,79.92,4587.2715,385.893,500.0,511.567,4961.5975
WAT,2006-12-31,79.889,14.187,14.055,5.801,113.932,4964.1379,403.461,500.0,514.166,5353.4329
WAT,2007-03-31,55.937,13.188,10.019,6.57,85.714,5847.502,371.504,500.0,503.686,6215.320000000001
WAT,2007-06-30,59.909,13.335,10.635,6.657,90.536,5924.6029,389.418,500.0,544.304,6269.716899999999
WAT,2007-09-30,53.283,14.783,9.227,7.281,84.57400000000001,6705.384,410.515,500.0,626.465,6989.434
WAT,2007-12-31,98.943,15.209,25.239,6.959,146.35,7984.0933,384.176,500.0,693.014,8175.2553
WAT,2008-03-31,68.475,11.157,15.647,7.114,102.393,5574.456,279.301,650.0,758.528,5745.229
WAT,2008-06-30,83.148,9.807,-0.979,8.497,100.473,6381.243,334.02,650.0,830.681,6534.582
WAT,2008-09-30,71.503,10.57,21.987,6.441,110.501,5717.8722,377.488,650.0,892.6,5852.7602
WAT,2008-12-31,99.353,6.987,13.058,7.019,126.417,3587.7052,36.12,500.0,428.522,3695.3031999999994
WAT,2009-03-31,73.347,3.13,9.922,8.363,94.76199999999999,3560.3912,88.059,500.0,431.272,3717.1782000000003
WAT,2009-06-30,69.907,2.649,14.734,7.933,95.22299999999998,4914.2527,130.757,500.0,505.681,5039.3287
WAT,2009-09-30,75.936,2.864,18.097,7.486,104.38300000000002,5288.0428,144.65,500.0,578.148,5354.5448
WAT,2009-12-31,104.123,2.343,20.586,8.023,135.07500000000002,5831.5513,131.772,500.0,630.257,5833.0663
WAT,2010-03-31,75.518,2.614,14.554,8.441,101.12700000000001,6270.8188,12.382,700.0,692.18,6291.020799999999
WAT,2010-06-30,84.922,3.621,17.489,8.677,114.709,5953.8234,56.858,700.0,754.473,5956.2084
WAT,2010-09-30,94.719,3.81,5.802,8.779,113.10999999999999,6455.8438,92.243,700.0,837.098,6410.9888
WAT,2010-12-31,126.604,3.879,18.255,8.524,157.262,7137.5081,66.055,700.0,946.419,6957.1441
WAT,2011-03-31,94.489,4.083,18.036,8.64,125.248,7954.1308,390.346,400.0,1039.049,7705.4278
WAT,2011-06-30,100.075,5.052,16.253,5.123,126.50300000000001,8747.6681,136.176,700.0,1121.677,8462.1671
WAT,2011-09-30,101.257,6.159,20.461,13.504,141.381,6762.6962,271.578,700.0,1194.217,6540.057199999999
WAT,2011-12-31,137.147,6.677,21.534,9.264,174.62199999999999,6590.1538,290.832,700.0,1281.351,6299.6348
WAT,2012-03-31,88.666,6.491,15.829,14.569,125.55499999999999,8231.4511,323.616,700.0,1353.553,7901.5141
WAT,2012-06-30,97.724,6.878,16.552,16.034,137.188,6966.5786,401.354,700.0,1392.137,6675.7956
WAT,2012-09-30,99.109,7.107,16.713,20.622,143.551,7243.5436,447.703,700.0,1448.441,6942.805600000001
