tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
COR,2006-03-31,129.001,16.086,67.816,20.149,233.052,10111.9858,3.043,1077.533,1835.67,9356.8918,,
COR,2006-06-30,119.468,16.412,69.873,22.027,227.77999999999997,8435.6454,2.545,1082.212,1658.34,7862.062399999999,-2.262156085337186,-15.97570466722722
COR,2006-09-30,121.978,17.541,73.594,22.746,235.859,8875.0652,1.56,1093.931,1329.108,8641.448199999999,3.546843445429815,9.913248717028743
COR,2006-12-31,122.187,18.6,78.463,22.8,242.05,8516.8627,1.155,1210.938,1244.042,8484.913700000001,2.624873335340183,-1.811438272580257
COR,2007-03-31,129.496,19.876,72.82,18.853,241.045,10044.1275,0.833,1199.138,1608.837,9635.2615,-0.4152034703573726,13.55756629557705
COR,2007-06-30,129.908,19.184,67.147,22.595,238.83399999999995,8944.4234,0.621,1212.935,1441.209,8716.770399999998,-0.9172561140036284,-9.532601683929421
COR,2007-09-30,87.576,17.001,60.256,20.427,185.26,7682.3471,0.476,1227.298,1107.623,7802.498100000001,-22.43147960508134,-10.488658735349931
COR,2007-12-31,109.82,20.235,67.083,20.626,217.764,7292.8557,1.487,1250.284,524.139,8020.487700000001,17.545071790996445,2.7938436793723875
COR,2008-03-31,133.852,20.346,84.464,21.367,260.029,6606.7546,1.616,1223.768,591.36,7240.778600000001,19.408625851839602,-9.721467436450283
COR,2008-06-30,-108.02,18.067,68.026,21.557,-0.3700000000000081,6353.1313,1.872,1231.199,583.086,7003.116300000001,-100.14229182129685,-3.2822754724194936
COR,2008-09-30,114.907,16.451,72.701,18.531,222.59,5881.4948,1.719,1187.412,878.114,6192.5118,-60259.45945945814,-11.574911300559155
COR,2008-12-31,111.056,16.363,70.743,21.669,219.831,5466.8206,1.31,1185.339,470.917,6182.5526,-1.2394986297677435,-0.1608265001610487
COR,2009-03-31,143.387,15.899,89.199,22.145,270.63,4930.6475,0.695,1159.351,655.329,5435.3645,23.108205849038587,-12.085430538836018
COR,2009-06-30,118.807,15.684,73.015,22.456,229.962,5269.9863,0.71,1190.225,912.924,5547.9973,-15.027158851568567,2.0722216513722413
COR,2009-09-30,130.147,15.556,79.265,23.762,248.73,6443.6944,1.068,1176.933,1009.368,6612.3274,8.161348396691626,19.184041419775035
COR,2009-12-31,151.307,18.942,93.531,23.959,287.739,7399.3178,0.593,1375.256,979.567,7795.599799999999,15.683271016765165,17.894945734235712
COR,2010-03-31,181.008,21.298,110.672,23.873,336.851,8143.2647,0.503,1358.505,1199.872,8302.4007,17.06824587560256,6.501114898176286
COR,2010-06-30,163.205,20.615,100.26,24.82,308.90000000000003,8927.5603,0.489,1359.681,1310.716,8977.014299999999,-8.297734012961211,8.125524464267286
COR,2010-09-30,141.228,20.55,86.558,26.558,274.894,8508.7939,0.422,1343.158,1658.182,8194.1919,-11.008740692780838,-8.720298017125794
COR,2010-12-31,160.5,20.738,98.789,28.646,308.673,9338.7464,115.379,1287.41,1400.895,9340.6404,12.288009196272021,13.990989154159305
COR,2011-03-31,214.381,20.625,131.954,29.127,396.0870000000001,10824.4863,0.278,1342.581,1912.436,10254.9093,28.31928934503507,9.788075130266227
COR,2011-06-30,184.419,20.455,114.073,30.87,349.817,11262.87,0.175,1361.889,2000.453,10624.481,-11.681776983339542,3.603851474337283
COR,2011-09-30,147.324,20.484,79.201,32.59,279.59900000000005,9727.1346,392.089,972.863,1825.99,9266.0966,-20.072780911162113,-12.785418883049427
COR,2011-12-31,162.116,22.49,99.526,29.115,313.247,9609.6357,447.081,1481.939,2370.335,9168.3207,12.034377805356943,-1.0552005253215313
COR,2012-03-31,212.105,24.045,134.673,31.233,402.056,10130.0762,392.164,1489.971,2327.094,9685.1172,28.35110950783246,5.6367629025018795
COR,2012-06-30,181.271,24.316,115.223,35.533,356.343,9884.5626,392.246,1483.726,1655.748,10104.7866,-11.36980918081063,4.3331370321465945
COR,2012-09-30,163.494,0.0,113.542,40.849,317.885,9112.1017,0.0,1446.77,1066.608,9492.2637,-10.792410682965581,-6.061710397723785
COR,2012-12-31,168.611,18.737,106.317,38.684,332.34899999999993,9927.9456,0.0,1396.107,417.404,10906.6486,4.550073139657407,14.900396203700073
COR,2013-03-31,45.634,18.647,126.721,39.868,230.87,11879.0847,0.0,1396.272,1347.297,11928.0597,-30.533866507797512,9.365031711024407
COR,2013-06-30,168.439,18.547,51.821,41.138,279.945,12885.2849,0.0,1396.439,1567.585,12714.138900000002,21.25655130592974,6.590168223252624
COR,2013-09-30,51.023,19.117,46.164,42.496,158.8,14052.6334,0.0,1396.606,1231.006,14218.2334,-43.27457179088749,11.830093345920556
COR,2013-12-31,41.385,19.043,92.45,43.95,196.82799999999995,16205.9628,423.0,1396.776,347.465,17678.273800000003,23.947103274559154,24.33523422115158
COR,2014-03-31,180.077,19.578,105.36,44.494,349.509,14923.0368,0.0,1396.948,696.73,15623.2548,77.57077245107409,-11.624545604673242
COR,2014-06-30,-12.78,21.125,71.112,47.334,126.791,16296.6934,0.0,1995.482,1261.864,17030.3114,-63.72310870392466,9.006168164139506
COR,2014-09-30,67.802,17.957,120.476,49.512,255.747,17153.5657,0.0,1995.632,1808.513,17340.6847,101.70753444645126,1.822475776925625
COR,2014-12-31,-199.947,17.891,92.894,50.042,-39.120000000000005,19775.7846,0.0,1995.885,2298.756,19472.913599999996,-115.2963671128107,12.296105585726934
COR,2015-03-31,-513.39,23.374,114.79,55.424,-319.80199999999996,25133.5737,64.205,3942.517,2336.979,26803.316700000003,717.4897750511245,37.644100161775526
COR,2015-06-30,214.163,30.654,90.143,68.581,403.54100000000005,23024.5241,7.37,3742.781,2555.183,24219.492099999996,-226.1846392455332,-9.63994355220974
COR,2015-09-30,364.287,30.067,111.209,70.379,575.942,19652.6711,0.0,3493.048,2218.242,20927.477099999996,42.72205302559093,-13.592419636248277
COR,2015-12-31,329.639,34.449,-541.206,87.288,-89.83,21397.0324,108.412,4393.317,978.09,24920.6714,-115.59705664806526,19.08110701026644
COR,2016-03-31,603.45,36.712,311.822,97.493,1049.477,19387.2866,119.553,4368.586,2525.287,21350.1386,-1268.2923299565848,-14.327594721224092
COR,2016-06-30,349.155,36.678,146.477,99.177,631.487,17025.8,613.18,3794.036,1865.202,19567.814,-39.828409769818684,-8.348070396133167
COR,2016-09-30,145.685,36.51,45.888,101.073,329.156,17775.7198,611.149,3870.244,2767.932,19489.1808,-47.87604495421125,-0.40184969051729746
COR,2016-12-31,247.246,37.987,115.892,103.406,504.531,16966.0572,607.98,3871.584,1791.134,19654.487199999996,53.28020756115641,0.8481957332962864
COR,2017-03-31,411.473,37.885,181.442,103.922,734.722,19320.8775,615.847,3839.598,2404.433,21371.8895,45.62474852883172,8.737965445366624
COR,2017-06-30,50.352,37.017,83.023,105.722,276.114,20705.4731,4.119,3781.793,1311.467,23179.9181,-62.41925517406584,8.459844413850238
COR,2017-09-30,-344.587,36.153,173.046,109.873,-25.514999999999972,18039.0035,12.121,3781.569,2435.115,19397.578499999996,-109.24074838653598,-16.31731218239293
COR,2017-12-31,861.853,37.383,-502.834,109.705,506.107,20062.7618,20.061,4617.259,3037.747,21662.3348,-2083.566529492458,11.675458872353595
COR,2018-03-31,287.455,49.984,79.172,119.381,535.992,18944.1302,252.894,4640.021,2091.359,21745.6862,5.904877822278665,0.3847756983240691
COR,2018-06-30,275.809,52.845,67.327,138.919,534.9,18494.7219,195.592,4569.762,2388.928,20871.1479,-0.20373438409527767,-4.021663386276586
COR,2018-09-30,233.288,49.428,-82.134,131.634,332.216,19662.8717,151.657,4510.828,2492.516,21832.8407,-37.89194241914377,4.607761895070461
