tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
CVS,2006-03-31,329.6,23.5,209.8,155.4,718.3000000000001,24428.4626,553.0,1592.2,387.1,26186.5626,,
CVS,2006-06-30,337.9,43.7,218.7,183.1,783.4,25156.1633,4509.3,1780.2,532.3,30913.3633,9.063065571488217,18.050481738294287
CVS,2006-09-30,284.2,79.5,177.4,193.4,734.5,26443.6572,3206.6,3279.9,394.6,32535.557200000003,-6.242021955578247,5.247549042973265
CVS,2006-12-31,417.2,85.0,251.0,201.4,954.6,25523.5307,2187.0,2870.4,530.7,30050.2307,29.96596324029952,-7.638801096051317
CVS,2007-03-31,408.9,71.6,263.7,208.8,953.0,52303.709,3915.4,2895.4,738.2,58376.30900000001,-0.16760946993504833,94.26243206845
CVS,2007-06-30,723.6,113.8,480.3,308.0,1625.7,53577.126,1000.5,8395.6,935.8,62037.42599999999,70.58761804826862,6.271580137072363
CVS,2007-09-30,689.5,135.5,454.1,301.7,1580.8,58525.0292,765.2,8395.0,754.6,66930.6292,-2.7618871870578876,7.887501973405553
CVS,2007-12-31,815.0,147.4,523.6,276.1,1762.1,56732.5118,2132.2,8349.7,1084.1,66130.3118,11.468876518218618,-1.1957416351316752
CVS,2008-03-31,748.5,137.2,490.7,299.3,1675.7,57884.5365,1389.2,8349.0,818.2,66804.5365,-4.903240451733715,1.0195395751937175
CVS,2008-06-30,774.8,118.5,539.9,310.0,1743.1999999999998,56737.0488,1027.3,8348.3,615.7,65496.9488,4.028167333054822,-1.9573336909537664
CVS,2008-09-30,736.0,117.0,534.7,310.9,1698.6,48334.4136,1679.4,8047.5,1282.3,56779.0136,-2.558513079394209,-13.310444776016805
CVS,2008-12-31,952.8,157.1,627.3,354.0,2091.2,41301.2481,3697.4,8057.2,1352.4,51703.448099999994,23.11315200753561,-8.939157583392754
CVS,2009-03-31,738.4,144.0,491.6,353.9,1727.9,40016.1484,2071.3,9056.3,997.4,50146.348399999995,-17.37280030604437,-3.011597402533772
CVS,2009-06-30,886.5,129.1,582.8,382.3,1980.7,46459.5761,3731.6,7305.2,1225.3,56271.07609999999,14.630476300711837,12.213706272578762
CVS,2009-09-30,1021.3,123.9,420.0,300.3,1865.5,50706.5896,3203.9,8756.2,1135.3,61531.389599999995,-5.816125612157319,9.348165815510324
CVS,2009-12-31,1049.8,133.0,710.6,352.5,2245.9,44804.11,2419.0,8756.0,1091.0,54888.11,20.391316001072113,-10.796570081037139
CVS,2010-03-31,771.0,129.0,510.0,358.0,1768.0,50123.76,2919.0,8454.0,1051.0,60445.76,-21.2787746560399,10.125416961888467
CVS,2010-06-30,821.0,135.0,539.0,368.0,1863.0,39757.92,2507.0,9454.0,1111.0,50607.92,5.373303167420818,-16.27548400417168
CVS,2010-09-30,809.0,138.0,526.0,370.0,1843.0,42736.26,2488.0,8653.0,983.0,52894.26,-1.0735373054213682,4.517751371722056
CVS,2010-12-31,1026.0,137.0,604.0,373.0,2140.0,47391.51,1405.0,8652.0,1431.0,56017.51,16.115029842647854,5.904704971768204
