tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
DVA,2006-03-31,57.469,70.459,37.71,41.891,207.529,6219.4522,5.237,4039.333,279.146,9984.8762,,
DVA,2006-06-30,63.237,68.436,41.96,41.717,215.35,5148.0254,5.008,3939.047,339.319,8752.761400000001,3.7686299264199308,-12.33981048257763
DVA,2006-09-30,94.856,67.904,59.37,44.478,266.608,6015.7601,6.64,3818.111,260.278,9580.2331,23.802182493615053,9.453835906003306
DVA,2006-12-31,74.129,69.907,47.39,45.209,236.635,5951.6957,20.871,3730.38,310.202,9392.7447,-11.242348316629657,-1.957033801192165
DVA,2007-03-31,76.582,65.433,51.06,45.79,238.865,5609.264,34.133,3721.373,362.199,9002.571,0.9423796141737384,-4.153990260163242
DVA,2007-06-30,125.024,63.916,80.94,47.058,316.938,5692.2604,9.564,3698.403,418.849,8981.3784,32.68498942917546,-0.2354060856615381
DVA,2007-09-30,94.455,63.744,61.52,49.23,268.949,6738.6524,9.711,3695.586,413.477,10030.4724,-15.141447223116188,11.680768288306398
DVA,2007-12-31,85.717,63.561,52.224,51.392,252.894,6036.7755,23.431,3683.887,487.324,9256.7695,-5.96953325723465,-7.713524041001296
DVA,2008-03-31,86.934,59.814,55.57,52.811,255.129,5101.0546,35.626,3669.809,525.175,8281.314600000002,0.883769484448016,-10.537746456795738
DVA,2008-06-30,94.951,56.546,58.273,52.892,262.662,5537.3149,52.195,3657.118,378.124,8868.5039,2.952623966699197,7.0905324620803345
DVA,2008-09-30,93.91,55.894,62.01,54.97,266.784,5973.9639,64.262,3643.275,439.561,9241.9399,1.5693172213719686,4.210811701847472
DVA,2008-12-31,98.365,56.651,59.618,56.244,270.878,5143.0858,72.725,3622.421,446.413,8391.8188,1.5345747870936677,-9.19851361509071
DVA,2009-03-31,96.211,48.948,64.783,57.123,267.065,4544.8256,83.295,3600.233,431.096,7797.257600000001,-1.40764476997024,-7.0850099861545885
DVA,2009-06-30,105.819,48.029,70.507,58.185,282.54,5143.3454,92.29,3579.417,563.222,8251.8304,5.79446951116771,5.829906145463237
DVA,2009-09-30,110.93,46.742,74.195,56.813,288.68,5847.1171,100.677,3555.853,602.36,8901.2871,2.1731436256813064,7.870456232352985
DVA,2009-12-31,109.724,45.663,68.98,56.865,281.232,6053.9206,100.007,3532.217,565.934,9120.2106,-2.580019398642086,2.459458924766067
DVA,2010-03-31,109.423,45.036,73.914,57.468,285.841,6580.4762,98.844,3509.713,778.816,9410.2172,1.6388604426238684,3.179823501005541
DVA,2010-06-30,107.853,44.276,71.237,58.027,281.393,6405.8445,96.59,3287.523,597.642,9192.3155,-1.5561098652747685,-2.3155862969879037
DVA,2010-09-30,119.387,40.295,75.038,58.325,293.045,6994.8099,96.252,3266.19,557.51,9799.7419,4.140827952365567,6.607980328786578
DVA,2010-12-31,69.02,54.621,39.863,59.91,223.414,6671.179,74.892,4233.85,883.12,10096.801,-23.761197085771823,3.031295140538326
DVA,2011-03-31,94.502,59.26,62.959,61.838,278.559,8242.7365,74.551,4218.201,1029.016,11506.4725,24.68287573742023,13.961565648367236
DVA,2011-06-30,100.015,61.002,66.871,64.245,292.133,8096.3894,75.226,4210.823,752.839,11629.5994,4.87293535660307,1.0700664343481492
DVA,2011-09-30,135.361,62.226,103.91,65.755,367.2519999999999,5856.0728,82.497,4417.468,565.867,9790.1708,25.713972745290636,-15.816783852417126
DVA,2011-12-31,148.123,63.489,91.552,72.387,375.551,7098.9242,87.345,4417.624,411.151,11192.7422,2.259756243669231,14.326322069886665
DVA,2012-03-31,140.12,63.525,95.556,75.381,374.582,8474.5373,89.646,4401.865,457.906,12508.1423,-0.2580208813183771,11.752259423968493
DVA,2012-06-30,95.337,63.25,67.74,77.21,303.537,9279.5683,105.562,4392.908,282.074,13495.9643,-18.966474630388007,7.897431739323912
