tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
HSIC,2006-03-31,16.259,7.365,21.117,14.352,59.093,4223.98,34.097,488.214,240.065,4506.226,,
HSIC,2006-06-30,45.218,7.238,26.25,15.806,94.512,4119.7635,33.444,486.014,239.441,4399.780500000001,59.93772528049006,-2.3621873381405867
HSIC,2006-09-30,39.285,6.504,21.695,16.733,84.217,4440.1978,43.167,456.487,176.07,4763.781800000001,-10.892796681902828,8.27316953652575
HSIC,2006-12-31,62.997,6.52,35.87,18.039,123.426,4334.681,43.564,455.806,296.646,4537.405,46.55710842229004,-4.752039650514661
HSIC,2007-03-31,43.494,5.942,25.47,17.557,92.463,4900.3151,39.854,457.318,201.955,5195.5321,-25.08628651985806,14.504482187505863
HSIC,2007-06-30,33.837,6.223,30.636,17.67,88.366,4758.5827,30.197,450.26,278.971,4960.0687,-4.430961573818715,-4.5320362855616025
HSIC,2007-09-30,59.573,6.216,33.682,17.794,117.265,5445.3625,31.906,432.279,235.208,5674.339500000001,32.703754837833564,14.400421510290794
HSIC,2007-12-31,78.269,6.796,39.974,20.915,145.954,5501.6856,33.296,423.274,248.587,5709.668600000001,24.465100413593156,0.6226116713672125
HSIC,2008-03-31,51.44,8.167,27.446,19.438,106.491,5178.5132,30.044,428.541,238.961,5398.1372,-27.037970867533613,-5.456208088854764
HSIC,2008-06-30,64.57,9.409,36.986,20.27,131.235,4629.0779,29.831,424.47,283.357,4800.021900000001,23.23576640279461,-11.080031459741324
HSIC,2008-09-30,67.488,9.24,34.355,19.475,130.558,4840.7544,160.028,268.99,288.364,4981.4084,-0.5158684802072822,3.7788681755805964
HSIC,2008-12-31,55.959,7.789,32.423,18.944,115.115,3278.3249,161.341,266.646,369.57,3336.7419,-11.828459382037105,-33.01609440414482
HSIC,2009-03-31,54.851,6.752,28.849,19.921,110.373,3605.1385,156.955,256.333,308.156,3710.2705,-4.119358901967585,11.194410931214072
HSIC,2009-06-30,73.473,6.406,38.689,20.813,139.381,4323.5556,156.265,261.229,393.873,4347.176600000001,26.28178993050836,17.166028730250282
HSIC,2009-09-30,96.421,5.171,15.864,20.196,137.65200000000002,4966.4997,25.664,242.511,317.607,4917.0677000000005,-1.2404847145593645,13.109453616400124
HSIC,2009-12-31,86.408,5.041,44.119,20.563,156.13099999999997,4767.1906,24.492,243.373,471.154,4563.901599999999,13.424432627204808,-7.1824534773031745
HSIC,2010-03-31,60.9,9.087,32.224,24.572,126.783,5378.6891,25.639,522.882,382.368,5544.842099999999,-18.79703582248239,21.49346296160286
HSIC,2010-06-30,84.001,9.185,41.435,25.772,160.393,5024.1186,25.47,523.421,336.105,5236.9046,26.509863309749736,-5.553584654827215
HSIC,2010-09-30,87.893,7.824,42.226,25.166,163.10899999999998,5410.8003,226.264,383.495,203.73,5816.8293,1.6933407318274307,11.07380684383672
HSIC,2010-12-31,92.995,7.545,44.184,25.704,170.428,5644.1352,45.995,395.309,150.348,5935.0912,4.487183417224072,2.033099028709673
HSIC,2011-03-31,76.495,8.085,39.153,28.348,152.08100000000002,6473.9544,105.551,407.462,116.712,6870.255399999999,-10.765249841575319,15.756526201315978
HSIC,2011-06-30,94.475,7.902,47.34,29.121,178.838,6613.8422,70.422,372.924,161.789,6895.3992,17.593913769635904,0.3659805718430942
HSIC,2011-09-30,91.961,6.813,44.261,28.571,171.606,5635.5308,60.091,371.864,106.872,5960.6138,-4.043883291023165,-13.556653833762077
HSIC,2011-12-31,104.73,7.577,49.458,29.856,191.621,5794.061,77.833,363.524,147.284,6088.134,11.663345104483525,2.1393803436820624
HSIC,2012-03-31,80.752,7.64,41.84,30.42,160.652,6824.8224,28.032,453.058,101.813,7204.0994,-16.161589804875266,18.33017144497806
HSIC,2012-06-30,98.086,7.711,47.201,30.969,183.967,6978.1535,100.583,434.417,87.896,7425.257500000001,14.512735602420147,3.0698924004296746
HSIC,2012-09-30,96.771,7.308,44.709,30.6,179.388,6992.3533,172.958,436.426,89.336,7512.4013,-2.4890333592437863,1.173613170991028
HSIC,2012-12-31,112.467,8.243,54.108,33.333,208.151,7064.9774,45.158,488.121,122.08,7476.1764,16.0339599081321,-0.48220134353046396
HSIC,2013-03-31,91.478,6.524,45.852,32.393,176.247,8087.2041,51.981,600.599,90.562,8649.222099999999,-15.327334483139643,15.69044973310152
HSIC,2013-06-30,108.43,4.89,54.775,31.843,199.938,8303.1472,21.482,446.709,78.839,8692.4992,13.441930926483847,0.5003582923370775
HSIC,2013-09-30,107.378,5.051,34.66,31.845,178.934,8926.7992,96.339,311.458,69.915,9264.6812,-10.50525662955516,6.582479754499149
HSIC,2013-12-31,124.268,4.87,55.604,31.954,216.69600000000003,9783.1697,34.949,450.233,188.616,10079.7357,21.10387070092885,8.797437088283178
HSIC,2014-03-31,102.099,5.258,49.623,36.136,193.116,10213.6553,250.026,541.687,129.115,10876.2533,-10.881603721342348,7.902167514174008
HSIC,2014-06-30,116.236,5.67,55.322,37.353,214.581,10088.2854,89.973,665.909,89.698,10754.4694,11.115081091157641,-1.1197229104621953
HSIC,2014-09-30,114.776,6.28,51.302,39.179,211.537,9837.0562,194.597,630.806,76.542,10585.917200000002,-1.418578532116066,-1.5672758341754967
HSIC,2014-12-31,132.966,6.849,59.363,39.57,238.748,11437.8254,188.714,542.776,89.474,12079.8414,12.863470693070234,14.112373748776319
HSIC,2015-03-31,103.447,6.263,49.127,37.149,195.986,11710.069,177.653,653.718,59.202,12482.238,-17.910935379563387,3.3311414171381504
HSIC,2015-06-30,117.928,6.29,53.784,39.026,217.028,11888.9065,147.144,588.523,47.068,12577.5055,10.736481177226942,0.7632245115018588
