tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
IQV,2011-03-31,32.742,0.0,0.0,0.0,32.742,0.0,0.0,0.0,0.0,0.0,,
IQV,2011-06-30,41.098,0.0,0.0,0.0,41.098,0.0,0.0,0.0,0.0,0.0,25.520737890171663,
IQV,2011-09-30,42.981,0.0,0.0,0.0,42.981,0.0,0.0,0.0,0.0,0.0,4.5817314711178225,
IQV,2011-12-31,124.951,109.065,15.105,92.004,341.125,0.0,20.147,1951.708,519.297,1452.558,693.6646425164607,inf
IQV,2012-03-31,43.273,29.345,24.251,23.271,120.14,0.0,0.0,0.0,0.0,0.0,-64.78123854891902,-100.0
IQV,2012-06-30,47.201,33.13,27.558,23.719,131.608,0.0,0.0,0.0,0.0,0.0,9.545530214749466,
IQV,2012-09-30,52.098,33.513,21.542,25.727,132.88,0.0,0.0,0.0,0.0,0.0,0.9665065953437413,
IQV,2012-12-31,34.974,38.383,20.013,25.571,118.941,0.0,55.71,2366.268,570.55,1851.428,-10.489915713425646,inf
IQV,2013-03-31,48.309,36.042,32.118,24.64,141.10899999999998,0.0,34.741,2354.763,458.173,1931.331,18.637812024449076,4.3157497888116625
IQV,2013-06-30,38.517,31.884,8.83,24.986,104.217,5486.8778,0.141,2045.142,588.043,6944.1178,-26.1443281434919,259.55089003386786
IQV,2013-09-30,66.769,28.756,27.459,27.324,150.30800000000002,5786.3335,4.091,2042.029,613.027,7219.4265,44.22599000163123,3.964631763591342
IQV,2013-12-31,72.996,26.826,27.558,30.554,157.934,6008.0737,10.433,2035.586,780.855,7273.2377,5.073582244458019,0.7453666852900387
IQV,2014-03-31,90.183,24.703,37.389,29.088,181.363,6602.5877,15.572,2031.247,744.754,7904.6527,14.834677776792837,8.681346960515256
IQV,2014-06-30,85.12,24.799,32.4,29.845,172.16400000000002,6774.0649,20.715,2026.909,639.764,8181.924900000001,-5.072148122825482,3.5077088206544538
IQV,2014-09-30,92.654,25.05,41.26,30.18,189.144,7122.8829,20.681,2022.595,648.553,8517.605899999999,9.862689063915786,4.1027142647080295
IQV,2014-12-31,88.426,26.037,39.007,31.9,185.37,7307.4742,0.826,2292.491,870.24,8730.5512,-1.9953051643192499,2.5000604923503422
