tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
MRNA,2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MRNA,2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MRNA,2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MRNA,2016-12-31,-216.211,0.139,1.043,15.114,-199.915,0.0,0.0,12.5,1058.138,-1045.638,-inf,-inf
MRNA,2017-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0
MRNA,2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MRNA,2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MRNA,2017-12-31,-255.916,0.132,-0.08,0.0,-255.864,0.0,0.0,15.687,756.98,-741.293,-inf,-inf
MRNA,2018-03-31,-72.376,0.027,0.0,5.153,-67.196,0.0,0.0,0.0,0.0,0.0,-73.73761060563425,-100.0
MRNA,2018-06-30,-90.601,0.025,0.158,5.878,-84.53999999999999,0.0,0.0,0.0,0.0,0.0,25.81106018215369,
MRNA,2018-09-30,-80.331,1.519,0.0,6.481,-72.331,0.0,0.0,26.892,1073.034,-1046.142,-14.441684409746857,-inf
MRNA,2018-12-31,-141.426,1.525,0.168,7.35,-132.38299999999998,5020.7607,0.0,33.489,1522.022,3532.2276999999995,83.02387634624155,-437.64323581311135
MRNA,2019-03-31,-132.576,1.533,-0.024,7.316,-123.751,6692.1586,0.0,33.384,1108.924,5616.6186,-6.520474683305244,59.010660609450525
MRNA,2019-06-30,-134.94,1.765,-0.324,7.477,-126.02200000000002,4830.5851,0.0,33.588,1070.408,3793.7651,1.8351366857641604,-32.454642727565655
MRNA,2019-09-30,-123.215,1.657,-0.178,7.253,-114.483,5293.3204,0.0,33.801,1059.572,4267.5494,-9.15633778229199,12.488498563076543
MRNA,2019-12-31,-123.29,1.657,-0.169,8.975,-112.827,6582.6637,3.584,132.364,1104.032,5614.579699999999,-1.4465029742407265,31.56449225871878
MRNA,2020-03-31,-124.23,1.666,0.066,7.449,-115.049,11084.5849,3.987,147.849,1218.733,10017.6879,1.9693867602612825,78.42275709435565
MRNA,2020-06-30,-116.713,1.878,0.148,7.596,-107.091,25252.3162,4.193,167.772,2718.045,22706.2362,-6.9170527340524535,126.66144550181082
MRNA,2020-09-30,-233.636,2.834,0.864,8.5,-221.438,27973.9133,4.731,207.563,3277.334,24908.8733,106.77554603094563,9.700582168699533
MRNA,2020-12-31,-272.485,3.508,1.473,7.706,-259.798,41661.3824,30.3,207.295,4608.64,37290.3374,17.323133337548224,49.707041947979235
MRNA,2021-03-31,1221.0,3.0,39.0,15.0,1278.0,52510.95,52.0,234.0,7735.0,45061.95,-591.9206460403852,20.840821354434837
MRNA,2021-06-30,2780.0,5.0,283.0,69.0,3137.0,94696.94,170.0,433.0,7990.0,87309.94,145.46165884194053,93.75535235381516
MRNA,2021-09-30,3333.0,4.0,219.0,70.0,3626.0,155868.3,240.0,343.0,8906.0,147545.3,15.588141536499833,68.9902661712973
MRNA,2021-12-31,4868.0,6.0,542.0,78.0,5494.0,102353.94,211.0,705.0,10727.0,92542.94,51.51682294539437,-37.278286736344704
MRNA,2022-03-31,3657.0,6.0,572.0,79.0,4314.0,68904.0,206.0,741.0,10115.0,59736.0,-21.477975973789587,-35.45050546265334
MRNA,2022-06-30,2197.0,5.0,277.0,76.0,2555.0,55997.2,159.0,728.0,7897.0,48987.2,-40.77422345850719,-17.993839560733903
MRNA,2022-09-30,1043.0,8.0,174.0,113.0,1338.0,45762.75,260.0,1001.0,8348.0,38675.75,-47.63209393346379,-21.049274096090397
MRNA,2022-12-31,1465.0,10.0,190.0,80.0,1745.0,69153.7,196.0,1004.0,9902.0,60451.7,30.4185351270553,56.30388550965397
MRNA,2023-03-31,79.0,9.0,-384.0,78.0,-218.0,58974.72,181.0,927.0,8923.0,51159.72,-112.49283667621776,-15.37091595439003
MRNA,2023-06-30,-1380.0,13.0,-369.0,92.0,-1644.0,46291.5,221.0,947.0,8459.0,39000.5,654.1284403669724,-23.767174644427303
MRNA,2023-09-30,-3630.0,10.0,1672.0,249.0,-1699.0,39353.49,183.0,1272.0,7590.0,33218.49,3.345498783454981,-14.825476596453901
MRNA,2023-12-31,217.0,6.0,-147.0,202.0,278.0,37989.9,25.0,1218.0,8621.0,30611.9,-116.36256621542083,-7.846804595874158
MRNA,2024-03-31,-1175.0,6.0,10.0,36.0,-1123.0,40812.48,25.0,1212.0,8540.0,33509.48,-503.9568345323741,9.465534645023666
MRNA,2024-06-30,-1279.0,6.0,0.0,41.0,-1232.0,45600.0,25.0,1244.0,8488.0,38381.0,9.706144256455929,14.537736783739996
MRNA,2024-09-30,13.0,6.0,8.0,52.0,79.0,25729.55,51.0,1304.0,6867.0,20217.55,-106.41233766233766,-47.32406659545087
