tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
PFE,2006-03-31,4111.0,0.0,262.0,1351.0,5724.0,182598.5339,5059.0,6508.0,15502.0,178663.5339,,
PFE,2006-06-30,2415.0,312.0,790.0,1343.0,4860.0,171130.355,3779.0,5450.0,14750.0,165609.355,-15.094339622641506,-7.306571528640293
PFE,2006-09-30,3362.0,109.0,717.0,1332.0,5520.0,204488.2202,2508.0,5561.0,12831.0,199726.2202,13.58024691358024,20.60080796764168
PFE,2006-12-31,9449.0,96.0,223.0,1267.0,11035.0,184511.6,2434.0,5546.0,27713.0,164778.6,99.90942028985508,-17.497762769958037
PFE,2007-03-31,3392.0,173.0,689.0,1271.0,5525.0,177281.3234,2638.0,4771.0,22470.0,162220.3234,-49.93203443588582,-1.5525539117336895
PFE,2007-06-30,1267.0,61.0,272.0,1441.0,3041.0,177126.1771,2432.0,5777.0,22253.0,163082.1771,-44.959276018099544,0.5312858968200107
PFE,2007-09-30,761.0,93.0,-161.0,1372.0,2065.0,166852.1362,2645.0,6041.0,22298.0,153240.1362,-32.094705688918125,-6.035019322782875
PFE,2007-12-31,2724.0,113.0,223.0,1116.0,4176.0,153677.53,5825.0,7314.0,25475.0,141341.53,102.227602905569,-7.764679995109535
PFE,2008-03-31,2784.0,153.0,763.0,1487.0,5187.0,141595.5732,8909.0,8143.0,28628.0,130019.5732,24.20977011494252,-8.01035392782291
PFE,2008-06-30,2776.0,180.0,25.0,1229.0,4210.0,117765.1652,9448.0,7246.0,26179.0,108280.1652,-18.83555041449778,-16.720104108140543
PFE,2008-09-30,2278.0,134.0,463.0,1196.0,4071.0,124339.7214,9193.0,7152.0,26017.0,114667.72139999998,-3.301662707838482,5.899100900152643
PFE,2008-12-31,266.0,95.0,394.0,1178.0,1933.0,119471.66,9320.0,7963.0,23731.0,113023.66,-52.51780889216408,-1.4337612886410556
PFE,2009-03-31,2729.0,140.0,1074.0,1008.0,4951.0,91907.474,7613.0,21064.0,34052.0,86532.474,156.13036730470773,-23.438619842960318
PFE,2009-06-30,2261.0,279.0,786.0,1006.0,4332.0,101237.145,7645.0,31864.0,49647.0,91099.14500000002,-12.502524742476261,5.27740718472931
PFE,2009-09-30,2878.0,377.0,1092.0,969.0,5316.0,133550.8208,6954.0,32402.0,52473.0,120433.8208,22.71468144044322,32.20082449731001
PFE,2009-12-31,767.0,471.0,-755.0,1774.0,2257.0,146793.3,5469.0,43193.0,25969.0,169486.3,-57.54326561324304,40.729820638556035
PFE,2010-03-31,2026.0,531.0,1135.0,2051.0,5743.0,138334.1981,7769.0,38281.0,17262.0,167122.1981,154.45281346920692,-1.394863124630119
PFE,2010-06-30,2475.0,398.0,1472.0,2213.0,6558.0,114625.8443,5509.0,37765.0,19268.0,138631.8443,14.191189273898663,-17.047617925030156
PFE,2010-09-30,866.0,439.0,558.0,2229.0,4092.0,137530.8587,5158.0,39010.0,22464.0,159234.8587,-37.60292772186642,14.86167518295074
PFE,2010-12-31,2890.0,465.0,-2094.0,1994.0,3255.0,140290.12,5623.0,38410.0,28012.0,156311.12,-20.45454545454546,-1.83611724459678
PFE,2011-03-31,2222.0,463.0,874.0,2104.0,5663.0,160471.9503,6093.0,35308.0,24009.0,177863.9503,73.9784946236559,13.788417804184384
PFE,2011-06-30,2610.0,412.0,1077.0,2249.0,6348.0,160723.8162,5988.0,35723.0,25484.0,176950.8162,12.09606215786685,-0.5133890810700148
