tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
REGN,2006-03-31,-20.38,3.011,0.0,3.798,-13.571,946.6129,0.0,200.0,302.393,844.2199,,
REGN,2006-06-30,-23.576,3.011,0.0,3.69,-16.875,730.3169,0.0,200.0,273.576,656.7409,24.34603197995726,-22.207365640160816
REGN,2006-09-30,-27.41,3.011,0.0,3.708,-20.691000000000003,895.6009,0.0,200.0,261.889,833.7118999999999,22.61333333333335,26.94685225177842
REGN,2006-12-31,-30.971,3.01,0.0,3.396,-24.565,1312.5981,0.0,200.0,459.276,1053.3221,18.723116330771816,26.341257693455034
REGN,2007-03-31,-29.917,3.011,0.0,2.855,-24.051,1419.6773,0.0,200.0,452.394,1167.2833,-2.0924078974150384,10.819216647975004
REGN,2007-06-30,-26.774,3.011,0.0,2.874,-20.889000000000003,1183.6877,0.0,200.0,460.697,922.9907,-13.147062492204054,-20.92830420858416
REGN,2007-09-30,-35.838,3.011,0.0,2.859,-29.967999999999996,1176.3308,0.0,200.0,396.982,979.3488,43.463066685815456,6.106031187529837
REGN,2007-12-31,-13.071,3.01,0.0,2.899,-7.162,1904.2758,200.0,0.0,766.457,1337.8188,-76.10117458622531,36.602893677921486
REGN,2008-03-31,-11.847,3.011,0.0,2.946,-5.889999999999999,1517.8714,200.0,0.0,743.248,974.6234,-17.760402122312225,-27.14832531879504
REGN,2008-06-30,-18.689,2.674,0.0,2.941,-13.074000000000002,1144.5288,118.653,0.0,700.404,562.7778000000001,121.96943972835324,-42.25689635606942
REGN,2008-09-30,-19.084,1.772,3.079,2.774,-11.459,1738.1483,117.503,0.0,663.608,1192.0433,-12.352761205445939,111.81420091553007
REGN,2008-12-31,-29.509,0.295,-0.728,2.626,-27.316,1466.7988,0.0,0.0,474.75,992.0488,138.38031241818655,-16.777452631125055
REGN,2009-03-31,-15.388,0.0,0.0,2.724,-12.664,1110.0197,0.0,0.0,415.882,694.1377,-53.63889295650901,-30.029883610564323
REGN,2009-06-30,-14.938,0.0,0.0,2.998,-11.94,1436.6106,0.0,62.925,391.918,1107.6176,-5.716993051168673,59.56741724300525
REGN,2009-09-30,-1.015,0.581,0.0,3.59,3.1559999999999997,1553.457,0.0,62.571,379.796,1236.232,-126.43216080402011,11.611805373984652
REGN,2009-12-31,-36.489,1.756,-4.122,4.935,-33.919999999999995,1961.1431,0.0,109.022,341.33,1728.8351000000002,-1174.7782002534852,39.84714034258945
REGN,2010-03-31,-30.522,2.084,0.0,4.183,-24.255,2169.584,0.435,156.464,303.639,2022.8439999999996,-28.49351415094339,17.00618526312887
REGN,2010-06-30,-25.474,2.342,0.0,4.524,-18.608,1832.5836,0.448,157.359,306.337,1684.0536,-23.281797567511852,-16.74822181048068
REGN,2010-09-30,-33.875,2.234,0.0,4.894,-26.747,2252.9376,0.634,158.382,479.053,1932.9006000000004,43.739251934651755,14.776667440988845
REGN,2010-12-31,-14.597,2.458,0.0,6.086,-6.052999999999999,2935.6586,0.675,159.355,249.368,2846.3206000000005,-77.3694246083673,47.256439363721015
REGN,2011-03-31,-43.447,3.719,-0.216,6.978,-32.966,4077.4062,0.798,159.353,226.441,4011.116199999999,444.6225012390551,40.92285317402398
REGN,2011-06-30,-62.505,4.047,-0.863,7.902,-51.419,5191.4035,0.877,159.457,309.683,5042.054500000001,55.97585391008917,25.702030272770514
REGN,2011-09-30,-62.365,4.061,0.562,8.276,-49.46600000000001,5385.1296,0.92,159.482,245.498,5300.033600000001,-3.7982068885042297,5.116547232878976
