tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
RMD,2006-03-31,26.362,0.0,11.757,10.663,48.782,3215.1579,2.191,94.283,168.163,3143.4689,,
RMD,2006-06-30,23.093,0.0,15.768,11.071,49.932,3552.7065,4.869,116.212,219.544,3454.2435,2.357426919765504,9.886358347620373
RMD,2006-09-30,24.999,0.0,11.24,10.626,46.864999999999995,3058.517,4.825,115.484,221.155,2957.6709999999994,-6.142353600897232,-14.375723657003359
RMD,2006-12-31,28.995,0.0,13.25,12.0,54.245000000000005,3775.1248,38.424,95.124,254.618,3654.0548,15.747359436679842,23.545005512783558
RMD,2007-03-31,-15.365,0.0,-5.588,12.22,-8.732999999999999,3903.675,18.683,95.888,260.056,3758.19,-116.0991796478938,2.8498532643790764
RMD,2007-06-30,27.673,0.0,12.769,13.102,53.544,3202.4774,28.35,87.648,277.742,3040.7334,-713.1226382686363,-19.090482386467954
RMD,2007-09-30,24.125,0.0,9.687,14.291,48.102999999999994,3321.8248,25.375,90.54,277.764,3159.9757999999997,-10.161736142238166,3.921501306230901
RMD,2007-12-31,26.861,0.0,11.986,13.826,52.673,4077.3786,26.096,106.533,288.503,3921.5046,9.50044695757024,24.099197215371106
RMD,2008-03-31,29.683,0.0,13.88,14.695,58.258,3254.9462,16.237,115.972,307.494,3079.6612,10.603155316765701,-21.46735719754097
RMD,2008-06-30,29.634,0.0,11.999,16.508,58.141000000000005,2715.3465,43.865,93.789,321.078,2531.9225,-0.20083078718802216,-17.785680450823616
RMD,2008-09-30,28.026,0.0,10.701,0.0,38.727,3254.283,36.647,108.48,302.074,3097.336,-33.391238540788784,22.331390475024392
RMD,2008-12-31,33.853,0.0,13.128,0.0,46.981,2840.2719,67.553,85.35,320.485,2672.6899,21.313295633537344,-13.710043082184175
RMD,2009-03-31,39.199,0.0,14.396,0.0,53.595,2662.8337,66.565,93.015,327.072,2495.3417,14.078031544666981,-6.6355696558736526
RMD,2009-06-30,45.37,0.0,17.011,0.0,62.381,3064.9732,67.545,94.191,415.65,2811.0591999999997,16.39332027241347,12.652275237495525
RMD,2009-09-30,42.102,0.0,15.804,14.094,72.0,3388.418,68.296,95.093,482.102,3069.705,15.41975922155785,9.201008644713005
RMD,2009-12-31,45.983,0.0,17.113,15.599,78.695,3930.9131,50.525,94.599,455.177,3620.8601,9.2986111111111,17.954660138352054
RMD,2010-03-31,48.834,0.0,18.825,16.397,84.05600000000001,4823.2061,114.231,29.466,524.627,4442.276100000001,6.812376898151107,22.685659686216564
