tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV,EBITDA_Pct_Change,EV_Pct_Change
SYK,2006-03-31,147.5,0.0,78.6,37.3,263.4,18006.474,37.8,99.6,874.1,17269.773999999998,,
SYK,2006-06-30,213.9,0.0,81.7,38.8,334.40000000000003,17117.715,13.5,0.7,867.7,16264.215,26.95520121488233,-5.822652919488103
SYK,2006-09-30,188.4,0.0,73.2,40.7,302.3,20178.171,14.6,0.6,1085.4,19107.97099999999,-9.599282296650724,17.484741808934466
SYK,2006-12-31,227.9,0.0,88.9,42.6,359.40000000000003,22479.369,14.8,0.0,1414.8,21079.369,18.888521336420784,10.31714984285883
SYK,2007-03-31,243.5,0.0,94.6,43.1,381.2000000000001,27130.1193,15.1,0.1,1466.2,25679.119299999995,6.065664997217612,21.821100527250103
SYK,2007-06-30,269.1,0.0,91.7,43.8,404.6,25847.973,17.4,0.0,1780.2,24085.173000000003,6.138509968520434,-6.207168872804736
SYK,2007-09-30,228.7,0.0,89.2,45.2,363.1,28212.228,17.4,0.0,2073.4,26156.228,-10.257043994068216,8.598879484901346
SYK,2007-12-31,276.1,0.0,107.9,46.4,430.4,30709.92,16.8,0.0,2410.8,28315.92,18.534838887358852,8.25689392216644
SYK,2008-03-31,290.5,0.0,113.5,49.3,453.3,26787.59,17.7,0.0,2362.8,24442.49,5.320631970260226,-13.67933657108792
SYK,2008-06-30,305.8,0.0,114.3,49.8,469.9,25919.136,23.8,0.0,2562.7,23380.235999999997,3.662033973086243,-4.345932022473997
SYK,2008-09-30,273.8,0.0,102.2,49.3,425.3,25150.51,21.2,0.0,2207.5,22964.21,-9.49138114492445,-1.7793917905704504
SYK,2008-12-31,277.7,0.0,102.4,47.0,427.1,15836.18,20.5,0.0,2195.6,13661.08,0.4232306607100833,-40.51143061311493
SYK,2009-03-31,281.1,8.0,105.3,47.5,441.9,13517.284,20.5,0.0,2245.1,11292.684,3.4652306251463205,-17.336813780462457
SYK,2009-06-30,291.3,4.0,108.7,47.4,451.4,15796.65,19.4,0.0,2427.9,13388.15,2.1498076487893147,18.555960655589065
SYK,2009-09-30,229.0,5.4,85.4,49.7,369.5,18067.511,18.1,0.0,2929.4,15156.210999999998,-18.143553389455025,13.206163659654235
SYK,2009-12-31,306.0,5.0,217.1,56.1,584.2,20042.223,18.0,0.0,2954.8,17105.423000000003,58.10554803788905,12.860813299577355
SYK,2010-03-31,321.7,15.1,124.1,54.3,515.1999999999999,22699.174,27.6,996.2,3937.6,19785.374,-11.811023622047268,15.667259441640224
SYK,2010-06-30,319.0,16.3,123.6,53.5,512.4,19868.814,18.9,996.3,4028.5,16855.514,-0.5434782608695565,-14.808211358552036
SYK,2010-09-30,337.7,19.6,124.2,54.1,535.6,19869.85,19.1,996.4,4514.6,16370.749999999998,4.527712724434041,-2.8759965433270196
SYK,2010-12-31,295.0,26.5,84.3,60.9,466.7,21002.07,25.3,996.5,4380.1,17643.769999999997,-12.864077669902919,7.776186185727596
SYK,2011-03-31,307.4,0.0,104.4,66.5,478.2999999999999,23590.6432,28.2,996.6,2885.9,21729.543199999996,2.485536747375172,23.15703049858393
SYK,2011-06-30,309.1,0.0,100.9,71.1,481.1,22790.9703,24.4,996.7,2675.0,21137.070300000003,0.58540664854696,-2.726577795708074
SYK,2011-09-30,327.5,0.0,103.7,71.4,502.6,18035.3785,25.0,1755.0,3213.0,16602.3785,4.468925379339006,-21.453738553351
SYK,2011-12-31,401.0,0.0,32.0,73.0,506.0,18939.51,17.0,1751.0,3418.0,17289.51,0.6764822920811708,4.138753371994253
SYK,2012-03-31,350.0,0.0,118.0,70.0,538.0,21134.1628,23.0,1751.0,3297.0,19611.1628,6.324110671936767,13.428100622863237
SYK,2012-06-30,325.0,0.0,110.0,69.0,504.0,20962.4644,16.0,1750.0,3460.0,19268.4644,-6.319702602230482,-1.7474659891151267
SYK,2012-09-30,353.0,0.0,91.0,68.0,512.0,21161.9877,18.0,1751.0,3863.0,19067.9877,1.5873015873015817,-1.0404394239117432
SYK,2012-12-31,270.0,0.0,88.0,70.0,428.0,20831.6,16.0,1746.0,4285.0,18308.6,-16.40625,-3.982526693154953
SYK,2013-03-31,304.0,0.0,71.0,70.0,445.0,24664.4387,34.0,2738.0,4487.0,22949.4387,3.971962616822422,25.347862206831763
SYK,2013-06-30,213.0,0.0,56.0,79.0,348.0,24457.5778,29.0,2742.0,4652.0,22576.5778,-21.79775280898877,-1.624705967209561
SYK,2013-09-30,103.0,0.0,34.0,76.0,213.0,25577.3402,31.0,2743.0,5138.0,23213.3402,-38.793103448275865,2.8204558088515963
SYK,2013-12-31,386.0,0.0,45.0,82.0,513.0,28402.92,25.0,2739.0,3980.0,27186.92,140.8450704225352,17.117656337970686
SYK,2014-03-31,70.0,0.0,37.0,91.0,198.0,30884.7882,820.0,2244.0,4047.0,29901.788199999995,-61.40350877192983,9.985935148225678
SYK,2014-06-30,128.0,0.0,39.0,94.0,261.0,31922.1186,630.0,3237.0,4745.0,31044.1186,31.818181818181813,3.8202745346179956
SYK,2014-09-30,57.0,0.0,368.0,97.0,522.0,30549.4208,731.0,3231.0,4677.0,29834.4208,100.0,-3.896705252247046
SYK,2014-12-31,260.0,0.0,201.0,96.0,557.0,35656.74,727.0,3246.0,5024.0,34605.74,6.704980842911867,15.992665760080715
SYK,2015-03-31,224.0,0.0,153.0,94.0,471.0,34908.2303,225.0,3257.0,4278.0,34112.2303,-15.439856373429084,-1.4260920298193147
SYK,2015-06-30,392.0,0.0,9.0,94.0,495.0,35987.6481,227.0,3242.0,4280.0,35176.6481,5.095541401273884,3.1203406832065017
SYK,2015-09-30,301.0,0.0,44.0,101.0,446.0,35336.6202,971.0,2511.0,3374.0,35444.6202,-9.898989898989896,0.7617897510820537
SYK,2015-12-31,522.0,0.0,90.0,108.0,720.0,34666.62,769.0,3253.0,4079.0,34609.62,61.43497757847533,-2.3557882558436716
SYK,2016-03-31,402.0,0.0,79.0,102.0,583.0,40124.4215,770.0,6706.0,7483.0,40117.4215,-19.02777777777778,15.914076779808607
SYK,2016-06-30,380.0,0.0,53.0,145.0,578.0,44852.6087,927.0,6717.0,3656.0,48840.6087,-0.8576329331046351,21.74413726963982
SYK,2016-09-30,355.0,0.0,64.0,148.0,567.0,43589.9573,135.0,6713.0,3022.0,47415.9573,-1.903114186851207,-2.9169403042267894
SYK,2016-12-31,510.0,0.0,78.0,151.0,739.0,44928.75,228.0,6686.0,3384.0,48458.75,30.335097001763668,2.199244219413865
SYK,2017-03-31,444.0,0.0,55.0,150.0,649.0,49206.1623,35.0,7184.0,3279.0,53146.1623,-12.1786197564276,9.672994660407053
SYK,2017-06-30,391.0,0.0,53.0,160.0,604.0,51912.4631,774.0,6592.0,3747.0,55531.4631,-6.933744221879811,4.4881901096365695
SYK,2017-09-30,434.0,0.0,37.0,163.0,634.0,53149.2808,632.0,6593.0,2689.0,57685.2808,4.966887417218535,3.878553849952504
SYK,2017-12-31,-249.0,0.0,898.0,169.0,818.0,57972.096,632.0,6590.0,2793.0,62401.096,29.022082018927442,8.175075399823651
SYK,2018-03-31,443.0,0.0,99.0,176.0,718.0,60137.5741,1984.0,5920.0,2455.0,65586.5741,-12.224938875305625,5.104843190574737
SYK,2018-06-30,452.0,0.0,171.0,186.0,809.0,63151.9514,1277.0,5925.0,1920.0,68433.95139999999,12.6740947075209,4.341402701806918
SYK,2018-09-30,590.0,0.0,-56.0,185.0,719.0,66485.5462,1275.0,5928.0,2210.0,71478.5462,-11.124845488257106,4.448953681198664
SYK,2018-12-31,2068.0,0.0,-1411.0,176.0,833.0,58687.2,1373.0,8486.0,3699.0,64847.2,15.855354659248967,-9.277393781128696
SYK,2019-03-31,412.0,0.0,68.0,190.0,670.0,73834.9512,610.0,8208.0,1758.0,80894.9512,-19.567827130852343,24.747022539138165
SYK,2019-06-30,480.0,0.0,85.0,199.0,764.0,76908.3003,627.0,8243.0,1839.0,83939.3003,14.029850746268657,3.763336345272439
SYK,2019-09-30,466.0,0.0,115.0,194.0,775.0,80975.5821,613.0,8167.0,2036.0,87719.5821,1.4397905759162333,4.503589839907196
SYK,2019-12-31,725.0,0.0,211.0,195.0,1131.0,78622.53,945.0,10532.0,4425.0,85674.53,45.93548387096775,-2.331351849885299
SYK,2020-03-31,493.0,0.0,97.0,198.0,788.0,62496.6832,1192.0,9710.0,4048.0,69350.6832,-30.327144120247574,-19.053325183108683
SYK,2020-06-30,-83.0,0.0,-4.0,193.0,106.0,67680.4451,1202.0,12131.0,6619.0,74394.4451,-86.5482233502538,7.272836643085867
SYK,2020-09-30,621.0,0.0,159.0,198.0,978.0,78303.5707,1219.0,12318.0,7161.0,84679.5707,822.6415094339624,13.82512576869801
SYK,2020-12-31,568.0,0.0,103.0,223.0,894.0,92159.544,870.0,13555.0,3024.0,103560.544,-8.588957055214719,22.296963888599407
SYK,2021-03-31,302.0,0.0,65.0,276.0,643.0,91768.2778,124.0,13381.0,2312.0,102961.2778,-28.076062639821032,-0.5786626613317081
SYK,2021-06-30,592.0,0.0,70.0,241.0,903.0,97943.1441,115.0,13040.0,2325.0,108773.1441,40.43545878693624,5.644710734155245
SYK,2021-09-30,438.0,0.0,57.0,235.0,730.0,99485.7328,130.0,12927.0,2639.0,109903.7328,-19.15836101882613,1.0394005885870028
SYK,2021-12-31,662.0,0.0,95.0,238.0,995.0,100951.05,119.0,12782.0,3019.0,110833.05,36.30136986301369,0.8455738274978808
SYK,2022-03-31,323.0,0.0,63.0,242.0,628.0,101099.4719,343.0,14255.0,1530.0,114167.4719,-36.88442211055276,3.0085086533303995
SYK,2022-06-30,656.0,0.0,64.0,253.0,973.0,75259.3965,125.0,13727.0,1127.0,87984.3965,54.93630573248407,-22.933918886225246
SYK,2022-09-30,816.0,0.0,0.0,250.0,1066.0,76647.2122,124.0,13100.0,1497.0,88374.2122,9.558067831449124,0.44305094483427787
SYK,2022-12-31,563.0,0.0,198.0,253.0,1014.0,92588.363,1312.0,12214.0,1928.0,104186.363,-4.878048780487809,17.892267898485436
SYK,2023-03-31,592.0,0.0,87.0,257.0,936.0,108366.6958,1336.0,12224.0,1757.0,120169.6958,-7.692307692307687,15.341098719416868
SYK,2023-06-30,738.0,0.0,161.0,259.0,1158.0,115866.47,1923.0,11512.0,1478.0,127823.47,23.717948717948723,6.369138366413329
SYK,2023-09-30,692.0,0.0,177.0,262.0,1131.0,103813.9067,2438.0,10751.0,1936.0,115066.9067,-2.3316062176165775,-9.97982866526781
SYK,2023-12-31,1143.0,0.0,83.0,250.0,1476.0,113824.746,2237.0,11257.0,3053.0,124265.746,30.503978779840857,7.994339609722023
SYK,2024-03-31,788.0,0.0,135.0,260.0,1183.0,136330.5765,2215.0,11185.0,2407.0,147323.5765,-19.8509485094851,18.555258582682942
SYK,2024-06-30,825.0,0.0,173.0,258.0,1256.0,129660.7688,2238.0,10506.0,1957.0,140447.76880000002,6.170752324598472,-4.66714687720059
SYK,2024-09-30,834.0,0.0,209.0,268.0,1311.0,137718.0922,2308.0,13699.0,4684.0,149041.0922,4.378980891719753,6.118518986397725
