tic,datadate,Net_Income,Interest_Expense,Income_Taxes,Depreciation_Amortization,EBITDA,Market_Value,Short_Term_Debt,Long_Term_Debt,Cash,EV
A,1998-01-31,161.0,0.0,87.0,0.0,248.0,0.0,0.0,0.0,0.0,0.0
A,1998-04-30,93.0,0.0,49.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0
A,1998-07-31,54.0,0.0,31.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
A,1998-10-31,-51.0,0.0,-28.0,0.0,-79.0,0.0,0.0,0.0,0.0,0.0
A,1999-01-31,74.0,0.0,40.0,124.0,238.0,0.0,0.0,0.0,0.0,0.0
A,1999-04-30,157.0,0.0,85.0,111.0,353.0,0.0,0.0,0.0,0.0,0.0
A,1999-07-31,135.0,0.0,72.0,130.0,337.0,0.0,0.0,0.0,0.0,0.0
A,1999-10-31,146.0,0.0,78.0,110.0,334.0,0.0,0.0,0.0,0.0,0.0
A,2000-01-31,131.0,0.0,46.0,0.0,177.0,0.0,111.0,0.0,1410.0,-1299.0
A,2000-04-30,166.0,0.0,72.0,185.0,423.0,0.0,98.0,0.0,978.0,-880.0
A,2000-07-31,155.0,0.0,73.0,136.0,364.0,0.0,129.0,0.0,703.0,-574.0
A,2000-10-31,305.0,0.0,155.0,139.0,599.0,0.0,110.0,0.0,996.0,-886.0
A,2001-01-31,100.0,0.0,137.0,134.0,371.0,0.0,556.0,0.0,433.0,123.0
A,2001-04-30,102.0,0.0,122.0,171.0,395.0,0.0,773.0,0.0,809.0,-36.0
A,2001-07-31,-225.0,0.0,-76.0,211.0,-90.0,0.0,794.0,0.0,999.0,-205.0
A,2001-10-31,197.0,0.0,-254.0,218.0,161.0,0.0,6.0,0.0,1170.0,-1164.0
A,2002-01-31,-315.0,0.0,-106.0,199.0,-222.0,0.0,0.0,1150.0,2188.0,-1038.0
A,2002-04-30,-253.0,0.0,-80.0,169.0,-164.0,0.0,0.0,1150.0,2235.0,-1085.0
A,2002-07-31,-228.0,0.0,-200.0,180.0,-248.0,0.0,0.0,1150.0,2105.0,-955.0
A,2002-10-31,-236.0,0.0,-139.0,187.0,-188.0,0.0,0.0,1150.0,1844.0,-694.0
A,2003-01-31,-369.0,0.0,-140.0,82.0,-427.0,0.0,0.0,1150.0,1754.0,-604.0
A,2003-04-30,-146.0,0.0,-178.0,100.0,-224.0,0.0,0.0,1150.0,1533.0,-383.0
A,2003-07-31,-1556.0,0.0,1354.0,91.0,-111.0,0.0,0.0,1150.0,1430.0,-280.0
A,2003-10-31,13.0,0.0,64.0,89.0,166.0,0.0,0.0,1150.0,1607.0,-457.0
A,2004-01-31,71.0,0.0,12.0,81.0,164.0,0.0,0.0,1150.0,1678.0,-528.0
A,2004-04-30,104.0,0.0,24.0,75.0,203.0,0.0,0.0,1150.0,1842.0,-692.0
A,2004-07-31,100.0,0.0,33.0,70.0,203.0,0.0,0.0,1150.0,1937.0,-787.0
A,2004-10-31,74.0,0.0,22.0,66.0,162.0,0.0,0.0,1150.0,2315.0,-1165.0
A,2005-01-31,103.0,6.0,15.0,48.0,172.0,0.0,0.0,1150.0,2483.0,-1333.0
A,2005-04-30,95.0,9.0,19.0,44.0,167.0,0.0,0.0,1150.0,2685.0,-1535.0
A,2005-07-31,104.0,9.0,19.0,49.0,181.0,0.0,0.0,1150.0,2782.0,-1632.0
A,2005-10-31,25.0,3.0,102.0,45.0,175.0,0.0,0.0,0.0,2251.0,-2251.0
A,2006-01-31,2816.0,5.0,10.0,41.0,2872.0,14581.3,0.0,1500.0,2737.0,13344.3
A,2006-04-30,115.0,18.0,23.0,44.0,200.0,16366.92,0.0,1500.0,2657.0,15209.919999999998
A,2006-07-31,227.0,21.0,11.0,43.0,302.0,11631.96,0.0,1500.0,2249.0,10882.96
A,2006-10-31,149.0,25.0,47.0,42.0,263.0,14524.8,0.0,1500.0,2262.0,13762.8
A,2007-01-31,150.0,23.0,-27.0,46.0,192.0,12960.0,0.0,1500.0,2090.0,12370.0
A,2007-04-30,123.0,22.0,33.0,47.0,225.0,13609.0765,0.0,1500.0,2050.0,13059.0765
A,2007-07-31,185.0,23.0,5.0,50.0,263.0,14746.8062,0.0,1500.0,1486.0,14760.8062
